src,dst
760,358
475,693
419,639
326,4
65,83
844,500
855,530
43,412
823,534
130,254
104,375
730,38
658,664
396,757
150,687
642,358
222,695
870,530
840,701
872,666
537,599
155,555
857,262
725,563
228,660
98,237
664,505
563,323
465,697
563,412
57,701
662,530
694,701
104,393
52,229
51,528
376,689
290,237
482,281
542,252
653,40
304,391
654,703
621,538
215,393
355,363
280,703
279,241
183,654
326,761
358,689
94,634
704,385
839,387
256,703
811,765
263,639
557,260
537,557
242,707
434,557
46,689
31,555
181,239
30,373
286,662
509,500
374,634
481,697
201,414
45,241
21,387
120,256
192,391
296,321
472,530
560,229
343,658
178,393
873,538
529,321
663,260
386,699
763,515
402,420
74,664
185,532
150,654
414,691
619,279
824,391
267,412
459,534
792,4
516,654
55,4
414,285
506,373
578,513
509,252
0,252
484,283
514,281
673,500
478,658
509,385
298,5
530,375
495,695
358,652
183,761
356,4
0,323
470,500
535,420
358,239
269,530
137,387
665,4
503,703
269,505
639,281
599,279
562,252
456,687
420,42
699,252
26,375
480,224
690,224
17,759
74,375
302,538
47,416
608,389
45,654
212,262
760,765
485,414
399,563
229,283
302,561
88,559
337,289
808,387
440,358
627,658
58,515
541,252
838,414
22,373
806,323
804,262
871,701
790,258
806,83
207,703
401,385
391,695
659,528
196,528
21,666
437,363
128,385
794,420
419,693
429,283
300,561
386,4
30,229
341,656
127,597
594,358
617,420
1,262
397,765
169,391
784,538
374,555
835,563
90,532
56,229
148,515
435,565
466,285
513,563
698,38
570,224
65,373
639,237
282,241
281,538
639,707
352,658
699,289
157,414
352,465
230,5
304,385
260,281
869,705
814,385
571,375
288,515
11,687
558,289
439,666
196,416
452,371
180,515
67,699
169,530
183,241
16,285
184,416
94,765
8,258
269,83
173,83
154,666
608,5
21,224
264,654
705,418
174,597
532,229
290,513
705,42
483,505
452,254
759,761
208,254
763,689
664,3
604,252
374,705
358,387
66,241
436,237
95,241
344,707
630,538
604,262
638,323
20,639
62,40
575,418
193,505
295,513
320,563
480,565
842,765
817,4
105,387
674,513
322,697
578,3
571,393
134,666
159,759
185,697
93,5
687,559
658,528
103,285
798,530
547,705
239,765
861,279
464,517
412,534
620,691
197,555
322,597
172,705
371,654
555,279
715,358
414,705
271,42
141,375
126,555
35,513
192,699
428,5
49,5
560,321
118,658
36,701
607,260
760,662
378,224
818,375
643,323
88,707
829,373
433,387
316,532
49,375
166,5
705,42
714,289
45,287
36,528
148,639
610,530
285,262
183,695
397,4
89,258
514,393
728,289
87,241
351,666
262,420
762,375
621,289
836,534
531,697
703,658
810,283
329,597
222,759
290,599
132,662
466,666
33,693
837,285
814,693
714,3
141,358
665,695
304,260
659,597
425,281
73,513
800,701
210,705
354,765
452,258
393,262
92,528
93,765
838,599
533,517
203,534
823,241
97,241
498,38
517,283
299,5
10,375
4,416
339,515
473,224
132,224
163,254
720,224
618,256
73,654
169,373
482,459
730,658
163,707
142,561
543,224
360,321
136,465
129,229
641,555
519,256
602,416
836,241
116,656
221,597
714,258
602,517
844,420
101,260
776,289
231,658
296,358
557,559
232,287
821,363
280,555
202,358
307,532
360,693
582,375
620,763
270,757
555,652
243,40
598,3
402,530
834,287
114,289
788,371
3,83
162,666
545,555
243,563
212,666
239,515
607,505
504,281
671,759
464,420
205,699
386,707
784,757
183,387
287,666
341,38
661,695
482,759
402,689
187,561
806,229
90,387
37,387
861,5
574,387
6,695
614,416
24,597
73,534
693,634
116,393
265,262
167,239
613,289
243,416
394,662
49,634
321,687
388,237
93,660
165,38
111,42
147,500
419,538
10,660
172,666
722,387
853,252
712,515
245,224
229,254
320,289
496,559
158,83
531,695
112,639
481,561
65,256
194,83
244,555
193,765
233,528
518,420
494,465
700,363
76,465
302,761
66,40
193,363
67,3
518,699
267,561
165,687
68,3
18,42
308,416
99,656
442,536
229,705
239,414
580,412
371,262
417,662
757,38
675,557
393,375
21,38
29,707
391,323
833,666
372,241
252,691
295,652
688,705
385,513
240,699
758,532
625,515
643,763
240,505
159,691
66,656
774,687
704,323
669,279
94,536
167,664
632,559
696,652
616,660
335,639
568,358
764,260
464,517
415,561
82,656
295,654
307,695
111,375
292,287
114,387
494,38
351,765
477,5
857,5
398,557
179,532
240,563
442,260
598,691
412,358
437,656
1,561
652,565
729,289
429,515
413,281
633,517
604,761
504,237
266,689
21,761
538,555
493,414
299,323
122,536
148,241
355,363
837,373
193,557
415,660
378,639
792,283
433,414
780,761
656,40
584,534
82,652
51,459
205,639
332,660
245,639
477,283
431,662
475,515
58,757
621,281
412,363
29,258
691,695
768,42
173,256
504,697
363,559
672,252
78,254
224,761
354,279
633,373
237,38
565,4
336,538
715,363
865,465
485,634
643,763
102,697
487,695
305,283
379,703
357,418
493,285
478,597
474,666
696,283
379,757
136,530
862,654
518,420
185,391
121,538
629,515
612,656
713,662
534,763
653,237
835,42
762,391
581,693
719,283
385,38
283,420
417,597
216,321
216,459
375,759
706,652
804,557
459,517
432,254
604,418
15,416
299,697
557,536
204,563
33,689
615,241
186,412
668,656
90,597
352,528
245,373
3,262
192,563
576,757
363,652
835,229
401,371
375,373
494,687
1,358
454,513
844,224
203,375
57,262
782,358
640,701
148,323
318,459
506,538
625,4
690,414
19,528
657,532
31,691
35,634
796,239
573,515
159,664
194,287
695,500
295,237
106,4
164,412
379,459
129,561
180,465
144,281
861,393
385,414
365,515
543,639
150,254
281,530
232,375
625,416
77,279
558,260
301,38
96,229
122,375
119,532
576,534
290,536
452,363
52,371
395,416
269,701
340,652
256,465
698,256
454,375
521,652
433,371
416,656
570,695
14,363
292,363
786,418
701,599
110,565
531,260
127,289
763,701
91,281
440,538
318,687
594,597
279,664
494,285
106,289
