src,same_file,jaccard_val,dst
443,0,-1,759
319,0,-1,757
139,0,-1,597
548,0,-1,287
785,0,-1,557
741,1,-1,652
783,1,-1,689
488,0,-1,563
743,0,-1,459
313,0,-1,658
745,0,-1,420
446,0,-1,763
275,0,-1,662
350,0,0.0,358
775,0,-1,517
791,0,-1,565
370,0,-1,536
549,0,-1,707
647,0,-1,563
779,1,-1,761
523,0,-1,237
651,1,-1,652
644,0,-1,563
311,0,-1,652
225,0,-1,662
246,0,-1,530
347,0,-1,695
737,0,-1,505
527,0,-1,375
755,0,-1,285
678,0,-1,289
449,0,-1,262
737,0,-1,252
446,0,-1,42
746,1,-1,658
677,1,-1,687
409,0,-1,757
601,0,-1,252
626,0,-1,38
733,0,-1,561
787,0,-1,412
590,0,-1,385
623,0,-1,763
225,1,-1,256
752,0,-1,258
591,1,-1,561
734,0,-1,289
756,1,-1,687
346,0,-1,505
789,0,-1,241
225,0,-1,658
590,0,-1,289
463,0,-1,765
451,0,0.0,5
769,1,-1,761
852,0,-1,371
552,1,-1,532
274,1,-1,289
198,0,-1,258
449,0,-1,281
455,0,-1,701
744,1,-1,660
235,1,-1,258
740,0,-1,597
383,0,-1,695
549,0,-1,256
587,0,-1,254
781,0,-1,534
863,0,-1,416
359,0,-1,530
312,0,-1,761
359,1,-1,420
651,0,-1,289
447,0,-1,557
747,0,-1,254
803,0,0.0,358
461,0,-1,517
359,0,-1,689
682,1,-1,662
609,0,0.0,3
681,1,0.0,634
152,0,-1,759
274,0,-1,701
424,0,-1,563
751,0,-1,517
684,1,-1,697
404,0,-1,83
382,0,-1,287
333,0,-1,536
773,1,-1,701
407,1,-1,465
151,0,0.0,224
551,0,-1,385
751,0,-1,260
139,0,-1,561
550,0,-1,763
845,0,0.0,358
333,0,-1,515
380,0,-1,662
369,0,-1,262
732,0,0.0,4
449,1,-1,391
849,1,-1,658
743,1,-1,759
327,1,0.0,224
747,0,-1,418
554,1,-1,530
548,0,-1,83
588,0,-1,660
676,0,-1,528
138,0,-1,517
175,0,-1,597
550,0,-1,666
736,0,-1,532
327,1,-1,285
461,0,-1,639
752,1,-1,691
588,0,-1,389
845,1,-1,639
550,0,-1,652
247,0,-1,391
783,0,-1,283
327,0,0.0,358
783,0,-1,260
248,0,-1,40
369,1,-1,385
311,0,0.0,500
444,0,0.0,3
