src,dst
0,1
0,2
0,3
0,4
0,5
0,6
4,9
4,10
4,11
4,12
5,14
5,15
5,16
5,17
6,19
6,20
6,21
6,22
7,25
7,26
7,27
8,28
8,29
8,30
13,31
13,32
18,33
18,34
22,35
22,36
22,37
23,38
23,39
24,40
24,41
32,45
32,46
34,49
34,50
34,51
34,52
36,54
37,55
39,56
39,57
39,58
42,59
42,60
42,61
43,62
43,63
44,64
44,65
46,66
47,67
47,68
47,69
48,70
48,71
53,72
53,73
55,75
55,76
55,77
58,78
73,83
73,84
74,86
78,89
79,90
79,91
80,92
81,93
81,94
82,95
85,96
85,97
87,98
87,99
88,100
89,101
89,102
89,103
99,104
99,105
106,107
106,108
106,109
106,110
111,112
111,113
112,114
114,115
115,116
115,117
115,118
118,121
118,122
119,123
119,124
120,125
120,126
122,127
123,128
125,129
127,130
127,131
130,132
130,133
130,134
134,140
135,141
135,142
136,143
136,144
137,145
137,146
138,147
138,148
139,149
139,150
140,151
141,153
141,154
143,155
143,156
145,157
145,158
147,159
147,160
149,161
149,162
151,163
152,165
152,166
154,167
154,168
156,169
156,170
158,171
163,172
165,173
172,179
174,180
174,181
175,182
175,183
176,184
176,185
177,186
177,187
178,188
178,189
180,190
180,191
182,192
182,193
184,194
184,195
186,196
186,197
188,198
188,199
190,200
190,201
190,202
192,203
192,204
192,205
194,206
194,207
194,208
196,209
196,210
196,211
198,212
198,213
198,214
215,225
215,226
216,227
217,228
217,229
218,230
219,231
219,232
220,233
221,234
221,235
222,236
223,237
223,238
224,239
225,240
228,241
231,242
