src,dst
63,39
92,6
189,125
37,198
227,115
58,147
150,192
85,147
236,4
98,194
87,196
161,32
230,145
140,34
235,198
161,147
160,196
154,194
30,192
203,5
2,4
190,194
197,39
238,5
99,6
170,4
189,39
200,141
150,125
25,5
183,112
147,141
59,5
68,145
76,130
149,143
3,112
93,115
14,130
210,112
11,149
18,143
191,5
21,34
20,145
56,125
19,112
160,5
96,196
105,4
133,147
84,143
5,6
78,123
204,190
37,194
226,112
41,115
211,34
242,192
173,4
209,32
185,141
97,192
41,198
4,190
209,194
204,147
60,198
198,196
21,190
191,112
54,112
238,112
66,141
130,6
179,130
21,34
166,147
94,141
56,32
193,6
105,32
9,115
170,112
229,115
158,125
191,115
24,194
230,147
18,147
14,190
101,141
20,125
201,5
163,112
191,143
16,143
83,147
230,112
2,115
53,198
154,39
204,32
242,149
167,34
145,149
235,34
164,141
75,34
41,141
141,198
28,115
200,112
68,6
154,190
114,32
16,147
212,141
85,198
161,192
117,4
72,141
71,112
206,143
233,6
149,34
53,198
110,34
98,4
233,196
199,145
50,32
52,190
93,141
198,6
99,147
16,123
96,192
191,112
104,112
83,145
70,123
150,198
16,190
208,196
124,149
31,147
159,149
183,147
121,149
149,125
85,192
87,123
201,32
189,149
185,39
13,145
196,34
13,34
103,32
168,149
22,6
59,190
147,4
48,141
160,39
85,141
130,34
129,196
151,192
197,149
29,196
118,192
235,196
16,32
112,123
153,115
142,39
43,141
109,147
70,39
94,196
237,198
114,196
203,147
209,190
100,32
124,34
106,115
62,123
183,149
85,125
26,147
190,147
73,39
