src,same_file,jaccard_val,dst
10,1,-1.0,25
145,1,-1.0,154
85,1,1.0,8
86,1,1.0,8
22,1,-1.0,35
194,0,1.0,6
199,0,1.0,6
190,0,-1.0,33
203,0,1.0,6
223,1,-1.0,226
247,1,-1.0,249
225,1,-1.0,229
282,1,-1.0,286
408,0,-1.0,33
332,1,-1.0,349
409,0,-1.0,35
333,1,-1.0,351
452,0,1.0,6
334,1,-1.0,353
301,1,-1.0,310
415,0,-1.0,33
335,1,-1.0,355
416,0,-1.0,35
336,1,-1.0,357
461,0,1.0,6
337,1,-1.0,359
302,1,-1.0,312
338,1,-1.0,361
303,1,-1.0,314
422,0,-1.0,33
339,1,-1.0,363
423,0,-1.0,35
340,1,-1.0,365
470,0,1.0,6
341,1,-1.0,367
304,1,-1.0,316
429,0,-1.0,33
342,1,-1.0,369
430,0,-1.0,35
343,1,-1.0,371
479,0,1.0,6
344,1,-1.0,373
305,1,-1.0,318
284,1,-1.0,289
345,1,-1.0,375
306,1,-1.0,320
436,0,-1.0,33
346,1,-1.0,377
437,0,-1.0,35
347,1,-1.0,379
488,0,1.0,6
518,0,1.0,6
348,1,-1.0,381
307,1,-1.0,322
285,1,-1.0,291
532,1,-1.0,535
553,1,-1.0,555
534,1,-1.0,538
