src,dst
508,359
489,379
463,369
250,363
76,351
174,291
35,249
211,381
378,365
4,314
200,367
350,349
490,314
104,535
245,291
509,381
25,363
241,33
541,314
93,229
525,355
451,359
16,555
290,229
138,375
454,375
405,355
356,226
519,312
176,367
171,359
201,25
475,371
11,6
358,33
210,33
23,286
510,226
12,361
36,286
557,25
94,357
92,365
57,379
255,8
467,320
519,320
374,25
239,25
541,226
387,365
12,226
460,535
40,555
66,320
87,351
535,25
292,310
121,312
59,361
384,538
276,371
412,322
227,35
311,8
164,375
309,375
73,229
269,6
463,6
239,363
11,318
93,312
52,367
177,379
530,320
319,353
487,363
286,35
8,379
386,363
30,353
497,316
506,355
0,351
216,154
241,375
109,8
466,6
112,349
292,353
16,291
123,365
171,229
198,381
499,33
268,369
200,312
487,8
38,361
444,289
446,365
521,349
326,363
196,291
527,25
319,289
181,357
172,381
114,289
349,365
311,365
126,353
276,367
362,314
552,318
446,538
23,33
73,373
561,8
202,320
487,538
527,379
486,229
322,226
292,353
136,381
433,365
538,359
206,316
24,371
233,379
87,8
407,312
183,289
292,249
71,369
168,538
366,357
506,377
187,367
77,381
92,316
440,312
275,369
114,226
111,312
483,371
444,375
133,316
472,289
516,226
327,373
175,365
531,363
377,154
224,312
511,535
457,320
133,373
47,538
98,286
378,33
291,318
125,310
161,355
79,363
44,538
182,363
160,314
144,318
0,351
179,361
459,322
468,154
275,538
398,381
539,25
324,377
549,535
320,369
258,361
124,25
506,535
447,35
508,555
359,6
507,377
177,35
5,249
218,286
172,314
26,226
516,316
88,357
327,25
537,320
146,154
7,361
224,6
297,369
522,351
66,312
235,322
369,353
233,291
105,353
299,369
78,322
234,353
134,367
283,538
183,538
447,555
260,318
396,357
61,355
35,316
557,316
240,555
274,363
552,369
241,154
221,322
104,555
495,351
512,363
377,229
204,154
404,226
153,379
43,555
5,229
105,355
267,6
107,361
477,381
233,377
271,286
237,353
296,351
473,371
77,289
110,555
391,286
383,361
471,320
27,6
325,322
131,363
499,226
322,377
403,316
412,373
232,367
451,312
87,381
205,361
79,367
117,318
105,154
17,361
0,555
466,353
264,25
54,379
169,286
547,365
467,226
298,375
205,291
359,312
169,314
115,355
105,381
542,363
505,371
21,355
142,377
353,35
466,320
120,357
267,538
548,286
275,320
109,367
241,367
134,357
375,535
554,8
236,322
449,320
468,314
525,381
362,226
51,314
318,353
545,535
471,320
53,355
561,355
327,320
107,312
15,357
77,8
433,35
412,289
155,357
466,367
72,349
39,538
27,355
368,322
455,289
184,154
126,286
233,371
514,291
465,353
168,312
197,365
538,365
153,379
323,249
246,365
136,312
505,381
48,538
66,154
296,8
386,322
221,8
475,6
298,535
79,365
115,320
24,35
275,316
204,365
289,291
56,375
350,375
102,357
502,365
506,359
107,322
485,289
174,289
65,314
325,555
273,286
561,286
1,154
61,363
296,377
90,361
554,371
295,310
433,361
261,355
262,369
154,379
473,320
331,555
123,351
156,355
513,375
163,154
330,314
89,349
4,377
558,367
394,35
81,314
511,367
166,35
122,373
480,314
557,316
352,318
91,355
319,538
376,25
76,349
478,353
44,25
277,377
69,320
140,365
229,361
448,379
126,375
491,355
315,363
551,154
132,363
138,379
176,289
495,226
377,365
56,35
83,33
378,249
314,355
38,316
365,291
146,353
361,351
132,318
48,359
166,229
230,355
259,535
63,371
487,6
511,369
200,359
275,375
200,154
366,555
513,373
126,320
286,25
153,363
458,289
9,359
