src,same_file,jaccard_val,dst
560,0,-1,355
442,0,-1,229
479,1,-1,353
332,1,-1,379
437,1,-1,318
343,1,-1,318
335,1,-1,365
247,0,-1,361
22,0,-1,379
152,0,-1,365
152,0,-1,289
203,0,-1,359
345,0,-1,535
22,0,-1,369
194,0,-1,291
307,0,-1,226
248,0,-1,535
158,0,-1,322
415,1,-1,286
304,0,-1,25
429,1,-1,357
441,0,-1,249
496,1,-1,381
307,1,-1,349
421,1,-1,375
304,0,-1,535
336,1,-1,381
341,0,0.0,8
85,1,-1,33
409,0,-1,226
408,0,-1,229
252,0,-1,375
152,0,-1,538
108,0,-1,322
145,0,-1,379
504,1,-1,289
338,1,-1,314
225,0,-1,349
534,0,-1,369
149,0,-1,249
336,1,-1,353
348,1,-1,318
80,0,-1,367
86,1,-1,154
470,1,-1,316
248,0,-1,365
496,1,-1,349
334,1,-1,367
504,0,-1,25
252,0,-1,286
337,0,0.0,6
252,0,-1,291
413,1,-1,371
415,0,-1,229
189,0,-1,373
165,1,-1,35
438,1,-1,367
423,0,0.0,6
