src,same_file,jaccard_val,dst
10,1,-1.0,25
145,1,-1.0,154
85,1,1.0,8
86,1,1.0,8
22,1,-1.0,35
194,0,1.0,6
199,0,1.0,6
190,0,-1.0,33
203,0,1.0,6
224,1,-1.0,235
285,1,-1.0,294
226,1,-1.0,238
281,1,1.0,222
301,1,1.0,222
336,1,-1.0,340
462,0,-1.0,33
386,1,-1.0,403
463,0,-1.0,35
387,1,-1.0,405
506,0,1.0,6
388,1,-1.0,407
355,1,-1.0,364
469,0,-1.0,33
389,1,-1.0,409
470,0,-1.0,35
390,1,-1.0,411
515,0,1.0,6
391,1,-1.0,413
356,1,-1.0,366
392,1,-1.0,415
357,1,-1.0,368
476,0,-1.0,33
393,1,-1.0,417
477,0,-1.0,35
394,1,-1.0,419
524,0,1.0,6
395,1,-1.0,421
358,1,-1.0,370
483,0,-1.0,33
396,1,-1.0,423
484,0,-1.0,35
397,1,-1.0,425
533,0,1.0,6
398,1,-1.0,427
359,1,-1.0,372
338,1,-1.0,343
399,1,-1.0,429
360,1,-1.0,374
490,0,-1.0,33
400,1,-1.0,431
491,0,-1.0,35
401,1,-1.0,433
542,0,1.0,6
572,0,1.0,6
402,1,-1.0,435
361,1,-1.0,376
339,1,-1.0,345
586,1,-1.0,589
607,1,-1.0,609
588,1,-1.0,592
