src,dst
31,405
193,435
410,435
334,413
528,609
381,403
195,235
569,154
370,368
12,433
442,609
499,407
214,419
17,33
275,154
72,409
457,372
580,405
553,376
235,427
351,435
551,364
229,413
78,609
573,431
384,154
369,368
549,294
115,345
229,366
92,35
267,35
454,235
201,8
4,223
455,589
330,370
306,592
107,433
405,435
51,415
428,366
214,433
61,223
567,423
187,411
585,364
195,343
164,345
229,366
604,425
617,222
69,429
310,6
187,403
148,370
136,431
583,419
23,589
581,33
429,427
601,435
291,154
316,25
96,421
219,419
284,368
256,345
254,294
18,223
433,411
116,372
316,294
197,294
131,372
508,407
309,8
82,433
595,435
81,25
169,411
560,370
244,222
439,411
19,345
448,421
256,35
562,421
35,419
436,589
508,415
528,33
247,343
368,423
582,6
153,368
366,407
543,368
434,154
267,223
245,427
518,376
4,8
289,366
67,345
346,419
605,343
38,372
41,589
66,589
232,429
163,425
65,238
583,592
181,340
448,345
299,345
314,368
210,429
610,407
294,411
350,433
64,403
205,411
279,235
598,415
450,405
450,223
354,372
421,238
534,427
179,368
370,372
344,374
210,222
260,235
122,411
596,345
403,405
299,589
11,25
369,429
324,235
545,411
31,370
73,433
584,25
460,407
340,609
125,294
304,238
443,589
438,35
246,222
348,370
331,8
545,6
570,340
566,374
567,592
556,419
372,435
253,413
213,370
166,592
384,376
595,25
235,429
568,423
375,376
90,423
264,429
373,8
433,374
125,409
20,374
410,589
351,154
522,433
82,238
25,411
316,427
155,427
575,345
26,6
298,411
423,435
411,423
59,405
368,35
101,372
41,340
409,421
419,366
120,223
328,25
223,340
510,370
225,340
23,433
569,223
62,425
576,415
251,419
451,364
473,417
451,435
81,374
28,413
309,405
431,294
331,294
137,423
427,343
568,411
119,429
530,294
43,154
247,421
377,294
384,592
53,8
406,429
135,372
325,25
117,403
525,235
366,374
278,431
585,366
592,431
213,235
381,364
428,433
570,366
131,33
12,415
0,403
411,413
581,417
40,6
210,609
331,343
249,431
497,433
89,407
303,589
201,294
583,345
408,374
616,6
221,368
412,429
609,6
347,370
335,374
410,6
221,609
258,35
473,372
455,35
1,343
87,403
81,427
335,411
94,405
378,235
256,409
6,407
115,413
553,376
553,415
438,374
2,223
122,374
410,423
564,427
225,372
177,376
316,372
164,609
371,374
583,409
600,368
502,415
594,429
161,345
30,407
434,376
440,589
512,376
89,409
273,340
162,368
403,405
616,235
116,345
601,154
181,366
195,223
193,425
528,33
132,415
242,431
155,343
118,368
522,425
227,433
93,8
528,411
529,409
47,366
133,340
162,419
587,25
105,368
18,427
255,154
421,425
229,238
187,411
458,413
439,368
313,589
229,8
373,427
253,415
585,372
107,364
364,343
370,409
602,427
19,238
308,294
17,340
235,407
157,372
345,433
541,423
567,589
195,6
597,435
26,423
299,372
87,403
529,374
431,223
480,421
219,372
250,235
114,366
239,370
9,222
9,8
497,340
141,364
258,25
276,368
197,429
245,235
113,609
102,435
25,345
40,415
368,372
19,340
227,370
343,433
368,35
444,238
5,294
457,35
117,417
170,415
172,364
571,376
122,407
210,409
378,366
372,435
210,423
272,238
444,374
38,33
39,222
458,6
377,609
200,415
250,340
27,431
1,33
13,417
57,345
66,345
135,419
404,421
306,427
201,417
332,25
426,403
28,425
94,376
244,429
247,223
351,368
342,423
42,235
81,419
122,154
417,429
20,370
530,370
248,374
257,376
118,340
371,370
176,405
18,592
173,407
44,154
4,435
610,413
184,413
242,8
155,407
568,407
61,33
33,431
373,33
223,421
427,235
473,409
59,421
266,589
405,431
153,364
334,409
117,370
99,411
140,405
300,431
440,345
456,589
4,405
341,235
602,343
16,592
440,235
245,35
564,33
92,411
127,609
304,343
192,423
403,370
597,33
429,368
536,370
236,8
279,407
151,372
38,154
193,609
192,368
105,609
499,409
543,423
120,592
3,154
