src,same_file,jaccard_val,dst
285,0,-1,154
58,0,-1,419
479,1,-1,374
317,0,-1,376
401,1,-1,429
396,0,0.0,223
390,1,-1,419
490,1,-1,407
207,0,-1,235
388,1,-1,374
492,1,-1,411
464,1,-1,431
546,1,-1,340
475,1,-1,413
462,1,-1,364
484,0,0.0,222
287,0,-1,372
339,0,-1,235
472,1,-1,417
475,1,-1,433
558,1,-1,374
398,0,0.0,6
296,0,-1,435
613,0,-1,372
106,0,-1,343
533,1,-1,427
397,1,-1,411
80,0,-1,411
393,1,-1,340
108,0,-1,345
319,0,-1,415
467,1,-1,403
22,0,-1,403
485,0,-1,35
185,0,-1,411
390,0,-1,589
548,0,0.19999999999999996,6
386,0,-1,592
515,0,-1,609
361,1,-1,435
387,1,-1,419
391,1,-1,376
488,1,-1,429
613,0,-1,370
489,1,-1,413
482,1,-1,345
486,1,-1,419
395,1,-1,374
394,1,-1,340
336,1,-1,368
550,1,-1,370
358,0,-1,238
542,1,-1,376
188,0,-1,409
464,1,-1,419
152,0,-1,609
469,1,-1,372
10,0,-1,343
614,0,-1,345
152,0,-1,294
