src,dst
1,2
2,3
4,5
4,6
4,7
4,8
4,9
4,10
4,11
4,12
4,13
4,14
4,15
4,16
4,17
4,18
19,20
19,21
21,22
21,23
21,24
24,25
24,26
24,27
24,28
24,29
24,30
24,31
24,32
24,33
24,34
24,35
28,36
28,37
29,38
29,39
33,40
34,41
35,42
36,43
37,44
38,45
41,49
43,50
44,51
44,52
45,53
49,59
49,60
50,62
53,63
56,64
56,65
57,66
57,67
58,68
58,69
59,70
61,71
67,72
67,73
69,74
69,75
69,76
77,78
77,79
79,80
79,81
79,82
79,83
81,84
85,86
85,87
85,88
85,89
85,90
85,91
85,92
85,93
85,94
85,95
96,98
96,99
96,100
97,101
97,102
103,104
103,105
106,107
106,108
108,109
108,110
110,111
110,112
112,113
113,114
113,115
115,116
115,117
118,119
118,120
121,122
121,123
123,124
123,125
125,126
125,127
127,129
128,130
128,131
128,132
128,133
134,135
134,136
134,137
134,138
139,140
139,141
140,142
140,143
144,147
144,148
145,149
145,150
145,151
146,152
147,153
147,154
149,155
149,156
157,160
157,161
157,162
158,163
158,164
158,165
159,166
160,167
160,168
160,169
163,170
163,171
172,173
172,174
172,175
172,176
177,178
177,179
178,180
178,181
182,185
182,186
183,187
183,188
183,189
184,190
185,191
185,192
193,196
193,197
193,198
194,199
194,200
194,201
195,202
196,203
196,204
196,205
199,206
199,207
208,209
208,210
208,211
208,212
208,213
208,214
215,217
216,218
216,219
218,220
218,221
221,222
223,229
223,230
224,231
224,232
224,233
225,234
225,235
225,236
226,237
226,238
226,239
227,240
227,241
227,242
228,243
232,244
232,245
235,246
235,247
238,248
238,249
240,250
240,251
252,259
252,260
253,261
254,262
254,263
255,264
256,265
256,266
256,267
257,268
257,269
257,270
258,271
262,272
262,273
265,274
268,275
274,276
275,277
276,278
277,279
278,280
278,281
279,282
283,284
283,285
283,286
283,287
283,288
283,289
290,291
290,292
292,293
292,294
292,295
296,304
296,305
297,306
297,307
297,308
298,309
298,310
299,311
299,312
300,313
300,314
301,315
301,316
302,317
302,318
303,319
303,320
304,321
304,322
307,323
307,324
309,325
309,326
311,327
311,328
313,329
313,330
315,331
315,332
317,333
317,334
319,335
319,336
322,337
322,338
322,339
322,340
322,341
326,342
326,343
328,344
328,345
328,346
330,347
330,348
330,349
332,350
332,351
336,352
336,353
354,396
355,397
355,398
355,399
356,400
357,401
357,402
357,403
358,404
359,405
359,406
359,407
360,408
360,409
360,410
360,411
361,412
362,413
363,414
363,415
363,416
364,417
364,418
364,419
365,420
365,421
366,422
367,423
367,424
368,425
368,426
368,427
369,428
369,429
369,430
370,431
370,432
371,433
372,434
372,435
372,436
373,437
373,438
373,439
374,440
374,441
375,442
375,443
376,444
377,445
377,446
377,447
378,448
378,449
378,450
379,451
379,452
380,453
381,454
381,455
381,456
382,457
382,458
382,459
383,460
383,461
383,462
384,463
385,464
385,465
385,466
386,467
386,468
386,469
387,470
387,471
388,472
388,473
388,474
389,475
389,476
389,477
390,478
391,479
392,480
392,481
393,482
394,483
394,484
395,485
402,486
406,487
406,488
406,489
409,490
409,491
409,492
415,493
415,494
415,495
426,496
426,497
426,498
435,499
435,500
435,501
437,502
437,503
443,504
443,505
446,506
446,507
446,508
448,509
448,510
457,511
460,512
465,513
465,514
465,515
473,516
473,517
473,518
480,519
480,520
480,521
480,522
480,523
483,524
483,525
483,526
515,527
515,528
515,529
518,530
518,531
518,532
527,550
527,551
528,552
528,553
530,554
530,555
531,556
531,557
533,562
533,563
533,564
534,565
534,566
534,567
535,568
535,569
535,570
536,571
536,572
536,573
537,574
537,575
537,576
538,577
539,578
540,579
541,580
542,581
543,582
544,583
545,584
546,585
547,586
548,587
548,588
548,589
549,590
549,591
549,592
558,593
558,594
559,595
559,596
560,597
560,598
561,599
561,600
597,609
599,610
599,611
605,612
606,613
607,614
608,615
