src,dst
506,480
581,402
407,21
493,178
342,265
276,123
464,415
187,21
546,147
237,307
554,232
8,317
33,292
172,480
341,409
327,238
17,307
556,406
148,21
15,446
351,232
286,415
488,307
59,309
452,178
544,317
191,402
417,415
600,465
48,235
556,409
191,480
104,406
124,446
333,311
509,317
520,446
172,426
480,457
469,140
352,311
208,457
347,309
259,307
35,108
341,309
579,415
601,480
538,140
206,409
507,311
235,315
505,108
274,446
615,435
553,465
556,402
287,317
307,406
522,319
131,178
136,406
551,457
82,268
472,415
330,108
321,21
515,313
387,409
571,309
404,480
48,415
485,304
322,426
11,307
432,140
190,185
436,480
366,123
578,402
575,147
505,178
143,460
580,457
400,315
484,465
578,319
111,108
406,435
21,465
510,426
248,446
516,147
521,123
433,319
526,409
433,311
466,480
106,465
471,409
156,185
192,185
597,426
612,218
612,235
243,21
246,140
489,265
241,235
43,317
198,409
314,465
457,185
54,315
441,465
445,265
510,406
545,307
590,108
612,415
318,319
93,178
488,402
597,319
292,460
213,147
266,185
420,235
461,460
353,406
234,235
469,140
209,108
470,265
472,147
169,235
328,108
509,480
485,315
114,480
123,315
498,232
499,473
93,402
137,21
35,123
173,123
462,185
423,292
246,311
498,465
327,480
454,304
601,185
11,238
20,292
280,265
273,313
7,235
455,238
76,21
366,108
587,409
424,317
609,465
615,409
540,480
501,123
147,315
403,315
517,313
105,415
167,415
519,319
143,238
587,178
319,307
304,402
267,426
474,178
464,232
93,415
246,426
433,268
210,480
56,238
516,460
580,292
419,435
501,140
611,123
454,147
528,409
574,147
415,238
229,178
8,319
412,232
35,268
28,406
248,402
313,304
29,309
326,21
3,304
31,457
403,123
557,435
602,426
588,268
453,415
347,317
269,480
106,185
103,123
271,178
441,140
487,218
591,406
200,402
191,265
330,415
91,465
572,406
456,319
32,292
341,185
605,235
472,311
90,435
572,21
583,232
207,457
40,265
78,317
52,457
348,307
178,218
407,232
51,235
565,406
97,185
203,457
314,235
62,480
546,185
318,435
315,304
89,265
526,232
565,232
95,317
198,218
16,426
52,313
204,21
418,265
552,307
280,435
473,426
14,446
367,311
32,232
137,178
234,402
584,268
452,457
614,108
401,317
165,402
235,292
140,178
427,108
57,140
155,218
592,140
46,446
86,21
600,265
16,268
187,460
40,415
316,309
580,147
497,402
581,309
265,317
156,218
54,21
169,402
150,473
501,21
124,218
187,265
605,265
414,313
82,473
520,108
424,268
321,123
426,311
287,304
269,409
495,319
594,409
164,123
428,426
367,435
512,313
491,406
531,406
506,292
572,446
31,178
311,292
366,446
588,147
176,311
449,147
432,315
438,435
501,313
506,140
605,238
264,185
525,473
100,319
323,123
593,480
568,457
192,178
321,108
268,232
74,178
465,147
315,123
497,460
457,309
447,123
29,178
35,123
367,317
245,140
529,123
201,235
523,238
482,415
499,313
511,480
186,409
513,315
580,435
170,292
512,465
371,406
76,315
509,238
439,435
502,402
165,409
317,319
83,406
218,307
110,319
211,311
552,311
229,235
479,232
187,238
514,313
235,311
584,307
32,446
327,307
190,435
514,415
152,446
178,457
85,268
515,232
547,292
14,218
29,313
336,313
569,218
218,232
462,108
133,313
441,218
99,21
147,292
313,268
417,108
366,268
486,178
155,402
476,317
527,147
141,265
503,415
576,108
540,108
516,311
611,185
304,426
126,415
491,317
155,140
442,140
418,238
304,317
106,402
305,415
205,304
588,435
94,317
87,265
414,238
126,232
110,313
590,304
198,317
34,218
453,446
488,311
586,268
130,123
113,21
531,317
32,426
312,402
472,460
84,178
63,460
94,480
10,457
312,185
422,473
109,307
554,313
305,309
338,309
59,235
261,238
557,480
584,123
185,402
520,313
325,446
88,185
545,238
436,465
310,265
544,185
232,311
329,313
502,309
43,108
578,319
398,268
513,304
421,317
251,235
375,265
525,232
64,457
331,232
321,292
493,218
143,409
0,218
513,311
117,409
190,446
411,317
498,313
399,415
107,140
111,268
569,21
438,304
