src,dst
506,422
155,277
34,250
436,206
247,407
516,416
393,419
336,218
177,490
496,177
143,261
146,333
166,327
149,177
221,371
486,327
239,374
136,277
385,311
515,261
266,333
21,422
45,277
117,155
193,422
172,218
141,371
272,419
236,304
14,459
369,185
397,221
19,267
498,407
365,422
485,277
163,250
384,371
82,336
51,304
513,221
432,138
389,422
241,138
210,330
434,155
409,188
80,333
377,267
149,490
402,327
377,407
285,459
126,185
291,267
172,177
241,304
460,311
4,247
255,188
138,330
488,311
346,206
192,239
130,304
256,138
420,267
165,185
352,327
180,221
269,459
239,218
142,261
175,218
340,138
122,374
392,327
211,188
285,419
25,206
330,247
227,218
310,239
6,311
143,490
151,330
300,138
313,221
30,188
66,422
429,19
420,206
434,206
267,371
179,200
506,267
347,311
224,333
57,277
175,330
498,371
4,239
253,490
228,330
227,239
26,200
283,330
36,239
24,177
267,155
208,218
468,138
94,261
228,185
103,261
23,19
63,459
335,490
508,267
332,327
131,261
432,185
498,374
303,327
509,188
513,188
157,304
492,206
235,416
350,304
478,280
32,407
46,371
113,247
346,261
119,221
158,188
233,218
347,138
251,200
268,330
264,330
488,280
113,280
459,250
172,177
101,177
173,221
295,177
423,177
261,155
334,200
175,267
128,311
143,374
298,19
37,419
476,188
192,155
380,311
339,304
15,333
64,419
342,218
283,304
472,419
352,138
507,239
470,327
262,371
501,206
373,239
56,261
453,200
28,330
388,330
3,200
296,19
189,239
59,374
370,200
155,490
425,304
483,371
127,267
269,311
352,250
93,185
464,200
379,247
148,185
124,416
69,311
29,330
78,416
84,327
93,19
411,188
331,261
513,327
101,250
311,419
268,407
333,407
383,419
118,311
336,206
266,138
254,311
466,277
54,250
329,19
173,250
313,304
109,267
41,188
179,419
207,239
299,218
120,333
27,333
130,330
130,330
379,221
264,311
201,185
437,155
489,206
135,327
201,422
391,188
423,185
329,247
282,490
249,206
315,371
373,459
284,19
22,416
189,459
157,267
384,155
329,336
372,280
524,311
426,261
89,422
200,416
136,416
61,177
383,422
61,333
293,311
378,19
134,336
108,267
278,490
340,261
232,333
440,422
149,311
482,416
237,200
482,371
21,416
194,374
201,336
269,371
379,374
67,185
232,200
390,19
73,185
263,374
465,155
76,247
6,185
384,490
85,304
453,490
486,327
369,311
102,459
430,155
20,330
499,304
30,19
134,200
127,188
240,239
247,333
391,419
6,206
23,330
107,336
105,280
330,311
85,422
481,459
254,221
266,371
219,311
191,155
166,188
369,188
134,200
115,330
82,327
221,19
515,206
297,330
29,218
97,416
33,250
189,239
21,330
154,371
142,247
430,490
516,304
125,459
527,267
311,422
397,221
87,277
390,206
508,327
429,185
223,333
304,250
315,247
45,304
490,261
526,250
68,419
400,185
142,330
5,221
162,371
468,185
64,19
349,188
50,267
43,327
272,200
345,330
149,422
161,422
146,200
422,261
241,407
332,277
106,138
105,280
170,277
76,250
326,188
436,155
453,304
438,239
333,277
366,188
512,247
40,247
94,330
194,422
167,280
500,188
125,206
315,416
400,239
269,267
391,416
375,336
223,177
351,407
348,371
416,261
515,407
171,218
209,490
515,188
175,422
326,371
409,138
334,280
101,250
11,371
143,490
173,330
30,333
293,407
521,374
437,261
432,371
527,371
82,419
21,188
366,416
330,267
254,221
424,138
500,185
417,185
352,261
138,304
287,19
512,185
166,221
439,188
290,155
45,206
155,407
135,416
423,333
135,280
87,416
7,138
207,330
438,336
418,416
483,371
