id,type,name,params_len,argument_len,returns,start_line,start_column,end_line,end_column,file_name,file_is_index_or_test,new_id
1,Program,nan,-1,-1,-1,1,0,3,20,packages\arraybuffer.prototype.slice\auto.js,0,0
5,CallExpression,nan,0,-1,-1,3,0,3,19,packages\arraybuffer.prototype.slice\auto.js,0,1
6,CallExpression,nan,1,-1,-1,3,0,3,17,packages\arraybuffer.prototype.slice\auto.js,0,2
8,Identifier,require,-1,-1,-1,3,0,3,7,packages\arraybuffer.prototype.slice\auto.js,0,3
9,Program,nan,-1,-1,-1,1,0,84,2,packages\arraybuffer.prototype.slice\implementation.js,0,4
11,VariableDeclaration,nan,-1,-1,-1,3,0,3,44,packages\arraybuffer.prototype.slice\implementation.js,0,5
12,VariableDeclaration,nan,-1,-1,-1,5,0,5,55,packages\arraybuffer.prototype.slice\implementation.js,0,6
13,VariableDeclaration,nan,-1,-1,-1,6,0,6,53,packages\arraybuffer.prototype.slice\implementation.js,0,7
14,VariableDeclaration,nan,-1,-1,-1,8,0,8,68,packages\arraybuffer.prototype.slice\implementation.js,0,8
15,VariableDeclaration,nan,-1,-1,-1,9,0,9,74,packages\arraybuffer.prototype.slice\implementation.js,0,9
16,VariableDeclaration,nan,-1,-1,-1,10,0,10,42,packages\arraybuffer.prototype.slice\implementation.js,0,10
17,VariableDeclaration,nan,-1,-1,-1,11,0,11,42,packages\arraybuffer.prototype.slice\implementation.js,0,11
18,VariableDeclaration,nan,-1,-1,-1,12,0,12,72,packages\arraybuffer.prototype.slice\implementation.js,0,12
19,VariableDeclaration,nan,-1,-1,-1,13,0,13,74,packages\arraybuffer.prototype.slice\implementation.js,0,13
20,VariableDeclaration,nan,-1,-1,-1,15,0,15,64,packages\arraybuffer.prototype.slice\implementation.js,0,14
21,VariableDeclaration,nan,-1,-1,-1,16,0,16,47,packages\arraybuffer.prototype.slice\implementation.js,0,15
22,VariableDeclaration,nan,-1,-1,-1,17,0,17,43,packages\arraybuffer.prototype.slice\implementation.js,0,16
25,AssignmentExpression,nan,-1,-1,-1,19,0,84,1,packages\arraybuffer.prototype.slice\implementation.js,0,17
26,MemberExpression,nan,-1,-1,-1,19,0,19,14,packages\arraybuffer.prototype.slice\implementation.js,0,18
27,FunctionExpression,nan,-1,2,1,19,17,84,1,packages\arraybuffer.prototype.slice\implementation.js,0,19
