src,dst
1,2
1,3
3,4
3,5
5,6
7,12
7,13
8,14
8,15
9,16
9,17
10,18
10,19
11,20
11,21
15,22
24,25
24,26
26,27
28,29
30,39
31,40
32,41
33,42
34,43
34,44
35,45
35,46
36,47
36,48
37,49
37,50
38,51
38,52
44,53
44,54
44,55
44,56
44,57
46,58
46,59
46,60
46,61
46,62
48,63
48,64
50,65
50,66
57,67
57,68
57,69
57,70
57,71
57,72
57,73
57,74
57,75
57,76
57,77
57,78
57,79
57,80
57,81
57,82
57,83
57,84
57,85
62,86
62,87
62,88
62,89
62,90
64,91
66,92
67,93
67,94
68,95
72,96
80,98
80,99
82,100
82,101
84,102
84,103
85,104
85,105
86,106
90,107
91,108
91,109
93,110
94,111
94,112
95,113
97,116
97,117
99,118
99,119
101,120
104,121
108,124
109,125
110,126
113,127
114,128
115,132
117,133
117,134
119,136
121,140
122,143
123,145
126,146
126,147
126,148
126,149
126,150
127,151
129,152
129,153
130,154
131,155
131,156
135,157
135,158
136,159
137,160
137,161
138,162
139,163
139,164
141,165
141,166
142,167
144,168
144,169
156,171
156,172
158,173
158,174
164,175
164,176
164,177
171,178
171,179
171,180
175,181
181,182
182,185
182,186
183,187
183,188
184,189
184,190
186,191
191,193
192,194
192,195
194,196
198,199
198,200
198,201
198,202
198,203
204,206
205,207
205,208
207,209
210,235
210,236
211,237
211,238
212,239
212,240
213,241
213,242
214,243
214,244
215,245
215,246
216,247
216,248
217,249
217,250
218,251
218,252
219,253
219,254
220,255
220,256
221,257
221,258
222,259
222,260
223,261
223,262
224,263
224,264
225,265
225,266
226,267
226,268
227,269
227,270
228,271
228,272
229,273
229,274
230,275
230,276
231,277
231,278
232,279
232,280
233,281
234,282
234,283
235,284
235,285
237,286
237,287
239,288
239,289
241,290
241,291
243,292
243,293
245,294
245,295
247,296
247,297
249,298
249,299
251,300
251,301
253,302
253,303
255,304
255,305
257,306
257,307
259,308
259,309
261,310
261,311
263,312
263,313
265,314
265,315
267,316
267,317
269,318
269,319
271,320
271,321
273,322
273,323
275,324
275,325
277,326
277,327
279,328
282,329
285,330
285,331
285,332
285,333
285,334
285,335
285,336
287,337
287,338
287,339
287,340
289,341
289,342
289,343
289,344
291,345
291,346
293,347
293,348
293,349
293,350
295,351
295,352
295,353
295,354
297,355
297,356
297,357
299,358
299,359
299,360
301,361
303,362
305,363
307,364
309,365
311,366
313,367
315,368
317,369
319,370
321,371
321,372
323,373
323,374
323,375
323,376
325,377
325,378
325,379
327,380
328,381
328,382
329,383
329,384
329,385
336,386
374,419
374,420
374,421
376,422
376,423
379,426
379,427
382,432
385,433
387,436
387,437
388,438
388,439
388,440
389,441
389,442
389,443
390,444
390,445
390,446
390,447
391,448
391,449
391,450
392,451
392,452
392,453
393,454
393,455
394,456
395,457
396,458
396,459
397,460
397,461
398,462
398,463
399,464
399,465
400,466
400,467
401,468
401,469
402,470
402,471
403,472
403,473
404,474
404,475
405,476
405,477
406,478
406,479
407,480
407,481
408,482
408,483
409,484
409,485
410,486
410,487
411,488
411,489
412,490
412,491
413,492
413,493
414,494
414,495
415,496
415,497
416,498
416,499
417,500
417,501
417,502
418,503
418,504
418,505
421,506
423,507
424,508
424,509
424,510
424,511
425,512
425,513
425,514
425,515
427,516
428,517
428,518
428,519
429,520
429,521
429,522
430,523
430,524
430,525
430,526
431,527
431,528
431,529
432,530
432,531
433,532
433,533
436,535
436,536
438,537
438,538
439,539
439,540
441,541
441,542
