src,dst
299,171
339,207
755,269
827,464
321,265
178,948
419,464
306,46
765,484
133,707
331,517
116,492
301,476
146,251
597,48
39,50
819,438
456,44
818,243
105,279
492,261
288,241
423,273
835,708
867,237
13,243
441,476
940,249
900,708
277,528
912,708
882,458
119,809
542,523
573,809
786,436
903,492
457,466
913,466
548,374
330,492
133,458
753,249
910,449
86,271
456,261
345,777
280,777
511,253
782,452
30,918
262,460
568,918
532,486
719,476
719,269
305,528
82,275
139,809
726,436
492,442
308,239
513,282
726,476
802,263
757,439
107,237
241,462
800,277
787,257
66,44
579,275
851,918
338,237
793,273
614,249
781,207
494,488
642,253
334,488
209,520
480,376
25,449
621,255
616,462
96,261
276,458
869,439
190,708
423,265
507,811
163,520
335,251
186,492
31,245
909,918
385,241
476,438
778,376
859,809
189,496
551,496
587,918
911,462
337,249
241,235
123,458
522,277
613,282
553,257
162,528
5,488
867,275
208,257
331,811
367,486
293,275
523,470
834,249
950,464
86,517
644,46
335,251
284,708
374,243
736,171
357,273
271,470
664,486
139,257
557,707
202,273
707,488
820,488
120,445
146,263
316,261
758,460
440,458
130,235
808,237
181,269
177,269
3,255
255,492
584,241
345,520
717,257
469,492
330,253
250,207
187,436
51,474
483,839
112,523
116,520
307,175
199,257
39,241
526,282
527,532
419,253
124,807
471,267
349,438
306,777
486,492
59,376
29,282
463,482
739,175
630,46
243,918
790,273
510,482
490,46
460,257
788,441
489,253
105,237
754,265
719,474
121,446
208,482
12,466
364,249
337,237
575,449
784,263
773,464
622,175
313,282
350,255
921,279
436,811
249,809
421,530
707,520
180,948
720,948
853,474
608,3
371,251
922,282
100,486
261,807
819,476
249,484
901,480
1,263
748,446
328,439
515,379
886,809
171,809
624,496
652,269
364,277
537,273
532,247
257,235
485,484
908,474
46,50
118,494
619,445
352,171
337,449
622,809
300,476
319,472
386,282
70,807
592,46
243,376
939,253
934,253
474,807
899,259
902,239
709,247
741,452
599,490
89,472
750,532
151,837
740,837
139,517
79,488
374,482
122,207
92,446
941,837
185,452
768,251
522,239
848,235
942,464
553,48
56,466
547,243
722,482
884,175
776,464
561,235
520,235
155,466
633,44
896,948
13,452
597,837
884,171
329,267
379,241
725,532
624,441
911,452
490,3
251,948
437,249
612,488
569,237
604,175
377,523
42,458
860,3
581,235
190,839
178,839
897,247
154,517
283,460
823,460
781,241
760,948
749,528
766,438
719,261
120,532
291,379
781,523
556,267
870,532
87,474
648,269
6,777
766,707
753,948
319,207
830,50
718,486
842,476
607,807
776,464
120,523
576,807
59,441
871,480
906,478
909,237
805,3
247,279
298,478
542,271
249,439
179,948
473,809
97,474
120,807
800,379
618,263
770,237
281,277
910,486
290,441
153,247
326,237
67,247
51,496
611,460
506,279
146,237
753,275
866,446
437,376
827,441
814,50
919,496
515,488
463,50
246,273
275,48
114,282
437,470
154,259
64,918
846,441
938,46
502,528
57,239
924,488
361,261
178,482
499,50
453,532
48,374
751,466
60,486
604,476
748,523
293,441
562,472
312,472
361,517
755,249
600,249
542,918
570,464
321,496
509,265
588,439
99,528
104,494
13,530
757,249
912,470
823,269
871,239
318,488
238,486
586,271
561,708
471,480
270,48
269,245
278,484
756,811
921,379
86,279
186,807
633,478
533,261
367,478
909,235
335,241
807,496
821,809
87,379
711,239
750,486
236,446
567,48
493,245
16,277
157,708
555,3
420,532
536,482
125,255
542,251
284,253
506,530
357,464
34,490
152,460
558,251
68,948
363,517
940,249
810,376
82,807
553,241
106,275
608,809
523,496
59,484
141,494
99,3
642,265
651,3
501,460
357,441
68,449
520,255
4,438
349,263
854,449
200,257
312,918
380,777
6,488
151,374
437,247
604,476
490,265
115,464
451,279
54,282
177,269
862,249
363,279
922,918
143,265
29,50
530,241
617,708
488,948
310,442
667,494
548,777
504,235
73,449
75,494
783,374
292,777
582,261
153,839
471,490
800,438
28,496
870,436
898,466
758,482
800,480
767,207
944,480
517,474
42,243
802,249
181,50
724,464
732,478
742,376
6,243
943,484
115,811
550,243
764,46
348,532
940,44
34,263
854,379
27,239
341,376
929,490
475,452
528,376
243,474
559,462
545,374
494,470
616,379
643,811
906,492
458,171
348,472
584,279
308,245
840,279
37,48
605,446
495,438
612,257
552,445
298,470
159,492
540,207
73,807
117,245
784,438
498,374
575,438
266,480
252,259
530,494
787,279
136,474
323,484
82,446
