src,same_file,jaccard_val,dst
415,1,-1,275
214,1,-1,253
417,1,-1,439
774,1,-1,466
404,1,-1,811
660,1,-1,837
411,1,-1,442
946,1,-1,532
878,1,-1,494
585,1,-1,441
691,1,-1,466
234,1,-1,708
772,1,-1,442
672,1,-1,466
637,1,-1,472
233,0,-1,3
534,1,-1,249
393,1,-1,452
693,1,-1,282
211,0,-1,46
213,1,-1,259
654,1,-1,480
683,1,-1,494
194,0,-1,271
700,1,-1,245
657,1,-1,442
699,1,-1,255
590,1,-1,707
646,1,-1,442
946,1,-1,247
388,1,-1,237
675,1,-1,259
686,1,-1,472
391,1,-1,275
875,1,-1,449
661,1,-1,466
681,0,-1,50
407,1,-1,532
649,1,-1,241
654,1,-1,263
689,1,-1,446
889,0,-1,46
945,1,-1,263
222,1,-1,452
904,0,-1,48
638,1,-1,462
218,1,-1,809
826,1,-1,237
698,0,-1,46
691,1,-1,464
158,0,-1,472
26,0,-1,253
843,1,-1,452
230,1,-1,486
429,1,0.0,374
632,1,-1,530
432,1,-1,452
701,1,-1,476
127,1,-1,48
192,1,-1,44
693,0,-1,46
686,1,-1,811
395,1,-1,259
874,1,-1,488
127,0,-1,438
904,1,-1,837
628,1,-1,948
660,1,-1,235
414,1,-1,839
660,1,-1,482
658,1,-1,436
10,0,-1,474
888,1,-1,492
589,1,-1,807
933,1,-1,439
679,1,-1,239
399,1,-1,707
403,1,-1,777
227,1,-1,279
647,1,-1,494
234,1,-1,261
685,1,-1,486
662,1,-1,438
227,1,-1,275
661,1,-1,255
396,1,-1,837
672,1,-1,528
411,1,-1,520
590,1,-1,488
689,0,-1,3
534,1,-1,247
219,1,-1,255
210,1,-1,480
214,1,-1,442
772,1,-1,482
398,1,-1,446
881,1,0.0,376
674,1,-1,839
832,1,-1,263
227,1,-1,476
933,1,-1,267
211,1,-1,239
646,1,-1,948
674,1,-1,528
8,0,-1,837
223,1,0.0,374
891,1,-1,247
432,1,-1,251
403,1,-1,275
705,1,-1,517
211,1,-1,708
676,1,-1,436
628,1,-1,253
398,1,-1,241
666,1,0.0,376
156,0,-1,470
409,1,-1,265
681,1,-1,207
232,1,-1,530
704,1,-1,809
405,1,-1,528
666,1,-1,470
404,0,-1,44
645,1,-1,207
220,1,-1,480
398,1,-1,277
396,1,-1,207
424,1,-1,480
637,1,-1,466
701,1,-1,480
403,1,-1,474
641,1,-1,458
410,1,-1,474
428,1,-1,918
205,1,-1,452
891,1,-1,464
127,0,-1,470
697,1,-1,462
670,1,-1,948
229,1,-1,460
26,0,-1,241
231,1,0.0,379
888,1,-1,207
431,1,-1,496
138,1,-1,46
224,1,-1,496
405,1,-1,251
393,1,0.0,376
393,1,-1,207
671,1,-1,528
688,1,-1,271
393,1,-1,528
701,1,-1,273
675,1,-1,707
649,1,-1,520
418,1,-1,811
230,1,-1,439
585,1,-1,462
589,1,-1,476
534,1,-1,239
8,0,-1,777
229,1,-1,235
396,1,-1,484
646,0,-1,44
650,1,-1,449
672,1,-1,948
428,1,-1,809
694,1,-1,470
660,1,-1,237
230,1,-1,263
649,1,-1,520
671,1,-1,777
210,1,-1,275
628,1,-1,470
405,1,-1,918
7,0,-1,484
654,1,-1,249
210,1,-1,259
429,1,-1,480
430,0,-1,46
894,1,-1,445
425,1,-1,249
126,0,-1,520
704,1,-1,282
214,1,-1,474
826,1,-1,261
647,1,-1,528
590,0,-1,50
696,1,-1,438
703,0,-1,44
212,1,-1,484
682,1,-1,707
666,1,0.0,379
401,1,-1,267
933,1,-1,207
684,1,-1,918
212,1,-1,530
412,1,-1,261
223,1,-1,837
629,1,-1,257
226,1,0.0,376
7,1,-1,3
687,1,-1,237
397,1,-1,275
646,1,-1,523
828,1,-1,520
892,1,-1,476
585,1,-1,452
11,0,-1,707
9,0,-1,207
390,1,-1,251
655,1,-1,441
158,0,-1,520
215,1,-1,496
138,0,-1,3
878,1,-1,282
220,1,0.0,374
826,1,-1,442
687,1,0.0,379
875,1,-1,235
690,1,-1,282
407,1,-1,496
10,0,-1,257
892,1,-1,470
904,1,-1,273
774,1,-1,275
26,0,-1,464
928,1,-1,490
890,1,-1,482
222,1,-1,436
682,1,-1,235
404,1,-1,517
772,1,-1,249
894,1,-1,275
669,0,-1,171
415,1,-1,807
691,1,-1,523
94,0,-1,707
677,1,-1,265
534,1,-1,241
212,1,-1,265
629,1,-1,466
894,1,-1,517
211,0,-1,171
666,1,-1,243
694,1,-1,494
408,1,-1,809
690,1,-1,441
11,0,-1,279
647,1,-1,839
226,0,-1,44
685,1,-1,839
