id,type,name,params_len,argument_len,returns,start_line,start_column,end_line,end_column,file_name,file_is_index_or_test,new_id
1,Program,nan,-1,-1,-1,1,0,58,2,packages\async-lock\gruntfile.js,0,0
5,AssignmentExpression,nan,-1,-1,-1,3,0,58,1,packages\async-lock\gruntfile.js,0,1
6,MemberExpression,nan,-1,-1,-1,3,0,3,14,packages\async-lock\gruntfile.js,0,2
7,FunctionExpression,nan,-1,1,0,3,17,58,1,packages\async-lock\gruntfile.js,0,3
8,Identifier,grunt,-1,-1,-1,3,26,3,31,packages\async-lock\gruntfile.js,0,4
10,BlockStatement,nan,-1,-1,-1,3,33,58,1,packages\async-lock\gruntfile.js,0,5
11,VariableDeclaration,nan,-1,-1,-1,5,1,8,3,packages\async-lock\gruntfile.js,0,6
17,CallExpression,nan,1,-1,-1,11,1,45,3,packages\async-lock\gruntfile.js,0,7
18,CallExpression,nan,1,-1,-1,48,1,48,35,packages\async-lock\gruntfile.js,0,8
19,CallExpression,nan,2,-1,-1,51,1,51,39,packages\async-lock\gruntfile.js,0,9
20,CallExpression,nan,2,-1,-1,54,1,54,62,packages\async-lock\gruntfile.js,0,10
21,CallExpression,nan,2,-1,-1,57,1,57,40,packages\async-lock\gruntfile.js,0,11
22,ObjectExpression,nan,-1,-1,-1,11,18,45,2,packages\async-lock\gruntfile.js,0,12
23,MemberExpression,nan,-1,-1,-1,11,1,11,17,packages\async-lock\gruntfile.js,0,13
24,Identifier,grunt,-1,-1,-1,48,29,48,34,packages\async-lock\gruntfile.js,0,14
25,CallExpression,nan,1,-1,-1,48,1,48,28,packages\async-lock\gruntfile.js,0,15
27,ArrayExpression,nan,-1,-1,-1,51,28,51,38,packages\async-lock\gruntfile.js,0,16
28,MemberExpression,nan,-1,-1,-1,51,1,51,19,packages\async-lock\gruntfile.js,0,17
30,ArrayExpression,nan,-1,-1,-1,54,28,54,61,packages\async-lock\gruntfile.js,0,18
31,MemberExpression,nan,-1,-1,-1,54,1,54,19,packages\async-lock\gruntfile.js,0,19
33,ArrayExpression,nan,-1,-1,-1,57,31,57,39,packages\async-lock\gruntfile.js,0,20
34,MemberExpression,nan,-1,-1,-1,57,1,57,19,packages\async-lock\gruntfile.js,0,21
36,Identifier,require,-1,-1,-1,48,1,48,8,packages\async-lock\gruntfile.js,0,22
37,Program,nan,-1,-1,-1,1,0,2,34,packages\async-lock\index.js,1,23
41,AssignmentExpression,nan,-1,-1,-1,2,0,2,33,packages\async-lock\index.js,1,24
42,MemberExpression,nan,-1,-1,-1,2,0,2,14,packages\async-lock\index.js,1,25
43,CallExpression,nan,1,-1,-1,2,17,2,33,packages\async-lock\index.js,1,26
45,Identifier,require,-1,-1,-1,2,17,2,24,packages\async-lock\index.js,1,27
46,Program,nan,-1,-1,-1,1,0,312,27,packages\async-lock\lib\index.js,1,28
48,VariableDeclaration,nan,-1,-1,-1,3,0,32,2,packages\async-lock\lib\index.js,1,29
