src,same_file,jaccard_val,dst
99,1,-1.0,138
100,1,1.0,4
222,1,-1.0,88
352,1,-1.0,62
245,1,-1.0,90
471,1,-1.0,86
422,1,-1.0,84
307,1,-1.0,64
424,1,-1.0,74
310,1,-1.0,92
429,1,1.0,2
431,1,1.0,2
433,1,1.0,2
435,1,1.0,2
382,0,-1.0,794
318,1,-1.0,76
260,1,1.0,2
321,1,-1.0,64
529,1,1.0,5
332,1,-1.0,392
333,1,-1.0,80
336,1,-1.0,80
349,1,1.0,4
282,1,-1.0,66
541,0,-1.0,96
542,0,-1.0,96
547,0,-1.0,96
549,1,1.0,536
608,0,-1.0,96
550,1,1.0,536
610,0,-1.0,96
551,1,1.0,536
612,0,-1.0,96
552,1,1.0,536
614,0,-1.0,96
553,1,1.0,536
616,0,-1.0,96
554,1,1.0,536
618,0,-1.0,96
555,1,1.0,536
620,0,-1.0,96
556,1,1.0,536
622,0,-1.0,96
557,1,1.0,536
624,0,-1.0,96
558,1,1.0,536
626,0,-1.0,96
559,1,1.0,536
628,0,-1.0,96
560,1,1.0,536
630,0,-1.0,96
561,1,1.0,536
632,0,-1.0,96
562,1,1.0,536
634,0,-1.0,96
563,1,1.0,536
636,0,-1.0,96
564,1,1.0,536
638,0,-1.0,96
565,1,1.0,536
640,0,-1.0,96
566,1,1.0,536
642,0,-1.0,96
567,1,1.0,536
644,0,-1.0,96
568,1,1.0,536
646,0,-1.0,96
569,1,1.0,536
648,0,-1.0,96
570,1,1.0,536
650,0,-1.0,96
571,1,1.0,536
652,0,-1.0,96
572,1,1.0,536
654,0,-1.0,96
573,1,1.0,536
656,0,-1.0,96
574,1,1.0,536
658,0,-1.0,96
575,1,1.0,536
660,0,-1.0,96
576,1,1.0,536
662,0,-1.0,96
577,1,1.0,536
664,0,-1.0,96
578,1,1.0,536
666,0,-1.0,96
579,1,1.0,536
668,0,-1.0,96
580,1,1.0,536
670,0,-1.0,96
581,1,1.0,536
672,0,-1.0,96
582,1,1.0,536
674,0,-1.0,96
583,1,1.0,536
676,0,-1.0,96
584,1,1.0,536
678,0,-1.0,96
585,1,1.0,536
680,0,-1.0,96
586,1,1.0,536
682,0,-1.0,96
587,1,1.0,536
684,0,-1.0,96
588,1,1.0,536
858,1,1.0,769
834,1,1.0,770
863,1,-1.0,796
866,1,-1.0,796
867,1,-1.0,800
870,1,-1.0,804
905,1,-1.0,804
973,1,-1.0,1004
1123,1,-1.0,1268
1124,1,-1.0,1270
974,1,-1.0,1006
1125,1,-1.0,1272
1126,1,-1.0,1274
1127,1,-1.0,1276
1128,1,-1.0,1278
1129,1,-1.0,1280
1130,1,-1.0,1282
1131,1,-1.0,1284
1132,1,-1.0,1286
1133,1,-1.0,1288
1134,1,-1.0,1290
1135,1,-1.0,1292
1136,1,-1.0,1294
1740,0,-1.0,64
1137,1,-1.0,1296
1138,1,-1.0,1298
1139,1,-1.0,1300
975,1,-1.0,1008
1140,1,-1.0,1302
976,1,-1.0,1010
1141,1,-1.0,1304
977,1,-1.0,1012
1142,1,-1.0,1306
1143,1,-1.0,1308
1144,1,-1.0,1310
1145,1,-1.0,1312
1146,1,-1.0,1314
1147,1,-1.0,1316
1148,1,-1.0,1318
978,1,-1.0,1014
1149,1,-1.0,1320
1150,1,-1.0,1322
1151,1,-1.0,1324
979,1,-1.0,1016
1152,1,-1.0,1326
1153,1,-1.0,1328
980,1,-1.0,1018
1154,1,-1.0,1330
1155,1,-1.0,1332
981,1,-1.0,1020
1156,1,-1.0,1334
1157,1,-1.0,1336
982,1,-1.0,1022
1158,1,-1.0,1338
983,1,-1.0,1024
1159,1,-1.0,1340
1160,1,-1.0,1342
984,1,-1.0,1026
1161,1,-1.0,1344
1162,1,-1.0,1346
1163,1,-1.0,1348
985,1,-1.0,1028
1164,1,-1.0,1350
1165,1,-1.0,1352
1166,1,-1.0,1354
986,1,-1.0,1030
1167,1,-1.0,1356
987,1,-1.0,1032
1168,1,-1.0,1358
988,1,-1.0,1034
1169,1,-1.0,1360
989,1,-1.0,1036
1170,1,-1.0,1362
1171,1,-1.0,1364
1172,1,-1.0,1366
1173,1,-1.0,1368
1174,1,-1.0,1370
1175,1,-1.0,1372
1176,1,-1.0,1374
1177,1,-1.0,1376
1178,1,-1.0,1378
1179,1,-1.0,1380
1180,1,-1.0,1382
1181,1,-1.0,1384
1182,1,-1.0,1386
1183,1,-1.0,1388
1184,1,-1.0,1390
1185,1,-1.0,1392
1186,1,-1.0,1394
1187,1,-1.0,1396
1188,1,-1.0,1398
1189,1,-1.0,1400
1190,1,-1.0,1402
1191,1,-1.0,1404
1192,1,-1.0,1406
1193,1,-1.0,1408
1194,1,-1.0,1410
1195,1,-1.0,1412
1196,1,-1.0,1414
1197,1,-1.0,1416
1198,1,-1.0,1418
1199,1,-1.0,1420
1200,1,-1.0,1422
1201,1,-1.0,1424
1202,1,-1.0,1426
1203,1,-1.0,1428
1204,1,-1.0,1430
990,1,-1.0,1038
1902,1,-1.0,2113
1205,1,-1.0,1432
991,1,-1.0,1040
938,1,-1.0,949
1434,0,-1.0,792
992,1,-1.0,1042
1207,0,-1.0,794
993,1,-1.0,1044
1209,0,-1.0,794
1210,0,-1.0,794
1211,0,-1.0,794
1212,0,-1.0,794
1213,0,-1.0,794
994,1,-1.0,1046
1219,0,-1.0,794
1220,0,-1.0,794
1221,0,-1.0,794
1222,0,-1.0,794
1223,0,-1.0,794
1224,0,-1.0,794
1459,0,-1.0,792
995,1,-1.0,1048
1231,0,-1.0,794
1232,0,-1.0,794
1233,0,-1.0,794
1234,0,-1.0,794
1235,0,-1.0,794
1237,0,-1.0,794
1473,0,-1.0,792
996,1,-1.0,1050
1244,0,-1.0,794
1245,0,-1.0,794
1246,0,-1.0,794
1247,0,-1.0,794
1248,0,-1.0,794
1249,0,-1.0,794
1250,0,-1.0,794
1487,0,-1.0,792
997,1,-1.0,1052
939,1,-1.0,951
962,1,-1.0,967
1260,1,1.0,936
963,1,-1.0,969
965,1,-1.0,971
2176,1,-1.0,2189
2177,1,-1.0,2191
2178,1,-1.0,2193
2179,1,-1.0,2195
2180,1,-1.0,2197
2221,1,-1.0,2245
2182,1,-1.0,2201
2151,1,-1.0,2154
2232,0,-1.0,78
2155,1,-1.0,2159
2157,1,-1.0,2163
