src,dst
537,74
2052,1340
2181,1296
1042,1420
2267,1296
591,88
492,1312
734,60
86,2195
627,1332
1703,1306
1396,1380
1113,1344
45,1366
1570,1412
1032,1380
1437,1038
736,1366
306,7
228,798
47,90
478,1400
156,440
1925,1306
2087,1022
2120,1344
1521,936
388,937
2185,1280
1524,1346
940,1422
673,392
739,74
1711,1018
1097,1042
15,1346
2059,1400
2103,58
1452,1374
955,1318
2118,1030
1929,1050
1911,536
1970,1294
27,1338
236,5
1382,64
1971,62
1480,4
1525,1006
1085,1308
508,2191
511,1360
396,1416
65,1432
1387,1290
68,1350
1663,2
131,1330
182,1294
2217,1040
1520,86
767,1404
1448,798
404,1044
696,1004
2175,1288
1514,1306
2051,1386
244,440
1276,1368
2135,1380
590,1330
729,951
2229,2159
507,392
52,536
1706,68
1633,2245
185,1294
2242,1314
900,1050
2074,536
515,771
1444,1034
2227,1026
836,1300
1014,1046
2073,1380
2055,1044
1565,1424
463,1348
114,1286
909,1282
1535,96
1642,1278
598,1400
751,1302
1506,1432
89,1278
898,1390
800,96
2231,1026
449,1298
52,62
196,86
925,536
596,1008
1687,1304
2018,769
2271,78
1903,3
2213,1338
2038,1026
1666,5
1946,804
1030,1378
910,1412
1094,1016
2107,1026
1446,790
1116,1372
797,1412
449,1300
1261,804
206,949
1342,1422
331,72
369,1336
1943,1392
90,1400
509,1004
1281,2113
1310,1360
1958,1006
450,72
300,769
884,1022
773,1430
721,1292
54,771
1696,1306
1339,1392
416,90
460,1268
1432,1294
760,536
1097,1340
1968,66
102,2201
1708,1326
700,790
48,1286
838,84
886,1348
1380,82
2268,1404
193,1426
1964,1320
2265,1324
1509,1398
820,1010
481,1340
1027,392
601,1032
1477,2113
2167,1380
363,1284
465,770
1553,76
1587,2197
2127,770
285,1044
1609,88
693,935
1323,96
1509,937
2187,3
1701,770
768,1020
1626,1422
57,392
1407,1024
1331,792
71,1278
231,1424
330,1316
493,1340
1582,1432
918,1286
745,1428
2054,4
2074,1020
1559,1296
876,1426
37,1398
90,1292
1041,1304
263,58
19,1416
1383,1288
740,2141
1710,1318
407,1378
255,440
655,1344
819,1338
1342,1298
2161,72
1908,2139
194,80
1303,1044
1686,1414
157,1036
750,1318
1092,969
1061,1418
1523,1420
2245,70
330,2245
209,1334
1042,1330
297,2
148,1040
1540,2193
1020,1290
71,1308
397,1328
179,1050
920,2154
781,2113
162,1268
1637,2201
2228,2197
1605,1298
903,1306
1005,1364
1037,1284
1957,1040
512,1276
78,1004
2196,1326
1936,969
1362,1394
802,1034
1650,1402
1920,1050
1543,536
22,792
744,1342
66,1014
39,72
1523,1292
1308,74
2058,1368
1913,1342
726,1388
2095,1008
1426,82
2186,1316
806,1360
598,1378
29,1024
482,951
839,2159
807,68
213,790
1053,1304
1098,1422
1467,1398
847,1362
313,1384
1087,1310
1677,771
1961,1412
510,1012
1294,1410
114,1338
83,1300
1105,1032
881,90
1972,2113
136,1038
1972,1048
1308,769
1962,1306
895,1012
2043,1402
2088,1038
1580,1378
213,2193
602,1424
1463,1426
2104,62
1465,1312
2267,1284
537,4
1121,88
828,2245
1425,2163
857,1014
2201,2195
202,1384
339,1040
1582,1388
1617,2191
1542,1356
