src,same_file,jaccard_val,dst
1161,1,-1,1410
1208,1,-1,1034
1165,0,-1,62
1879,1,-1,1314
1843,1,-1,1422
670,0,-1,1408
1151,1,-1,1010
1150,0,-1,802
1862,1,-1,1334
1132,1,-1,1288
678,0,-1,440
1219,1,-1,1328
273,0,-1,1318
666,0,-1,90
1816,0,-1,86
1802,1,-1,1270
548,0,-1,80
310,0,-1,1376
1854,1,-1,1322
1207,1,-1,1428
1238,1,-1,1024
1730,1,-1,1420
1210,1,-1,1364
569,0,-1,1300
2221,0,-1,967
993,1,-1,1052
1142,0,-1,790
1233,0,0.0,771
1747,1,-1,1362
650,0,-1,1030
1125,1,-1,1284
1787,1,-1,1340
1756,1,-1,1268
547,0,-1,1402
1800,1,-1,1398
652,0,-1,60
642,0,-1,1022
1167,1,-1,1388
1863,0,-1,2159
310,0,-1,1018
260,0,-1,804
905,0,-1,1310
1757,0,-1,2189
1822,0,-1,82
650,0,0.0,5
642,0,-1,1036
1764,0,-1,392
1741,0,-1,798
1459,0,-1,2245
1816,1,-1,1318
993,1,-1,1414
1832,1,-1,1432
660,0,-1,1394
612,1,0.0,536
1178,0,0.0,2139
1190,0,0.0,4
429,0,-1,1422
2155,0,-1,1380
1203,1,-1,1014
1223,0,-1,804
1833,1,-1,1376
1842,1,-1,1282
2216,0,-1,1288
580,0,-1,1356
630,0,-1,1320
1211,0,-1,392
277,0,-1,2195
1251,0,-1,800
1239,1,-1,1004
568,0,-1,2197
454,1,-1,84
2014,1,-1,1286
1250,1,-1,1302
2221,0,-1,1308
1762,1,-1,1310
568,0,-1,802
1226,0,0.0,770
1794,0,-1,66
974,1,-1,1316
547,0,-1,2163
1852,1,-1,1026
1179,0,-1,2159
1724,0,-1,2191
1878,1,-1,1028
1834,1,-1,1044
1735,1,-1,1338
1199,0,-1,92
1838,1,-1,1312
1786,1,-1,1016
1739,1,-1,1006
1242,0,-1,2163
2179,0,-1,1286
577,0,-1,2154
656,0,-1,1428
