src,dst
147,628
928,591
567,24
1121,634
197,624
739,138
1125,132
468,18
954,632
1355,636
312,126
905,130
238,620
422,18
291,22
1244,624
352,543
129,636
1055,16
1182,16
1203,16
424,543
778,543
272,636
349,591
195,16
623,138
1428,20
951,543
842,24
199,591
1166,126
166,632
183,20
489,99
127,140
234,630
538,140
932,634
1035,126
937,630
997,636
529,20
177,543
436,124
730,620
453,140
824,124
51,590
1252,22
836,24
805,22
1170,20
1471,620
114,624
1003,591
604,134
1027,132
195,628
942,138
1217,636
471,18
960,124
962,18
1136,590
389,134
1269,624
632,628
938,634
997,140
240,126
1299,543
833,630
667,624
213,634
1073,18
602,628
715,124
595,630
1373,591
699,16
967,591
37,132
64,126
638,636
667,140
1474,591
211,591
987,126
1236,632
485,591
363,20
1470,620
194,628
453,632
208,138
551,632
881,24
569,140
1361,128
643,136
848,624
1092,543
43,626
128,126
100,132
581,624
1056,622
1088,22
1345,134
505,16
482,628
289,543
853,99
252,132
1144,620
1247,16
479,136
427,132
798,140
1235,99
328,136
1453,132
928,140
231,20
1309,138
839,543
384,134
969,124
408,134
760,130
1004,543
395,632
964,624
1198,124
1014,99
581,622
685,136
197,18
1164,622
321,626
1182,22
1022,24
201,24
1166,124
476,20
824,626
63,22
1098,626
714,624
340,126
1463,99
921,99
217,634
436,124
557,128
179,632
1376,138
323,126
210,132
233,136
825,620
223,22
527,18
1271,136
812,22
79,128
79,18
710,134
1400,630
991,628
201,18
105,140
1125,20
1209,126
94,622
745,18
968,620
464,134
425,591
125,624
544,20
388,620
228,130
226,138
1170,628
411,543
821,620
926,130
962,136
1236,134
193,590
1262,132
1340,20
222,126
1420,16
189,591
543,24
714,591
1436,620
1130,124
846,132
306,18
521,134
175,620
684,626
438,622
853,634
94,624
1141,636
422,634
546,590
1312,16
546,136
1033,140
872,136
1024,130
701,16
677,24
180,24
1183,630
117,124
464,128
286,22
1294,622
1422,628
1028,130
1236,24
680,590
80,591
1114,16
1203,18
1329,99
1202,630
158,128
148,22
991,126
