id,type,name,params_len,argument_len,returns,start_line,start_column,end_line,end_column,file_name,file_is_index_or_test,new_id
1,Program,nan,-1,-1,-1,9,0,103,42,packages\base64id\lib\base64id.js,0,0
2,VariableDeclaration,nan,-1,-1,-1,9,0,9,31,packages\base64id\lib\base64id.js,0,1
3,VariableDeclaration,nan,-1,-1,-1,15,0,15,30,packages\base64id\lib\base64id.js,0,2
7,AssignmentExpression,nan,-1,-1,-1,23,0,72,1,packages\base64id\lib\base64id.js,0,3
8,AssignmentExpression,nan,-1,-1,-1,80,0,97,1,packages\base64id\lib\base64id.js,0,4
9,AssignmentExpression,nan,-1,-1,-1,103,0,103,41,packages\base64id\lib\base64id.js,0,5
10,MemberExpression,nan,-1,-1,-1,23,0,23,33,packages\base64id\lib\base64id.js,0,6
11,FunctionExpression,nan,-1,1,1,23,36,72,1,packages\base64id\lib\base64id.js,0,7
12,MemberExpression,nan,-1,-1,-1,80,0,80,29,packages\base64id\lib\base64id.js,0,8
13,FunctionExpression,nan,-1,0,1,80,32,97,1,packages\base64id\lib\base64id.js,0,9
14,Identifier,exports,-1,-1,-1,103,0,103,7,packages\base64id\lib\base64id.js,0,10
15,AssignmentExpression,nan,-1,-1,-1,103,10,103,41,packages\base64id\lib\base64id.js,0,11
16,Identifier,bytes,-1,-1,-1,23,45,23,50,packages\base64id\lib\base64id.js,0,12
18,BlockStatement,nan,-1,-1,-1,23,52,72,1,packages\base64id\lib\base64id.js,0,13
20,BlockStatement,nan,-1,-1,-1,80,44,97,1,packages\base64id\lib\base64id.js,0,14
21,MemberExpression,nan,-1,-1,-1,103,10,103,24,packages\base64id\lib\base64id.js,0,15
22,NewExpression,nan,0,-1,-1,103,27,103,41,packages\base64id\lib\base64id.js,0,16
23,VariableDeclaration,nan,-1,-1,-1,25,2,25,24,packages\base64id\lib\base64id.js,0,17
24,VariableDeclaration,nan,-1,-1,-1,26,2,26,18,packages\base64id\lib\base64id.js,0,18
26,IfStatement,nan,-1,-1,-1,30,2,32,3,packages\base64id\lib\base64id.js,0,19
27,VariableDeclaration,nan,-1,-1,-1,34,2,34,50,packages\base64id\lib\base64id.js,0,20
28,VariableDeclaration,nan,-1,-1,-1,35,2,35,47,packages\base64id\lib\base64id.js,0,21
29,IfStatement,nan,-1,-1,-1,37,2,39,3,packages\base64id\lib\base64id.js,0,22
30,IfStatement,nan,-1,-1,-1,41,2,43,3,packages\base64id\lib\base64id.js,0,23
31,IfStatement,nan,-1,-1,-1,45,2,48,3,packages\base64id\lib\base64id.js,0,24
32,IfStatement,nan,-1,-1,-1,51,2,66,3,packages\base64id\lib\base64id.js,0,25
33,VariableDeclaration,nan,-1,-1,-1,68,2,68,100,packages\base64id\lib\base64id.js,0,26
35,ReturnStatement,nan,1,-1,-1,71,2,71,16,packages\base64id\lib\base64id.js,0,27
