src,dst
0,1
0,2
0,3
0,4
5,6
5,7
7,8
7,9
8,10
8,11
9,12
9,13
9,14
9,15
13,16
13,17
13,18
14,19
14,20
15,21
17,22
17,23
18,24
19,25
24,26
24,27
25,28
25,29
25,30
27,31
29,32
29,33
30,34
31,37
31,38
31,39
34,40
34,41
35,42
35,43
41,44
41,45
44,47
45,48
46,49
46,50
47,51
47,52
48,54
48,55
48,56
57,58
57,59
57,60
61,74
61,75
62,76
62,77
63,78
63,79
64,80
64,81
65,82
65,83
66,84
66,85
67,86
67,87
68,88
68,89
69,90
69,91
70,92
70,93
71,94
71,95
72,96
72,97
73,98
73,99
74,100
74,101
76,102
76,103
78,104
78,105
80,106
80,107
82,108
82,109
84,110
84,111
86,112
86,113
88,114
88,115
90,116
90,117
92,118
92,119
94,120
94,121
96,122
96,123
98,124
98,125
123,126
126,155
126,156
126,157
127,160
127,161
128,162
128,163
129,164
129,165
130,166
130,167
131,168
131,169
132,170
132,171
133,172
133,173
134,174
134,175
135,176
135,177
136,178
136,179
137,180
137,181
138,182
138,183
139,184
139,185
140,186
140,187
141,188
141,189
142,190
142,191
143,192
143,193
144,194
144,195
145,196
145,197
146,198
146,199
147,200
147,201
148,202
148,203
149,204
149,205
150,206
150,207
151,208
151,209
152,210
152,211
153,212
153,213
154,214
154,215
156,216
158,217
158,218
159,219
159,220
160,221
162,222
164,223
166,224
168,225
170,226
172,227
174,228
176,229
178,230
180,231
182,232
188,233
190,234
192,235
194,236
196,237
198,238
200,239
202,240
204,241
206,242
208,243
210,244
212,245
214,246
222,248
223,249
225,250
227,251
229,252
231,253
233,254
234,255
237,256
239,257
240,258
243,259
244,260
247,261
247,262
247,263
261,264
261,265
