src,dst
183,90
181,86
84,7
81,7
89,80
116,78
236,74
8,80
264,92
184,90
24,76
171,90
82,88
8,94
32,78
226,7
173,90
27,7
84,90
262,84
56,76
37,94
10,96
79,96
104,86
126,78
111,90
106,84
115,82
20,88
93,88
218,76
26,96
263,98
246,7
173,94
249,7
215,82
110,82
177,90
54,7
27,84
9,74
42,92
259,82
230,76
230,78
111,82
96,92
45,94
114,86
25,7
172,76
113,84
122,98
104,90
175,92
260,74
191,86
171,74
11,82
95,96
30,90
221,74
124,90
165,94
110,84
157,88
172,7
122,94
189,84
36,76
183,92
59,88
27,76
32,74
197,92
257,80
188,84
1,82
11,80
193,82
74,7
107,78
254,98
165,90
43,88
191,7
4,74
169,84
125,80
205,92
79,86
122,86
75,98
250,74
90,80
180,90
54,74
224,86
115,80
77,7
99,90
257,78
121,82
221,84
4,94
13,86
238,94
103,74
175,86
167,74
190,78
248,96
207,74
260,7
232,76
12,98
58,78
81,76
98,84
51,96
111,84
98,88
107,82
55,88
5,94
18,80
87,80
184,90
28,76
205,92
34,82
53,84
114,86
124,88
41,76
185,76
90,74
107,76
77,88
157,92
6,84
216,88
259,74
83,94
210,76
60,74
162,90
122,76
8,92
53,80
104,74
105,98
108,96
242,76
99,76
94,84
33,74
39,84
93,78
211,82
54,94
228,94
252,84
94,98
180,76
119,82
104,78
23,74
25,74
101,88
250,74
180,74
88,78
98,94
230,80
183,76
117,90
226,94
39,80
224,7
23,96
19,7
251,86
87,98
112,78
19,98
100,80
259,78
257,88
187,96
167,80
52,94
104,76
97,98
161,94
103,78
23,74
24,92
195,88
195,74
172,76
217,88
254,78
36,7
236,90
235,84
112,90
42,80
3,82
226,78
262,86
44,76
74,84
