src,same_file,jaccard_val,dst
132,1,-1.0,139
162,1,-1.0,187
163,1,-1.0,189
164,1,-1.0,191
165,1,-1.0,193
133,1,-1.0,141
166,1,-1.0,195
167,1,-1.0,197
134,1,-1.0,143
169,1,-1.0,201
135,1,-1.0,145
170,1,-1.0,203
171,1,-1.0,205
172,1,-1.0,207
173,1,-1.0,209
393,1,-1.0,504
395,1,-1.0,506
397,1,-1.0,508
174,1,-1.0,211
175,1,-1.0,213
136,1,-1.0,147
176,1,-1.0,215
177,1,-1.0,217
137,1,-1.0,149
178,1,-1.0,219
179,1,-1.0,221
180,1,-1.0,223
181,1,-1.0,225
182,1,-1.0,227
183,1,-1.0,229
445,1,-1.0,542
447,1,-1.0,544
449,1,-1.0,546
451,1,-1.0,548
184,1,-1.0,231
138,1,-1.0,151
126,1,-1.0,127
645,0,0.5,3020
621,0,1.0,4641
675,0,1.0,1583
664,0,-1.0,1624
698,0,1.0,3045
696,0,0.0,3024
715,1,1.0,618
681,1,-1.0,701
683,0,0.0,3028
726,1,-1.0,731
748,1,-1.0,756
749,1,-1.0,758
750,1,-1.0,760
727,1,-1.0,733
751,1,-1.0,762
728,1,-1.0,735
752,1,-1.0,764
729,1,-1.0,737
753,1,-1.0,766
730,1,-1.0,739
720,1,-1.0,721
842,0,1.0,3022
844,0,1.0,3022
858,0,0.5,3021
861,0,0.5,3021
989,0,0.5,3021
990,0,0.5,3020
992,0,0.5,3020
993,0,1.0,3022
995,0,1.0,3022
1064,0,0.5,3026
1066,0,1.0,3022
1068,0,0.5,3020
1068,1,-1.0,1045
1068,0,-1.0,1624
1068,0,-1.0,4650
981,1,1.0,960
1007,1,1.0,961
982,1,1.0,960
1011,0,1.0,1583
983,1,1.0,960
1015,0,0.5,4641
984,1,1.0,960
934,0,-1.0,4607
986,1,-1.0,930
925,1,-1.0,935
902,1,0.0,887
1123,1,-1.0,1131
1157,1,-1.0,1175
1158,1,-1.0,1177
1124,1,-1.0,1133
1159,1,-1.0,1179
1160,1,-1.0,1181
1125,1,-1.0,1135
1161,1,-1.0,1183
1162,1,-1.0,1185
1126,1,-1.0,1137
1163,1,-1.0,1187
1164,1,-1.0,1189
1165,1,-1.0,1191
1127,1,-1.0,1139
1128,1,-1.0,1141
1129,1,-1.0,1143
1245,1,-1.0,1285
1171,1,-1.0,1202
1246,1,-1.0,1287
1172,1,-1.0,1204
1130,1,-1.0,1145
1117,1,-1.0,1118
1384,0,0.5,3021
1385,0,0.6666666666666666,4185
1386,0,0.5,3021
1387,0,0.6666666666666666,4185
1388,0,0.5,3021
1405,0,0.6666666666666666,4185
1406,0,0.6666666666666666,4185
1390,0,1.0,3032
1391,0,1.0,3032
1392,1,1.0,1342
1393,0,0.5,3021
1457,0,0.0,1581
1459,0,0.0,1582
1432,1,-1.0,1435
1514,0,-1.0,1620
1516,0,-1.0,1620
1518,0,-1.0,1620
1554,0,-1.0,1620
1447,1,-1.0,1461
1522,0,-1.0,1620
1556,0,-1.0,1620
1448,1,-1.0,1463
