src,dst
5617,3580
3719,1922
4847,3049
4853,4986
2983,4189
216,4978
5038,2020
775,1624
4559,197
4087,3420
3482,5052
3881,1285
2609,4441
1666,3027
2132,1976
2566,215
828,1342
5463,5070
2816,151
1577,5077
802,887
5324,3392
4985,5077
4936,3596
5366,3029
1971,4974
5767,4952
59,615
23,1781
2551,3420
4181,1183
3620,5371
4000,1139
489,52
4768,2000
4271,762
4229,5047
5292,5081
850,5060
1605,4928
4090,3784
4140,1581
5038,106
3424,3039
5471,4443
1221,5068
864,3582
1362,5058
3987,1759
440,4952
4122,5080
1142,3568
2622,4754
146,3037
3576,2008
3015,4932
2995,3047
661,4918
3043,197
5447,766
3932,1765
2900,3580
955,4190
694,4942
1943,508
4303,1966
1354,2018
106,5060
3793,2032
3580,3508
3603,99
5049,737
3236,227
3370,4414
3541,1435
5766,4190
4045,5681
428,3572
5637,1183
5856,211
2332,1759
5764,99
1153,1715
3851,1137
5189,4922
741,141
2465,1131
1313,5062
32,3032
4390,3020
4004,1761
2068,1757
851,2010
531,193
763,3578
5595,1747
2350,620
2615,1767
3657,1785
3425,32
4122,3572
3654,4736
1415,5584
4390,1998
737,5584
2944,3576
3302,5074
3207,3048
4902,1914
3585,3040
5788,52
4836,887
1689,3420
927,4968
4638,213
2789,1287
2655,3544
5444,1339
3850,1946
5566,3033
2372,1285
5224,5045
2002,2024
1794,4184
2748,3029
2110,4922
4798,4754
4190,2012
1,3410
3587,1131
5620,1946
1470,2032
4685,1779
3512,219
2019,213
3096,4443
4196,885
6,1962
4392,3030
2523,4196
5761,1795
3546,4537
3595,4650
3074,1920
5397,5072
2124,4407
4246,1797
770,4934
1105,930
3393,508
1770,223
3524,961
1401,4922
917,3394
5041,3038
3503,5049
2541,217
3186,3590
3017,4958
1951,2044
5766,3021
4976,3394
5453,3572
677,221
5602,1668
745,739
3432,620
1072,5055
3871,106
3073,1187
4716,4194
905,1467
1073,1435
5421,721
76,1769
4731,3021
3141,1952
1340,735
2021,149
3131,935
2103,1797
5796,141
160,3548
206,4932
461,1175
3158,4437
1609,5681
5781,1583
88,3664
945,151
839,885
44,1767
3263,5078
2537,1668
3861,3420
2105,5061
2945,4194
4636,4414
4720,3508
2424,4834
4304,1181
4635,4924
370,1787
600,4956
4218,1461
4146,4736
871,3666
4509,1966
95,4838
3872,3548
109,5056
3309,1972
569,207
1957,3023
2492,3021
4954,3548
446,1583
2942,1187
1099,5055
4441,1950
2378,1666
3790,3665
2054,4958
2527,3444
4220,3027
539,4826
5617,1187
3912,1954
3358,3544
5763,5371
1468,504
4402,4952
5744,5072
5566,2048
3210,3416
1973,2016
4992,3035
4177,1990
2906,2028
2808,1956
4677,4192
998,3514
2934,1584
1905,1922
4581,3584
5042,1435
1416,1998
894,187
5739,3022
424,4840
510,5043
2554,4968
5028,4986
2984,1787
767,1992
2381,221
1485,5068
3971,3574
3836,5729
5284,3594
3523,3028
3550,887
84,4922
2937,546
4828,885
4498,2020
3617,3412
5307,2030
4941,52
1544,1789
3561,5081
1594,149
5642,3586
4064,209
544,3590
1918,1341
2753,5575
33,4911
1961,4598
1298,4854
1013,1444
2335,1767
623,5078
2694,3023
4552,4942
2062,4764
153,3544
3104,504
3871,3420
2122,4536
61,5681
1318,3504
1515,219
2039,227
1557,2016
5433,4913
5467,818
3600,2008
5751,4826
616,3584
4943,4968
562,1747
5528,1467
4226,4950
1310,4934
3201,4936
5280,1715
261,4960
186,1767
606,1191
4310,3582
4440,548
2016,191
5301,1426
978,1789
878,1924
1218,4190
4577,928
1790,4570
2721,5681
429,1946
3236,701
1939,1771
4018,2044
2110,4433
1715,1761
1024,3443
5639,1131
3201,31
5516,4913
4115,3050
1451,4439
3533,1344
3878,2867
4136,4690
2566,1785
4365,1920
1820,2004
2144,935
4144,3396
1221,3406
4213,1583
2974,3420
3718,151
1341,4185
5784,1444
3838,1191
4116,139
1180,5056
2563,4537
3196,1948
732,3510
4115,1958
190,5066
4788,209
938,1135
5488,4808
5773,4189
3341,197
4084,3544
5180,3031
2629,4970
3976,3408
1780,5066
3375,4964
4290,4189
4101,4826
3410,4974
4975,43
3198,3506
1148,1787
3153,1183
2096,3667
1214,5681
3213,5043
840,818
3191,4976
3330,4930
2653,2010
3646,1344
3154,4808
204,1775
5622,1779
1059,4909
2556,1944
3878,2010
2921,3036
4337,3042
2644,1179
34,5080
5801,542
1921,3034
2008,2020
5737,1990
557,1467
5560,4974
4835,4617
4984,3444
4083,1583
1711,5074
4179,2008
3354,1769
5276,4414
927,4964
766,813
1248,2010
4128,544
3191,1191
707,3047
116,151
3044,620
4604,1982
5585,1791
4368,3406
3279,4958
1753,721
1575,1141
3208,5043
654,1990
5072,149
1524,5575
1918,1795
4914,205
3542,5367
2134,89
4557,4650
3080,4968
1274,106
3433,3035
3370,3584
5535,2008
3306,4984
591,4824
4494,1978
2730,1960
4534,149
3151,141
1411,4928
3183,2030
4980,4956
3845,3667
2637,223
2694,1978
4919,3404
531,3420
248,191
509,4754
3136,3546
5221,3039
243,149
2354,3030
2939,4836
148,1747
1751,4962
4465,229
3719,4641
519,4942
2944,1767
4237,932
2143,4928
2858,99
2577,1956
4853,739
1676,1920
4648,5078
3318,544
1203,762
552,616
714,5367
4676,1175
643,3512
4919,3444
3826,3408
2482,4986
4464,4970
1483,766
4337,3041
242,1765
1192,4956
3266,4930
4838,3041
903,191
4808,141
5380,4186
1178,1137
1061,5369
1423,1668
1605,764
5386,225
5790,506
1407,930
3818,756
3074,4443
4842,5058
1551,5064
1587,32
2058,964
2899,3510
5492,3046
528,1767
3730,2006
233,4598
4730,1285
1174,5058
4451,145
2628,4537
2571,189
3850,4439
1976,3443
4405,3414
2572,3398
4516,762
223,4828
980,885
79,5072
5748,1584
5509,1187
876,3037
4754,2046
935,3410
2921,151
3302,1133
1005,4976
4618,620
5535,4188
4174,4756
1996,2042
4485,4808
3048,1749
2369,4824
3808,4932
5732,4968
2471,1467
3402,3394
4949,221
4094,618
1441,1958
1362,928
574,1118
5600,4940
4825,5584
554,1045
254,106
2801,4186
591,542
5384,4974
795,546
2013,1916
1430,3418
5047,2020
1309,2048
2744,3029
3056,1992
1963,2000
211,4944
893,1916
2363,4834
3432,5060
4446,4978
625,1191
251,1668
2509,145
770,4948
3428,3416
1640,1339
2003,766
2431,4570
4597,221
3284,758
4800,4918
4287,3020
4451,1472
874,1141
4124,3510
5100,3034
5802,3033
5781,3416
3154,99
5510,762
3590,207
2749,2014
909,1143
684,1920
2711,4752
3074,5043
1185,1339
2907,3570
1151,3404
3101,4934
1600,1964
5522,4311
3664,32
816,3554
2368,1920
227,229
217,5081
1113,3512
4964,1783
3618,3416
5300,1918
1436,3029
371,3396
4253,928
741,1185
5035,4808
790,4840
614,2022
5527,1996
74,546
2963,5579
2443,4311
654,4986
3530,3046
4113,4988
869,4836
32,3420
4099,4190
914,5043
435,1187
1638,3023
5749,2014
4793,1185
142,1779
4972,733
1493,1942
4685,4978
2694,1715
4358,1435
3863,508
5468,1585
826,1341
2595,5045
2940,5074
2146,203
5664,5681
1625,3031
1689,4980
4936,739
2918,2002
2023,201
881,3510
2694,197
5641,2044
5250,4926
5743,4978
549,213
2419,4970
5001,930
1814,147
4999,816
4333,5049
4574,4924
2411,89
4252,2044
2732,930
5421,1461
3039,4832
565,4936
2925,932
5544,1956
1429,2006
2886,5064
2651,1797
2636,4197
142,1181
5713,1954
4345,5681
2985,504
3590,1189
1957,5047
5486,4194
4455,195
2792,3416
489,3558
4938,3664
142,4736
2021,3021
4194,213
4903,2024
604,1285
3966,1191
452,1426
2444,3663
4460,2018
5468,3578
1527,201
3241,3049
245,3046
936,2030
42,193
3102,1179
2386,961
2375,3030
1212,1942
450,930
3937,4641
5469,1773
5663,2002
5581,4194
3894,217
4155,4954
655,5729
705,227
1608,1767
1262,1181
4195,508
3071,1757
658,4946
4197,209
4794,4840
115,1143
3854,4928
3708,3572
5397,615
5059,3
2864,1769
2921,5080
4120,3508
5573,1767
4321,885
758,2048
853,3414
1780,1137
1663,4832
3136,5369
1306,4437
3548,4984
1467,1474
1187,1342
3812,221
3577,1994
1584,3039
5335,1131
4072,3370
710,187
5785,5586
2962,1787
5073,3039
5564,3508
2733,2026
1590,4830
1175,506
4968,3042
1913,4982
5502,4752
3230,3416
3524,4978
1700,818
1070,3667
4343,4192
4960,1187
1790,5052
1606,928
4990,1992
3048,731
4103,4194
5320,3552
46,1757
2056,1761
1950,1968
507,3034
1636,3037
5546,4194
1795,3410
3567,3046
2476,4986
4664,3020
1557,1922
3658,1958
5812,5367
1973,4909
2858,193
1533,1131
929,5061
3260,4766
4777,1968
1799,4830
1253,1779
2465,89
4981,3588
5751,3031
2910,3508
217,731
3320,99
4348,617
2994,201
4801,620
1793,4198
1665,139
1001,213
4008,3039
4793,4838
145,3402
2572,5579
3594,4926
584,2006
2734,225
2421,4752
688,739
4641,1467
5219,3552
4200,4441
5828,4570
2944,5081
3573,1779
2609,4913
4521,4822
4495,4970
834,739
3926,548
4758,4570
3593,4736
2901,4854
5581,3667
1753,3580
5422,1763
2469,2038
2065,5584
342,3042
1417,1183
3316,721
1285,4197
5580,3042
3203,3022
3197,1787
2105,3552
3423,1444
3986,4924
3161,544
1494,1775
4371,4433
4835,5081
658,187
4071,211
701,3512
1679,3548
3617,1978
4356,1924
5721,737
5588,3414
92,3029
382,99
1520,3398
2726,3039
372,4197
4924,4976
1719,1986
3440,961
565,1581
1328,1785
3091,3039
1312,1285
3810,5066
1641,4756
1439,3666
4368,3414
2785,5064
948,187
3514,4909
457,1463
1122,3039
4078,5052
1787,3050
2649,615
5003,5577
1468,5077
3950,1924
457,3512
5486,3596
4055,544
5004,4537
55,223
2907,1956
4249,1773
5408,3554
4437,106
1137,1966
879,3031
1757,5080
191,5586
3408,4922
3783,3664
3256,4414
1027,506
1062,721
3554,5070
1669,3027
4776,2042
154,1751
916,2014
2399,219
3252,1439
248,1791
3160,4940
3158,4756
1362,4186
3200,4598
3860,1761
4626,3023
584,1781
4377,3556
3570,4916
3439,4758
3145,4922
4109,4920
4041,3400
3020,3031
3901,544
4206,4964
4130,4650
416,4968
3179,3028
1096,1751
3259,205
4168,4940
4995,3046
5463,1133
881,5367
2773,52
3787,1958
2671,211
1458,1795
3400,2046
2738,5052
2425,4918
5838,4970
4956,4964
255,4443
3405,3047
3568,5066
4930,211
2499,3420
234,1585
1206,4932
4977,5051
5460,1204
1673,5061
1153,197
3246,1185
4994,814
3844,4752
1458,814
3670,4854
4196,542
5051,1998
3138,4598
4071,229
5280,542
5514,205
1778,1968
2079,3572
4543,4932
537,2036
1071,1118
4708,5038
3860,1444
5625,2014
5836,1791
3594,5038
5285,5081
5848,225
4384,721
1588,1998
1292,1922
1813,52
3573,5579
5357,1137
2036,3422
2515,2022
1317,1795
2844,1958
5000,217
3088,4760
3070,4495
4148,1946
5013,5369
2921,3554
3113,145
5615,5369
2796,2016
1353,1988
3185,1751
3875,1344
515,3558
1114,3420
4210,4938
3818,3550
41,1958
1071,193
1414,5072
4774,143
4596,1771
1053,1472
2780,3576
5428,3043
816,4416
115,3590
2561,3552
2017,814
4767,4754
2107,205
5288,3030
4635,961
3837,3584
5702,816
3253,3034
1077,1145
5261,930
2340,1581
2501,964
144,195
5721,3594
4536,4911
1112,209
3409,4942
5190,3050
3919,1189
2023,3574
2470,4980
3033,1749
1771,1145
5354,2006
2381,4978
1611,1950
5014,701
2547,1666
695,5729
4496,4607
2024,4944
3284,4934
545,4913
2553,227
4509,3043
116,99
5189,4924
1019,225
5736,5373
4519,4962
1067,4944
4173,3036
459,2008
1048,3444
82,1345
4964,1131
422,2048
5442,4617
5199,4191
498,1202
3558,3040
4969,106
3880,4926
3979,4762
5393,3666
4280,4913
3155,1339
2467,1474
5254,1472
813,2010
4708,1474
5416,4830
4689,5681
4600,4736
1461,5577
676,1785
4081,542
5505,737
2905,1118
599,1585
5316,203
1104,4194
662,219
1823,4598
4103,3418
4916,3044
3522,4966
1344,1964
189,1948
2034,1763
2895,4760
1316,4437
2074,3396
5037,4946
5676,3406
4933,3028
2749,4909
5059,4193
3374,4762
5479,548
1644,3418
5401,4834
2029,1962
1523,3558
5682,617
5269,3546
402,544
960,90
4808,1787
3523,4964
4309,508
1656,4828
2382,3035
3820,3588
2547,1623
2052,721
1524,3042
5701,4185
3654,1946
1559,1444
5633,145
1357,3574
211,3554
362,5051
3008,3044
4013,2002
1253,3596
5521,5367
3445,99
2145,90
629,4934
2405,1982
157,4754
1215,1135
2359,3512
3550,3049
3935,5575
4637,2008
4508,4764
2129,4956
3075,814
2029,1771
3049,1944
1135,3042
4756,762
1359,1761
4236,1964
5637,1189
3932,733
1214,3020
838,3444
4371,4834
1549,5369
5045,3544
4116,3049
684,4911
3550,4191
1785,1956
380,1986
3179,1962
4967,1942
2371,189
5497,191
1071,3392
1626,1797
2508,3784
4300,3514
1708,201
5057,5371
936,215
2086,4186
4285,1131
3564,106
1320,5074
4494,187
972,930
3508,3445
619,3035
65,3558
4247,3034
2142,3418
5683,615
4914,1759
5021,1463
3196,4537
226,205
4285,4944
1297,4641
3229,3594
3932,4832
4155,1135
5009,5367
1930,4920
1198,5072
379,4826
3888,1187
2441,2022
4084,1757
5640,5060
334,4834
1290,1444
4634,1747
4153,106
434,3029
5111,1777
1520,5058
2585,3566
2407,4938
53,52
1968,1994
5280,1942
4347,4986
3202,4964
774,3028
5346,1749
2013,1996
1760,1960
4642,1962
3987,5077
1599,928
3034,760
4387,5043
3508,5047
5782,3574
1439,2042
2117,5369
736,5375
4037,814
5672,3667
3222,145
158,5367
639,1787
3007,127
5453,229
