src,same_file,jaccard_val,dst
3592,0,0.0,615
2248,0,0.0,5078
2322,0,-1,4690
4015,1,-1,3422
5506,0,0.0,4536
4813,0,0.0,885
4009,0,0.0,1340
2355,0,-1,4952
681,0,-1,1437
1731,1,-1,1962
5225,1,-1,4986
805,0,0.0,4537
1724,1,-1,2008
5195,0,-1,1426
1158,0,-1,1972
2314,0,0.0,5073
3897,0,-1,4756
3706,0,0.0,1340
3689,0,0.0,3024
4320,0,-1,760
3775,0,-1,1994
3895,0,-1,1461
5692,1,-1,4956
2170,0,0.0,3032
5235,0,-1,735
2175,0,0.0,4190
3312,0,-1,1978
3216,0,0.0,3445
747,0,-1,1135
4893,0,-1,3548
2652,0,-1,1439
1234,0,0.0,4191
1296,1,-1,1202
1079,0,0.0,1339
5247,0,0.0,3047
1450,0,-1,546
5805,1,-1,4928
343,0,-1,733
1166,0,-1,231
173,1,-1,231
1740,1,-1,1988
3491,0,-1,149
3378,0,-1,739
4813,0,-1,1045
2542,0,-1,3596
491,0,-1,1793
271,1,-1,217
5169,0,0.0,4184
1845,0,-1,4756
311,0,-1,4928
521,0,-1,4822
3516,0,0.0,5055
4745,0,-1,207
2892,1,-1,2026
4011,0,-1,4940
3385,0,-1,5375
4330,0,0.0,5058
3780,1,0.0,3443
2232,0,-1,1183
3449,0,0.0,5047
5168,0,-1,1145
2201,0,0.0,4193
3967,0,-1,2867
2265,0,-1,756
1874,0,0.0,5729
2275,0,-1,721
265,0,-1,4617
4656,0,-1,4954
132,0,-1,3504
1508,0,0.0,3037
4318,0,-1,2012
3788,1,-1,3418
3943,1,-1,3504
1064,0,-1,4435
1904,0,-1,197
2616,0,-1,3586
298,0,-1,1944
2302,0,0.0,5063
520,0,0.0,619
5084,1,-1,4916
4063,0,-1,1755
2341,0,-1,1133
1651,0,-1,1924
5184,0,-1,1749
2274,0,-1,3506
1687,0,-1,4922
1528,0,-1,1753
844,0,-1,544
5253,0,-1,99
1741,1,-1,1920
3843,0,-1,758
3458,0,-1,1191
4565,0,-1,89
1129,0,-1,3396
1698,0,0.0,5058
3743,0,-1,4954
2892,0,-1,4948
3454,0,-1,4922
1899,0,-1,3506
5513,1,0.0,5052
5246,0,-1,3558
4469,0,-1,4978
5703,0,-1,4435
2287,1,-1,1751
5405,0,0.0,818
1842,0,-1,4926
2842,1,-1,1797
5355,0,-1,766
1505,1,-1,1467
1881,0,-1,1437
4319,0,0.0,816
477,0,-1,4650
3499,1,-1,3412
2224,0,-1,506
1745,1,-1,1757
1229,0,-1,4913
4278,0,-1,1426
5678,0,-1,139
5821,0,-1,205
2767,0,0.0,4184
2610,0,-1,739
4293,0,-1,4988
2883,0,-1,3510
5355,0,-1,1439
3839,0,-1,4537
2240,0,0.0,615
1869,0,-1,764
314,0,-1,2022
2179,0,0.0,5051
4005,0,-1,1781
2646,0,-1,4962
2312,0,0.0,3040
1513,0,0.0,5062
473,0,-1,1924
4551,0,-1,4752
282,1,-1,203
1746,0,-1,508
5163,1,0.0,5066
1554,0,-1,147
1897,0,0.0,816
5228,0,-1,143
170,1,-1,213
1928,0,-1,43
1724,1,-1,1793
5138,1,-1,4913
1502,0,0.0,4186
2281,1,-1,2008
520,0,-1,721
138,0,0.0,619
2285,0,-1,4736
1743,1,-1,2034
2292,0,-1,1185
3699,0,0.0,5064
1842,0,-1,3546
286,0,-1,2026
2258,0,-1,90
2718,0,0.0,5056
1743,0,-1,756
4379,0,-1,5375
3927,0,-1,1924
1745,0,-1,4950
1643,0,-1,4956
2564,0,-1,985
2705,0,-1,1177
359,0,-1,701
1167,0,-1,1045
1569,0,-1,2014
1102,1,0.0,885
4679,0,-1,546
4349,0,-1,4942
5569,0,-1,3416
3465,0,-1,4752
747,0,-1,3420
4625,0,0.0,1584
4880,0,-1,231
5777,0,-1,1946
2206,1,-1,2014
2238,1,-1,1992
2270,1,-1,1785
5821,0,0.0,3045
1394,0,-1,2004
4709,0,-1,1177
2321,0,0.0,5059
393,0,0.0,4641
1892,0,0.0,3033
5365,0,-1,756
3446,1,-1,3586
2562,0,0.0,1339
3676,0,0.0,4188
1900,0,-1,3586
2450,0,-1,231
1832,0,0.0,3026
2710,0,0.0,818
2416,0,-1,3396
5203,0,0.0,961
1510,0,0.0,3037
1827,0,-1,225
2384,0,0.0,4187
3450,0,-1,731
2630,0,-1,31
133,0,-1,1946
2264,1,-1,2014
1899,0,0.0,813
2883,0,-1,546
1432,0,-1,1962
782,0,-1,4752
4893,1,-1,5575
2245,0,0.0,3443
4855,0,-1,4441
1835,0,0.0,4537
670,0,-1,4970
2326,0,-1,3
2416,0,-1,546
3518,0,-1,1045
1168,0,-1,229
5168,0,0.0,816
1509,0,-1,1976
3473,0,0.0,4198
5098,0,0.0,3045
4474,0,-1,217
1068,0,-1,4836
1832,0,-1,3510
2248,0,0.0,3037
5160,0,-1,1960
4627,0,0.0,3032
5235,0,0.0,1340
5204,1,0.0,5057
4482,0,0.0,3443
2654,0,0.0,3030
2610,0,-1,205
1434,0,-1,4980
1538,0,-1,1185
5099,0,0.0,3046
4894,0,-1,1753
1450,0,-1,1145
4658,0,0.0,3035
3949,0,0.0,3037
596,0,-1,739
5413,0,-1,1994
3771,0,-1,1992
5686,0,-1,2048
289,0,-1,1461
3712,0,-1,2024
1868,0,-1,4752
2580,0,0.0,3023
1255,0,-1,964
1011,0,-1,2012
1456,0,0.0,960
2256,0,-1,211
1739,0,-1,5575
5506,0,-1,3
1852,0,-1,3582
3786,0,0.0,4536
2434,0,0.0,1343
2216,1,-1,1765
1157,0,-1,4607
1513,0,-1,4822
1864,1,-1,1988
5168,1,0.0,5057
2260,0,-1,1133
2406,1,-1,1986
3464,0,-1,127
2696,0,-1,3594
3947,0,0.0,5072
4868,0,-1,1133
670,0,-1,3504
1497,0,-1,1759
4873,0,-1,2008
3809,0,-1,5375
2320,0,0.0,4854
4892,0,0.0,3042
3847,0,-1,4311
5129,0,0.0,3039
1386,0,-1,3594
271,0,0.0,885
4349,0,-1,1956
2582,0,0.0,5081
4032,0,0.0,52
2612,0,-1,211
3899,0,-1,1795
4865,0,0.0,3040
1861,0,-1,3588
2480,1,-1,1914
1195,0,-1,1998
5345,0,-1,43
5146,0,0.0,818
3378,1,-1,3512
2075,0,-1,735
2865,0,0.0,3050
1670,0,0.0,3031
2278,0,-1,89
593,0,-1,4944
267,0,-1,3548
1705,0,-1,1435
2317,0,-1,4758
1745,0,-1,3544
2546,0,-1,1666
3464,1,0.0,3666
3377,0,0.0,5045
2616,0,-1,739
320,0,0.0,3665
2480,0,-1,191
2668,0,0.0,3047
1242,0,0.0,617
4745,0,-1,1761
5194,0,-1,3408
5665,0,-1,3396
2239,1,-1,2012
1499,0,-1,1759
2731,0,-1,3784
3386,0,-1,544
1249,0,0.0,4641
2167,1,-1,1966
5204,0,-1,1920
5480,1,-1,5575
284,0,0.0,5074
5165,0,-1,1924
1739,0,-1,231
1235,0,-1,4414
4866,0,-1,1757
5142,0,-1,3418
308,0,-1,4756
4748,0,-1,223
1499,0,0.0,1341
5365,0,0.0,1584
5272,1,0.0,5058
3927,0,-1,1439
5218,0,-1,90
415,1,-1,205
1161,0,0.0,5063
847,0,-1,1204
179,0,-1,3396
381,0,-1,4930
2300,0,-1,4962
1894,0,0.0,5078
3807,0,0.0,618
5102,0,-1,1183
5654,0,-1,3396
2831,0,-1,764
4427,0,0.0,887
5218,0,0.0,3044
3460,0,-1,4946
5363,0,-1,1773
3949,0,-1,542
1859,0,-1,4922
5353,1,-1,4838
3631,0,-1,1769
3885,0,-1,1623
4880,0,-1,1753
4424,0,-1,1474
2478,0,-1,4754
3447,0,-1,5369
325,0,-1,4936
288,0,0.0,1341
5162,0,-1,201
4744,0,0.0,3023
5654,0,-1,1918
3387,0,-1,1137
1837,0,-1,149
2242,0,-1,4964
2582,0,-1,4911
2201,0,-1,504
2774,1,-1,1763
