id,type,name,params_len,argument_len,returns,start_line,start_column,end_line,end_column,file_name,file_is_index_or_test,new_id
1,Program,nan,-1,-1,-1,1,0,117,2,packages\check-more-types\Gruntfile.js,0,0
3,AssignmentExpression,nan,-1,-1,-1,1,0,117,1,packages\check-more-types\Gruntfile.js,0,1
4,MemberExpression,nan,-1,-1,-1,1,0,1,14,packages\check-more-types\Gruntfile.js,0,2
5,FunctionExpression,nan,-1,1,0,1,17,117,1,packages\check-more-types\Gruntfile.js,0,3
6,Identifier,grunt,-1,-1,-1,1,26,1,31,packages\check-more-types\Gruntfile.js,0,4
8,BlockStatement,nan,-1,-1,-1,1,33,117,1,packages\check-more-types\Gruntfile.js,0,5
10,VariableDeclaration,nan,-1,-1,-1,4,2,4,48,packages\check-more-types\Gruntfile.js,0,6
12,VariableDeclaration,nan,-1,-1,-1,110,2,110,57,packages\check-more-types\Gruntfile.js,0,7
18,CallExpression,nan,1,-1,-1,6,2,108,4,packages\check-more-types\Gruntfile.js,0,8
19,CallExpression,nan,1,-1,-1,111,2,111,37,packages\check-more-types\Gruntfile.js,0,9
20,CallExpression,nan,2,-1,-1,113,2,113,36,packages\check-more-types\Gruntfile.js,0,10
21,CallExpression,nan,2,-1,-1,114,2,114,56,packages\check-more-types\Gruntfile.js,0,11
22,CallExpression,nan,2,-1,-1,115,2,116,57,packages\check-more-types\Gruntfile.js,0,12
23,ObjectExpression,nan,-1,-1,-1,6,19,108,3,packages\check-more-types\Gruntfile.js,0,13
24,MemberExpression,nan,-1,-1,-1,6,2,6,18,packages\check-more-types\Gruntfile.js,0,14
25,MemberExpression,nan,-1,-1,-1,111,18,111,36,packages\check-more-types\Gruntfile.js,0,15
26,MemberExpression,nan,-1,-1,-1,111,2,111,17,packages\check-more-types\Gruntfile.js,0,16
28,ArrayExpression,nan,-1,-1,-1,113,29,113,35,packages\check-more-types\Gruntfile.js,0,17
29,MemberExpression,nan,-1,-1,-1,113,2,113,20,packages\check-more-types\Gruntfile.js,0,18
31,ArrayExpression,nan,-1,-1,-1,114,28,114,55,packages\check-more-types\Gruntfile.js,0,19
32,MemberExpression,nan,-1,-1,-1,114,2,114,20,packages\check-more-types\Gruntfile.js,0,20
34,ArrayExpression,nan,-1,-1,-1,116,4,116,56,packages\check-more-types\Gruntfile.js,0,21
35,MemberExpression,nan,-1,-1,-1,115,2,115,20,packages\check-more-types\Gruntfile.js,0,22
36,Program,nan,-1,-1,-1,1,0,11,1,packages\check-more-types\webpack.config.js,0,23
38,AssignmentExpression,nan,-1,-1,-1,1,0,11,1,packages\check-more-types\webpack.config.js,0,24
39,MemberExpression,nan,-1,-1,-1,1,0,1,14,packages\check-more-types\webpack.config.js,0,25
40,ObjectExpression,nan,-1,-1,-1,1,17,11,1,packages\check-more-types\webpack.config.js,0,26
41,Program,nan,-1,-1,-1,1,0,1132,1,packages\check-more-types\dist\check-more-types.js,0,27
43,EmptyStatement,nan,-1,-1,-1,1132,0,1132,1,packages\check-more-types\dist\check-more-types.js,0,28
44,CallExpression,nan,2,-1,-1,1,0,1131,2,packages\check-more-types\dist\check-more-types.js,0,29
45,ThisExpression,nan,-1,-1,-1,10,3,10,7,packages\check-more-types\dist\check-more-types.js,0,30
46,FunctionExpression,nan,-1,0,1,10,9,1131,1,packages\check-more-types\dist\check-more-types.js,0,31
47,FunctionExpression,nan,-1,2,0,1,1,10,1,packages\check-more-types\dist\check-more-types.js,0,32
49,BlockStatement,nan,-1,-1,-1,10,20,1131,1,packages\check-more-types\dist\check-more-types.js,0,33
50,Identifier,webpackUniversalModuleDefinition,-1,-1,-1,1,10,1,42,packages\check-more-types\dist\check-more-types.js,0,34
51,Identifier,root,-1,-1,-1,1,43,1,47,packages\check-more-types\dist\check-more-types.js,0,35
52,Identifier,factory,-1,-1,-1,1,49,1,56,packages\check-more-types\dist\check-more-types.js,0,36
54,BlockStatement,nan,-1,-1,-1,1,58,10,1,packages\check-more-types\dist\check-more-types.js,0,37
55,ReturnStatement,nan,1,-1,-1,11,0,1130,11,packages\check-more-types\dist\check-more-types.js,0,38
56,IfStatement,nan,-1,-1,-1,2,1,9,28,packages\check-more-types\dist\check-more-types.js,0,39
57,CallExpression,nan,1,-1,-1,11,16,1130,11,packages\check-more-types\dist\check-more-types.js,0,40
59,LogicalExpression,nan,-1,-1,-1,2,4,2,61,packages\check-more-types\dist\check-more-types.js,0,41
60,ArrayExpression,nan,-1,-1,-1,53,10,1130,10,packages\check-more-types\dist\check-more-types.js,0,42
61,FunctionExpression,nan,-1,1,1,11,17,51,10,packages\check-more-types\dist\check-more-types.js,0,43
62,AssignmentExpression,nan,-1,-1,-1,3,2,3,28,packages\check-more-types\dist\check-more-types.js,0,44
65,Identifier,modules,-1,-1,-1,11,26,11,33,packages\check-more-types\dist\check-more-types.js,0,45
67,BlockStatement,nan,-1,-1,-1,11,35,51,10,packages\check-more-types\dist\check-more-types.js,0,46
68,MemberExpression,nan,-1,-1,-1,3,2,3,16,packages\check-more-types\dist\check-more-types.js,0,47
69,CallExpression,nan,0,-1,-1,3,19,3,28,packages\check-more-types\dist\check-more-types.js,0,48
70,UnaryExpression,nan,1,-1,-1,2,4,2,18,packages\check-more-types\dist\check-more-types.js,0,49
72,UnaryExpression,nan,1,-1,-1,2,35,2,48,packages\check-more-types\dist\check-more-types.js,0,50
74,VariableDeclaration,nan,-1,-1,-1,13,10,13,36,packages\check-more-types\dist\check-more-types.js,0,51
75,FunctionDeclaration,nan,-1,1,1,16,10,37,11,packages\check-more-types\dist\check-more-types.js,0,52
79,ReturnStatement,nan,1,-1,-1,50,10,50,40,packages\check-more-types\dist\check-more-types.js,0,53
80,Identifier,factory,-1,-1,-1,3,19,3,26,packages\check-more-types\dist\check-more-types.js,0,54
81,Identifier,exports,-1,-1,-1,2,11,2,18,packages\check-more-types\dist\check-more-types.js,0,55
82,Identifier,module,-1,-1,-1,2,42,2,48,packages\check-more-types\dist\check-more-types.js,0,56
83,Identifier,__webpack_require__,-1,-1,-1,16,19,16,38,packages\check-more-types\dist\check-more-types.js,0,57
84,Identifier,moduleId,-1,-1,-1,16,39,16,47,packages\check-more-types\dist\check-more-types.js,0,58
86,BlockStatement,nan,-1,-1,-1,16,49,37,11,packages\check-more-types\dist\check-more-types.js,0,59
87,AssignmentExpression,nan,-1,-1,-1,41,10,41,41,packages\check-more-types\dist\check-more-types.js,0,60
88,AssignmentExpression,nan,-1,-1,-1,44,10,44,50,packages\check-more-types\dist\check-more-types.js,0,61
89,AssignmentExpression,nan,-1,-1,-1,47,10,47,36,packages\check-more-types\dist\check-more-types.js,0,62
90,CallExpression,nan,1,-1,-1,50,17,50,39,packages\check-more-types\dist\check-more-types.js,0,63
91,IfStatement,nan,-1,-1,-1,19,11,20,54,packages\check-more-types\dist\check-more-types.js,0,64
92,VariableDeclaration,nan,-1,-1,-1,23,11,27,13,packages\check-more-types\dist\check-more-types.js,0,65
95,ReturnStatement,nan,1,-1,-1,36,11,36,33,packages\check-more-types\dist\check-more-types.js,0,66
96,MemberExpression,nan,-1,-1,-1,41,10,41,31,packages\check-more-types\dist\check-more-types.js,0,67
97,Identifier,modules,-1,-1,-1,41,34,41,41,packages\check-more-types\dist\check-more-types.js,0,68
98,MemberExpression,nan,-1,-1,-1,44,10,44,31,packages\check-more-types\dist\check-more-types.js,0,69
99,Identifier,installedModules,-1,-1,-1,44,34,44,50,packages\check-more-types\dist\check-more-types.js,0,70
100,MemberExpression,nan,-1,-1,-1,47,10,47,31,packages\check-more-types\dist\check-more-types.js,0,71
103,Identifier,__webpack_require__,-1,-1,-1,50,17,50,36,packages\check-more-types\dist\check-more-types.js,0,72
104,ReturnStatement,nan,1,-1,-1,20,12,20,54,packages\check-more-types\dist\check-more-types.js,0,73
105,MemberExpression,nan,-1,-1,-1,19,14,19,40,packages\check-more-types\dist\check-more-types.js,0,74
106,CallExpression,nan,4,-1,-1,30,11,30,94,packages\check-more-types\dist\check-more-types.js,0,75
107,AssignmentExpression,nan,-1,-1,-1,33,11,33,31,packages\check-more-types\dist\check-more-types.js,0,76
108,MemberExpression,nan,-1,-1,-1,36,18,36,32,packages\check-more-types\dist\check-more-types.js,0,77
109,MemberExpression,nan,-1,-1,-1,20,19,20,53,packages\check-more-types\dist\check-more-types.js,0,78
110,MemberExpression,nan,-1,-1,-1,30,34,30,48,packages\check-more-types\dist\check-more-types.js,0,79
111,Identifier,module,-1,-1,-1,30,50,30,56,packages\check-more-types\dist\check-more-types.js,0,80
112,MemberExpression,nan,-1,-1,-1,30,58,30,72,packages\check-more-types\dist\check-more-types.js,0,81
113,Identifier,__webpack_require__,-1,-1,-1,30,74,30,93,packages\check-more-types\dist\check-more-types.js,0,82
114,MemberExpression,nan,-1,-1,-1,30,11,30,33,packages\check-more-types\dist\check-more-types.js,0,83
115,MemberExpression,nan,-1,-1,-1,33,11,33,24,packages\check-more-types\dist\check-more-types.js,0,84
