src,dst
845,496
1092,434
905,837
172,849
1332,931
636,605
367,472
1022,15
691,881
1351,305
1142,929
171,865
973,867
3,167
59,587
1332,923
446,615
352,492
175,585
84,1062
1019,830
315,581
655,597
422,432
998,1407
923,169
407,901
112,917
1245,18
306,431
369,893
983,577
1021,437
1033,577
444,611
1042,847
36,1053
362,901
1359,75
922,435
182,581
210,14
1032,567
434,75
732,593
1209,1222
387,575
981,849
927,591
958,551
23,615
211,587
1056,494
409,895
1074,830
1091,901
572,618
410,857
1307,881
472,599
232,437
894,571
542,435
872,929
845,1110
71,609
966,1407
1356,589
1280,569
982,14
1056,161
1286,927
239,438
897,830
1078,830
1285,734
724,877
144,19
203,901
649,855
302,734
362,921
858,573
1281,595
380,917
860,601
1067,567
163,597
1221,929
505,919
884,863
588,581
1018,555
300,921
211,853
288,432
407,925
115,437
1226,1062
420,16
713,934
1118,618
1415,553
1112,897
133,593
466,1412
580,885
1014,19
153,431
115,921
10,863
711,492
450,931
805,875
972,923
576,869
857,432
591,897
1013,561
1224,615
1107,161
684,849
594,432
667,15
1108,591
1372,1407
163,885
320,435
708,881
1111,161
709,571
248,1222
1234,875
989,911
1084,561
422,891
226,116
607,832
708,885
131,591
493,907
218,893
1285,18
1231,603
313,889
6,837
654,891
85,887
1280,618
1344,927
389,863
1286,1110
22,849
1113,573
689,583
382,601
971,893
1191,575
329,553
1313,431
829,605
454,605
150,830
278,1106
1070,863
233,849
895,613
1108,605
721,723
987,163
1072,1378
557,877
1023,305
1292,925
1116,887
1249,597
360,165
506,169
112,919
1220,925
587,17
1002,853
958,1114
631,901
248,167
1137,909
409,873
33,495
852,19
449,909
23,577
1302,432
1406,169
1409,873
1407,116
1212,433
143,934
71,496
106,893
61,923
1190,573
1213,1102
1019,849
1125,579
420,613
400,613
84,472
444,611
583,577
950,853
191,857
50,496
1252,167
1353,161
959,75
4,116
971,169
456,433
88,611
299,593
1381,434
481,597
1080,472
16,873
1014,615
389,857
730,603
1399,909
653,915
330,551
942,169
732,1378
202,877
1289,887
1302,1106
982,435
261,589
555,901
248,599
835,923
55,116
1426,927
1407,847
551,723
913,308
212,437
975,496
806,587
1220,613
732,909
721,849
507,925
642,163
46,167
714,597
1248,611
346,567
363,435
757,75
362,1110
638,867
1128,734
739,891
463,907
353,901
77,571
1237,873
584,571
986,17
820,603
831,1114
1256,589
958,303
6,1114
1225,591
273,585
312,859
1387,925
1251,917
884,734
603,492
840,927
356,923
757,587
355,493
670,909
737,919
877,855
1018,830
1306,830
1251,75
979,436
114,161
56,597
27,305
977,613
846,495
1404,431
1041,116
622,571
254,853
1078,871
1389,472
1292,605
930,438
754,881
1296,583
70,434
1272,16
1371,851
349,577
1195,597
300,893
1001,1110
728,1053
1270,563
916,575
901,921
388,921
361,1380
671,559
884,857
371,1110
1399,857
154,867
277,1222
239,493
1336,17
925,885
150,618
694,1114
315,551
403,899
434,555
240,837
32,438
456,1378
1106,17
137,601
506,1407
315,847
971,857
503,575
270,308
445,891
618,734
289,1053
25,921
1085,609
200,591
427,605
222,893
1293,913
254,887
248,861
1413,853
674,308
93,161
851,931
1272,1110
272,931
565,1106
340,571
1122,869
76,597
1339,438
503,609
1067,161
650,903
1121,881
675,859
506,161
1397,607
381,581
1413,879
882,903
889,877
1051,303
121,1376
940,18
1020,899
885,609
152,865
465,573
64,921
1250,903
374,169
424,903
561,432
542,1222
195,492
503,303
1138,583
1344,575
974,867
492,901
726,20
112,853
1210,557
1340,579
240,589
806,871
1292,903
1245,907
552,881
1092,165
1026,889
223,472
470,167
426,909
1023,875
471,897
1361,897
418,436
707,1110
1309,1053
636,163
297,907
1280,167
1012,837
1341,869
390,75
415,494
407,593
552,851
496,438
1297,496
830,875
207,496
590,867
59,18
467,432
272,577
466,567
354,934
362,837
476,14
1022,305
899,18
888,565
1248,1106
14,436
496,591
426,903
1372,867
563,583
940,591
578,493
893,1102
1385,437
697,472
1190,493
1064,723
597,893
1055,593
1231,1380
696,909
557,435
895,618
233,587
1258,495
1103,308
423,20
85,17
32,911
304,927
393,1222
268,609
1223,865
597,495
211,436
1262,611
912,19
758,909
376,851
249,855
75,1106
651,431
1296,613
108,847
506,1053
1027,605
1042,849
23,597
1075,849
373,1380
195,308
1383,1378
560,609
1101,887
1399,169
6,613
996,873
1398,595
392,611
672,494
1286,14
452,830
548,903
395,855
705,851
39,929
1094,308
631,551
1267,14
1349,889
121,611
1083,15
1413,1378
504,593
906,899
591,921
208,493
85,575
388,609
44,716
301,579
965,551
715,1114
167,929
16,909
1352,889
276,1380
1274,734
457,303
1346,917
861,472
1102,911
64,915
242,716
1260,1380
889,927
580,911
1406,551
806,437
126,583
127,931
1188,75
1402,567
849,593
646,303
1355,723
140,837
1296,909
95,865
1078,603
1351,1106
283,472
280,436
122,871
47,607
466,494
1360,433
184,615
436,605
892,867
1096,17
829,571
7,921
566,911
16,495
96,837
1399,553
896,873
164,555
250,885
591,16
857,553
820,494
1083,861
1248,75
713,559
1099,567
489,913
459,571
1083,913
960,853
408,861
1332,573
1276,875
352,871
889,911
1101,1222
307,495
976,865
33,433
35,613
1305,75
1,163
1345,867
1286,895
698,305
1062,161
8,303
721,879
1146,1114
729,611
825,605
863,1053
1375,851
753,435
1248,873
1034,903
73,75
693,601
30,934
951,303
872,161
445,169
1282,919
1363,437
280,1053
691,1380
886,14
325,431
