src,same_file,jaccard_val,dst
163,0,-1.0,324
166,0,-1.0,324
182,1,1.0,7
184,1,1.0,5
152,1,1.0,5
122,0,-1.0,324
128,1,1.0,4
136,1,1.0,6
221,1,-1.0,247
327,1,-1.0,382
328,1,-1.0,384
222,1,-1.0,249
329,1,-1.0,386
330,1,-1.0,388
331,1,-1.0,390
223,1,-1.0,251
332,1,-1.0,392
224,1,-1.0,253
333,1,-1.0,394
334,1,-1.0,396
335,1,-1.0,398
225,1,-1.0,255
336,1,-1.0,400
226,1,-1.0,257
647,1,1.0,196
337,1,-1.0,402
338,1,-1.0,404
339,1,-1.0,406
227,1,-1.0,259
197,1,-1.0,204
408,0,1.0,4
411,0,1.0,4
414,0,1.0,4
417,0,1.0,4
420,0,1.0,4
423,0,1.0,4
426,0,1.0,4
228,1,-1.0,261
429,0,1.0,4
432,0,1.0,4
435,0,1.0,4
229,1,-1.0,263
438,0,1.0,4
230,1,-1.0,265
441,0,1.0,4
231,1,-1.0,267
198,1,-1.0,206
444,0,1.0,6
352,1,-1.0,564
447,0,1.0,6
353,1,-1.0,564
450,0,1.0,6
354,1,-1.0,564
453,0,1.0,6
355,1,-1.0,564
456,0,1.0,6
356,1,-1.0,564
459,0,1.0,6
357,1,-1.0,564
232,1,-1.0,269
462,0,1.0,6
358,1,-1.0,564
464,0,1.0,6
359,1,-1.0,564
466,0,1.0,6
360,1,-1.0,564
233,1,-1.0,271
468,0,1.0,6
361,1,-1.0,564
234,1,-1.0,273
470,0,1.0,6
362,1,-1.0,564
235,1,-1.0,275
652,0,1.0,6
617,1,-1.0,564
363,1,-1.0,472
654,0,1.0,6
618,1,-1.0,564
364,1,-1.0,474
656,0,1.0,6
619,1,-1.0,564
365,1,-1.0,476
236,1,-1.0,277
199,1,-1.0,208
478,0,1.0,7
481,0,1.0,7
237,1,-1.0,279
484,0,1.0,7
238,1,-1.0,281
487,0,1.0,7
239,1,-1.0,283
490,0,1.0,7
240,1,-1.0,285
496,0,1.0,7
241,1,-1.0,287
502,0,1.0,7
242,1,-1.0,289
658,0,1.0,7
376,1,-1.0,508
661,0,1.0,7
377,1,-1.0,510
243,1,-1.0,291
200,1,-1.0,210
316,0,-1.0,62
218,1,-1.0,219
