src,same_file,jaccard_val,dst
215,1,1.0,11
218,1,-1.0,52
246,1,-1.0,52
151,1,1.0,7
154,1,1.0,7
155,1,1.0,10
315,1,1.0,263
292,1,1.0,264
352,1,1.0,265
347,1,1.0,265
330,1,1.0,265
754,1,-1.0,813
579,1,-1.0,637
756,1,-1.0,817
580,1,-1.0,639
469,1,-1.0,486
758,1,-1.0,821
581,1,-1.0,641
760,1,-1.0,825
582,1,-1.0,643
470,1,-1.0,488
762,1,-1.0,829
583,1,-1.0,645
471,1,-1.0,490
1184,0,0.5,5
1087,0,-1.0,77
1088,1,-1.0,1186
1089,1,-1.0,1188
764,1,-1.0,833
765,1,-1.0,835
766,1,-1.0,837
767,1,-1.0,839
768,1,-1.0,841
769,1,-1.0,843
770,1,-1.0,845
584,1,-1.0,647
1208,0,0.5,5
1097,0,-1.0,77
1098,1,-1.0,1210
1099,1,-1.0,1212
771,1,-1.0,847
772,1,-1.0,849
773,1,-1.0,851
774,1,-1.0,853
775,1,-1.0,855
776,1,-1.0,857
585,1,-1.0,649
1455,0,0.5,5
1105,1,-1.0,1227
777,1,-1.0,859
586,1,-1.0,651
472,1,-1.0,492
863,0,0.5,5
779,0,-1.0,77
780,1,-1.0,865
781,1,-1.0,867
587,1,-1.0,653
588,1,-1.0,655
589,1,-1.0,657
590,1,-1.0,659
473,1,-1.0,494
1110,1,-1.0,1234
785,1,-1.0,877
591,1,-1.0,661
474,1,-1.0,496
786,1,-1.0,879
592,1,-1.0,663
475,1,-1.0,498
788,1,-1.0,883
593,1,-1.0,665
476,1,-1.0,500
1117,1,-1.0,1244
790,1,-1.0,887
594,1,-1.0,667
1119,1,-1.0,1248
791,1,-1.0,889
595,1,-1.0,669
1121,1,-1.0,1252
792,1,-1.0,891
596,1,-1.0,671
477,1,-1.0,502
793,1,-1.0,893
1380,1,1.0,367
1260,1,1.0,366
597,1,-1.0,673
1129,1,-1.0,1262
795,1,-1.0,897
598,1,-1.0,675
1131,1,-1.0,1266
796,1,-1.0,899
1133,1,-1.0,1270
797,1,-1.0,901
599,1,-1.0,677
1135,1,-1.0,1274
798,1,-1.0,903
600,1,-1.0,679
478,1,-1.0,504
1137,1,-1.0,1278
799,1,-1.0,905
1139,1,-1.0,1282
800,1,-1.0,907
601,1,-1.0,681
1141,1,-1.0,1286
801,1,-1.0,909
602,1,-1.0,683
1143,1,-1.0,1290
802,1,-1.0,911
1145,1,-1.0,1294
803,1,-1.0,913
603,1,-1.0,685
1147,1,-1.0,1298
804,1,-1.0,915
604,1,-1.0,687
479,1,-1.0,506
1149,1,-1.0,1302
805,1,-1.0,917
1151,1,-1.0,1306
806,1,-1.0,919
1153,1,-1.0,1310
807,1,-1.0,921
1155,1,-1.0,1314
808,1,-1.0,923
605,1,-1.0,689
480,1,-1.0,508
809,1,-1.0,925
606,1,-1.0,691
811,1,-1.0,929
607,1,-1.0,693
481,1,-1.0,510
376,1,-1.0,412
445,0,0.5,5
431,0,-1.0,77
566,1,1.0,367
568,1,1.0,367
572,1,1.0,367
574,1,1.0,367
578,1,1.0,367
635,1,1.0,367
