src,dst
159,655
964,839
120,500
991,370
565,637
1389,366
856,437
220,917
1061,5
325,835
204,10
22,370
277,659
345,1266
139,372
1295,1252
1074,1262
724,437
1072,813
109,895
845,679
1402,8
701,665
741,500
131,412
121,829
363,881
508,877
982,851
1067,10
698,10
1271,10
1051,893
749,1262
1004,683
317,901
1291,263
438,374
112,1212
1005,845
201,374
1031,905
817,671
1074,1248
907,508
1225,1227
484,813
969,661
927,264
733,669
319,370
1050,887
700,687
734,845
660,883
1433,889
45,1310
276,1212
671,637
1079,500
886,921
1347,1234
945,1286
893,56
1523,54
1200,372
1069,1495
1347,889
113,8
513,879
1219,851
671,1188
961,655
156,494
236,1278
378,496
1187,1244
1444,1262
235,899
116,146
443,919
1307,915
219,502
1277,683
1414,366
744,366
337,498
1224,679
499,693
1489,1314
430,637
35,5
1509,909
944,649
241,1188
1542,146
987,667
173,849
404,859
997,146
387,1282
498,893
498,374
1525,1302
408,367
1364,1286
1324,1274
329,1290
536,931
205,496
733,849
509,667
450,1210
32,839
871,1302
949,52
1366,895
183,439
312,867
541,372
214,851
1346,369
552,54
1430,671
1365,1282
857,365
724,488
131,265
875,663
14,929
1007,1244
62,52
1195,667
286,1262
1509,1495
244,1186
557,1262
325,651
1336,903
377,5
687,146
1407,147
707,909
1397,883
1338,264
682,679
303,263
913,368
1272,855
980,1252
675,438
369,865
612,500
865,639
1401,851
115,847
1061,265
1222,857
1439,441
677,1252
437,895
10,436
97,853
1459,439
3,1252
1295,813
1238,492
17,641
443,1234
185,372
111,683
857,77
138,673
403,839
443,440
156,897
110,921
1425,923
0,1244
1228,1314
965,687
613,147
728,845
319,919
257,839
1274,502
731,675
1494,1290
492,1252
957,373
1394,687
896,369
1512,919
1527,1270
668,1234
128,492
1294,679
1393,661
408,7
706,146
565,889
1359,817
65,77
1126,853
877,905
1393,919
509,439
1229,675
1552,897
641,825
515,911
150,1248
1192,490
547,877
1050,665
97,412
202,1314
1069,825
340,369
380,56
624,1306
952,655
934,502
1515,907
1519,366
403,891
257,370
1213,931
548,929
923,925
1371,490
1014,883
182,496
694,665
1019,504
678,847
1274,673
747,909
150,7
10,817
1508,147
915,370
1335,439
1354,1186
103,855
436,841
833,685
408,492
1387,865
896,1186
47,1227
694,691
65,639
548,52
1194,655
535,436
239,504
400,849
258,685
1510,498
1332,899
371,657
848,657
1227,657
1314,911
37,8
738,436
555,889
741,438
1051,879
858,373
57,673
858,366
319,1310
1033,147
1374,366
1288,895
425,913
453,486
1211,679
907,1314
613,496
728,921
323,502
507,657
1545,1270
1412,373
1058,436
889,412
1064,502
395,496
3,849
388,651
982,77
1364,919
66,851
80,641
1020,691
1336,147
1418,1282
611,649
668,911
995,1212
136,1298
1311,879
1442,7
2,264
1193,442
986,437
545,1278
13,1186
1472,506
1262,369
1181,919
709,893
1530,263
509,909
614,1262
298,1186
1273,643
1059,1282
1496,877
504,56
1504,504
944,265
1521,859
947,683
443,687
1036,1210
935,366
457,1186
1076,649
852,263
1347,913
1288,77
235,1270
1281,859
1365,412
156,1310
237,645
883,647
400,7
1278,1290
943,839
902,146
414,677
958,52
707,651
116,667
66,510
690,374
836,486
397,372
4,813
250,665
628,681
529,1314
214,837
72,370
1203,1294
296,813
1021,372
1245,905
1221,917
250,370
897,867
1225,442
213,929
955,147
878,412
1302,1306
554,673
326,671
950,264
127,496
1377,1252
846,641
819,691
1227,663
1428,1314
461,486
