src,same_file,jaccard_val,dst
579,1,-1,657
1120,0,0.0,263
288,0,-1,921
598,1,-1,412
1092,1,-1,851
608,1,-1,689
766,0,0.0,5
1447,1,-1,843
477,1,-1,671
1475,0,-1,52
1448,1,-1,881
471,1,-1,1212
585,1,-1,909
352,0,-1,412
766,1,-1,1298
330,0,-1,897
756,1,-1,681
1115,1,-1,921
782,0,0.0,7
1526,1,-1,490
603,1,-1,917
803,1,0.0,371
1168,0,0.0,9
1092,0,0.0,9
1461,1,-1,1495
1531,1,0.0,374
1150,1,-1,923
1457,1,-1,651
1121,1,-1,687
1117,1,-1,857
1457,1,-1,442
1144,1,-1,829
591,0,0.0,146
1081,1,-1,901
779,1,-1,855
525,1,-1,1274
1142,1,-1,1302
1136,1,-1,659
207,0,-1,925
1462,1,-1,671
273,0,-1,637
1129,1,-1,442
1456,1,-1,637
1119,0,0.0,263
1088,0,-1,56
574,1,-1,1290
1104,1,-1,1252
1463,1,-1,835
1144,1,-1,1244
1149,1,-1,855
445,1,-1,855
1458,0,0.0,8
587,1,-1,839
603,1,-1,825
1087,1,0.0,370
1461,1,-1,837
521,1,-1,851
569,1,-1,683
862,1,-1,639
376,1,-1,691
606,1,-1,1310
475,1,-1,673
1242,1,0.0,367
586,0,0.0,264
1207,1,-1,1274
788,1,-1,865
1471,1,-1,645
1464,1,-1,1286
1149,1,-1,883
791,1,-1,643
1104,1,-1,1314
517,1,0.0,371
518,1,-1,1270
305,0,0.0,370
793,1,-1,917
1088,1,0.0,369
1460,1,-1,879
580,0,0.0,263
474,1,-1,931
765,1,-1,903
773,1,-1,693
92,0,-1,883
780,0,0.0,147
581,0,-1,56
1091,1,-1,855
568,1,-1,504
1157,1,-1,1270
1131,1,-1,931
1090,1,-1,909
779,1,-1,881
797,1,-1,917
783,1,-1,919
470,1,0.0,366
1529,1,-1,847
766,1,-1,881
769,1,-1,911
1104,1,-1,1294
583,1,-1,657
1080,1,-1,903
165,0,-1,1306
804,1,-1,889
583,1,-1,655
767,1,-1,849
1361,1,-1,508
1152,0,0.0,9
1089,1,-1,679
1090,0,0.0,7
1129,1,-1,1286
357,0,-1,1244
785,1,0.0,370
767,1,-1,685
355,0,-1,919
1242,1,-1,821
776,1,-1,653
305,0,-1,1270
285,0,-1,901
309,0,0.0,372
433,1,-1,663
376,1,-1,879
810,1,-1,1252
1242,1,-1,687
335,0,-1,821
1140,1,-1,813
1168,1,-1,859
155,0,-1,907
1482,1,-1,907
376,1,-1,867
517,1,-1,865
767,1,-1,1234
1154,1,-1,488
757,1,-1,905
607,1,-1,891
804,1,-1,901
601,1,0.0,368
785,1,-1,913
566,1,-1,845
792,1,-1,913
1163,1,-1,651
