src,dst
0,1
0,2
0,3
0,4
0,5
0,6
0,7
0,8
0,9
0,10
0,11
0,12
0,13
0,14
0,15
11,16
11,17
11,18
11,19
11,20
12,23
12,24
12,25
12,26
12,27
13,41
13,42
13,43
14,44
14,45
14,46
15,47
15,48
15,49
15,50
20,54
20,55
21,56
21,57
22,58
22,59
27,60
27,61
27,62
27,63
27,64
27,65
27,66
27,67
27,68
28,69
29,70
29,71
30,72
30,73
31,74
32,75
33,76
33,77
34,78
35,79
36,80
37,81
37,82
38,83
38,84
39,85
39,86
39,87
40,88
40,89
43,90
43,91
46,92
50,93
51,94
51,95
52,96
52,97
53,98
53,99
54,100
54,101
55,105
55,106
57,107
57,108
57,109
59,110
59,111
59,112
59,113
60,114
60,115
61,116
61,117
62,120
62,121
62,122
63,123
63,124
64,125
64,126
65,127
65,128
66,129
66,130
67,131
67,132
68,133
68,134
82,135
84,136
90,137
90,138
91,139
92,140
93,141
93,142
95,144
95,145
100,146
102,147
102,148
103,149
103,150
104,151
104,152
105,153
109,154
109,155
109,156
109,157
109,158
109,159
109,160
109,161
113,162
113,163
113,164
113,165
113,166
113,167
113,168
113,169
114,170
115,171
115,172
116,173
117,174
117,175
118,176
118,177
119,178
119,179
124,180
125,181
126,182
126,183
127,184
128,185
128,186
129,187
130,188
131,189
132,190
132,191
133,192
134,193
134,194
135,195
136,196
136,197
136,198
136,199
136,200
136,201
136,202
136,203
136,204
136,205
136,206
138,207
140,208
140,209
141,210
143,211
143,212
145,213
145,214
146,215
146,216
146,217
146,218
153,221
153,222
155,224
155,225
156,227
156,228
158,230
158,231
159,233
159,234
160,236
160,237
161,239
165,240
165,241
166,243
166,244
167,246
167,247
169,249
170,250
171,251
172,252
172,253
173,254
175,255
175,256
179,257
181,261
183,262
184,263
186,264
187,265
188,266
188,267
189,269
191,270
192,271
193,272
194,273
197,274
198,275
199,276
200,277
201,278
202,279
203,280
204,281
205,282
206,283
210,285
211,286
214,287
222,288
222,289
223,290
223,291
225,292
226,293
226,294
228,295
229,296
229,297
230,300
231,301
231,302
232,303
232,304
234,305
235,306
236,307
237,308
238,309
238,310
240,314
241,315
241,316
242,317
242,318
244,319
245,320
245,321
245,322
246,323
247,324
247,325
248,326
248,327
248,328
250,329
251,330
251,331
254,332
255,333
256,334
256,335
258,336
258,337
259,338
259,339
260,340
261,341
262,342
262,343
263,344
264,345
264,346
265,347
266,348
266,349
267,350
268,351
269,352
270,353
270,354
271,355
273,357
273,358
284,369
284,370
285,372
287,373
294,376
294,377
298,378
298,379
301,380
302,381
304,382
304,383
307,385
310,386
310,387
310,388
312,390
312,391
313,392
314,393
315,394
315,395
318,396
318,397
323,401
323,402
333,406
333,407
339,408
350,409
350,410
360,412
360,413
361,414
362,415
363,416
364,417
365,418
366,419
367,420
368,421
370,422
372,423
373,424
373,425
373,426
373,427
374,428
375,429
375,430
376,431
376,432
379,433
379,434
389,436
389,437
389,438
393,439
394,440
397,441
398,442
399,443
399,444
401,445
402,446
403,447
403,448
404,449
405,450
405,451
405,452
413,453
430,460
430,461
445,464
448,465
448,466
455,469
457,470
459,473
465,476
467,477
471,479
471,480
472,481
472,482
474,484
474,485
475,486
485,487
485,488
488,489
488,490
488,491
488,492
493,494
493,495
496,497
496,498
497,499
500,506
500,507
501,508
501,509
502,510
502,511
503,512
503,513
504,514
504,515
505,516
505,517
506,518
508,519
510,520
512,521
514,522
516,523
518,524
525,537
525,538
525,539
526,540
526,541
527,542
527,543
528,544
528,545
529,546
529,547
530,548
530,549
531,550
531,551
532,552
532,553
533,554
533,555
534,556
534,557
535,558
535,559
536,560
536,561
540,562
542,563
544,564
546,565
548,566
550,567
552,568
554,569
556,570
558,571
560,572
573,606
574,607
574,608
575,609
576,610
576,611
577,612
577,613
578,614
578,615
579,616
579,617
580,618
580,619
581,620
581,621
582,622
582,623
583,624
583,625
584,626
584,627
585,628
585,629
586,630
586,631
587,632
587,633
588,634
588,635
589,636
589,637
590,638
590,639
591,640
591,641
592,642
592,643
593,644
593,645
594,646
594,647
595,648
595,649
596,650
596,651
597,652
597,653
598,654
598,655
599,656
599,657
600,658
600,659
601,660
601,661
602,662
602,663
603,664
603,665
604,666
604,667
605,668
605,669
607,670
610,671
616,672
618,673
620,674
622,675
624,676
626,677
628,678
630,679
632,680
634,681
636,682
638,683
640,684
642,685
644,686
646,687
648,688
650,689
652,690
654,691
656,692
658,693
660,694
662,695
664,696
666,697
668,698
670,699
671,700
672,701
673,702
674,703
675,704
679,705
680,706
683,707
684,708
690,709
691,710
711,738
711,739
712,740
712,741
713,742
713,743
714,744
714,745
715,746
715,747
716,748
716,749
717,750
717,751
718,752
718,753
719,754
719,755
720,756
720,757
721,758
721,759
722,760
722,761
723,762
723,763
723,764
724,765
724,766
725,767
725,768
726,769
726,770
727,771
727,772
728,773
728,774
729,775
729,776
730,777
730,778
731,779
731,780
732,781
732,782
733,783
733,784
734,785
734,786
735,787
735,788
736,789
736,790
737,791
737,792
746,793
748,794
750,795
756,796
758,797
765,798
767,799
769,800
771,801
773,802
779,803
781,804
783,805
785,806
787,807
789,808
791,809
796,810
797,811
799,812
800,813
801,814
802,815
804,816
805,817
806,818
807,819
808,820
809,821
822,839
822,840
823,841
823,842
824,843
824,844
825,845
825,846
826,847
826,848
827,849
827,850
828,851
828,852
829,853
829,854
830,855
830,856
831,857
831,858
832,859
832,860
833,861
833,862
834,863
834,864
835,865
835,866
836,867
836,868
837,869
837,870
838,871
838,872
845,873
847,874
851,875
853,876
855,877
857,878
861,879
863,880
865,881
867,882
869,883
871,884
885,886
885,887
885,888
885,889
885,890
885,891
885,892
889,894
889,895
889,896
890,897
890,898
890,899
891,900
891,901
891,902
892,903
892,904
892,905
893,906
893,907
896,908
896,909
899,910
899,911
899,912
899,913
899,914
899,915
899,916
902,917
905,918
906,919
909,920
913,921
913,922
915,923
916,924
917,925
920,926
920,927
921,928
921,929
925,932
925,933
929,940
929,941
934,945
934,946
935,947
935,948
936,949
936,950
937,951
937,952
938,953
938,954
939,955
939,956
942,957
942,958
943,959
943,960
944,961
944,962
945,964
945,965
947,966
947,967
949,968
951,969
953,970
955,971
962,972
963,973
963,974
963,975
965,976
967,977
973,978
973,979
980,996
981,997
981,998
982,999
982,1000
983,1001
983,1002
984,1003
985,1004
985,1005
986,1006
986,1007
987,1008
987,1009
987,1010
988,1011
988,1012
989,1013
989,1014
990,1015
990,1016
991,1017
991,1018
992,1019
992,1020
993,1021
993,1022
994,1023
994,1024
995,1025
995,1026
997,1027
999,1028
999,1029
999,1030
1004,1031
1006,1032
1006,1033
1006,1034
1011,1035
1011,1036
1013,1037
1013,1038
1015,1039
1015,1040
1017,1041
1017,1042
1019,1043
1019,1044
1021,1045
1021,1046
1023,1047
1023,1048
1025,1049
1025,1050
1036,1051
1038,1052
1040,1053
1042,1054
1044,1055
1046,1056
1048,1057
1050,1058
1059,1096
1060,1097
1061,1098
1061,1099
1062,1100
