src,same_file,jaccard_val,dst
146,1,1.0,11
376,1,1.0,13
304,1,-1.0,57
389,1,-1.0,59
245,1,1.0,15
465,1,-1.0,82
405,1,1.0,15
211,1,-1.0,84
488,1,1.0,11
525,0,0.0,12
500,1,-1.0,506
573,0,1.0,12
526,1,-1.0,540
670,0,1.0,12
527,1,-1.0,542
501,1,-1.0,508
575,0,1.0,12
528,1,-1.0,544
671,0,1.0,12
529,1,-1.0,546
502,1,-1.0,510
577,0,1.0,12
530,1,-1.0,548
503,1,-1.0,512
578,0,1.0,12
531,1,-1.0,550
504,1,-1.0,514
579,1,-1.0,616
580,1,-1.0,618
532,1,-1.0,552
581,1,-1.0,620
582,1,-1.0,622
822,0,1.0,12
715,1,-1.0,746
583,1,-1.0,624
823,0,1.0,12
716,1,-1.0,748
584,1,-1.0,626
824,0,1.0,12
717,1,-1.0,750
585,1,-1.0,628
533,1,-1.0,554
586,1,-1.0,630
587,1,-1.0,632
845,0,-1.0,84
720,1,-1.0,756
588,1,-1.0,634
847,0,-1.0,84
721,1,-1.0,758
589,1,-1.0,636
534,1,-1.0,556
590,1,-1.0,638
591,1,-1.0,640
827,0,1.0,12
724,1,-1.0,765
592,1,-1.0,642
851,0,-1.0,84
725,1,-1.0,767
593,1,-1.0,644
853,0,-1.0,84
726,1,-1.0,769
594,1,-1.0,646
855,0,-1.0,84
727,1,-1.0,771
595,1,-1.0,648
857,0,-1.0,84
728,1,-1.0,773
596,1,-1.0,650
535,1,-1.0,558
597,1,-1.0,652
598,1,-1.0,654
832,0,1.0,12
731,1,-1.0,779
599,1,-1.0,656
861,0,-1.0,84
732,1,-1.0,781
600,1,-1.0,658
863,0,-1.0,84
733,1,-1.0,783
601,1,-1.0,660
865,0,-1.0,84
734,1,-1.0,785
602,1,-1.0,662
867,0,-1.0,84
735,1,-1.0,787
603,1,-1.0,664
869,0,-1.0,84
736,1,-1.0,789
604,1,-1.0,666
871,0,-1.0,84
737,1,-1.0,791
605,1,-1.0,668
536,1,-1.0,560
505,1,-1.0,516
496,1,-1.0,497
997,0,-1.0,145
934,1,-1.0,945
1004,0,-1.0,145
935,1,-1.0,947
1101,0,-1.0,145
988,1,-1.0,1011
1108,0,-1.0,145
989,1,-1.0,1013
936,1,-1.0,949
1116,0,-1.0,145
990,1,-1.0,1015
937,1,-1.0,951
1123,0,-1.0,145
991,1,-1.0,1017
1130,0,-1.0,145
992,1,-1.0,1019
938,1,-1.0,953
1137,0,-1.0,145
993,1,-1.0,1021
1144,0,-1.0,145
994,1,-1.0,1023
1154,0,-1.0,145
995,1,-1.0,1025
939,1,-1.0,955
893,1,-1.0,906
920,1,0.0,890
973,1,1.0,889
1393,0,-1.0,59
1300,1,-1.0,1310
1301,1,-1.0,1312
1451,0,-1.0,59
1452,0,-1.0,59
1346,1,-1.0,1360
1347,1,-1.0,1362
1302,1,-1.0,1314
1455,0,-1.0,59
1456,0,-1.0,59
1348,1,-1.0,1364
1303,1,-1.0,1316
1458,0,-1.0,59
1459,0,-1.0,59
1349,1,-1.0,1366
1461,0,-1.0,59
1462,0,-1.0,59
1350,1,-1.0,1368
1304,1,-1.0,1318
1259,1,-1.0,1272
1286,1,0.0,1256
1335,1,1.0,1255
1884,0,0.0,11
1887,1,-1.0,1604
1887,1,-1.0,1598
1754,1,1.0,1490
1646,1,-1.0,1670
1888,1,1.0,1490
1755,1,-1.0,1790
1889,1,1.0,1490
1756,1,-1.0,1792
2108,1,1.0,1490
1890,1,-1.0,1952
2109,1,1.0,1490
1891,1,-1.0,1954
1757,1,-1.0,1794
2110,1,1.0,1490
1892,1,-1.0,1956
2111,1,1.0,1490
1893,1,-1.0,1958
1758,1,-1.0,1796
1647,1,-1.0,1672
1759,1,-1.0,1798
1760,1,-1.0,1800
1761,1,-1.0,1802
1762,1,-1.0,1804
1763,1,-1.0,1806
2112,1,-1.0,2171
2113,1,-1.0,2173
2309,1,-1.0,2344
2310,1,-1.0,2346
2114,1,-1.0,2175
2311,1,-1.0,2348
2312,1,-1.0,2350
2115,1,-1.0,2177
1899,1,-1.0,1970
1764,1,-1.0,1808
1648,1,-1.0,1674
1765,1,-1.0,1810
1766,1,-1.0,1812
1767,1,-1.0,1814
1903,1,-1.0,1978
1768,1,-1.0,1816
1904,1,-1.0,1980
1905,1,-1.0,1982
1906,1,-1.0,1984
