src,dst
1121,1608
1035,644
341,544
1328,1013
2389,2175
1129,1427
806,1678
1105,2163
16,556
1613,1796
508,1810
1361,1834
933,949
2046,1494
381,1496
2027,12
1408,654
185,1351
2447,2008
1605,1255
1625,1608
1828,925
1499,1258
378,1980
2437,1497
1502,508
1002,1832
349,2177
1557,1563
818,1594
2249,2350
971,1792
1579,1146
156,12
2259,1366
5,648
763,2229
808,2362
2401,560
913,1496
1254,542
1193,2221
1571,1598
664,1970
1565,11
96,84
167,1563
464,1982
552,1606
1134,1362
2359,2225
116,769
477,616
2064,1006
1289,2171
1838,891
545,558
673,2016
633,1820
148,14
96,953
2332,746
1745,1594
887,2358
1822,1598
446,516
1225,2374
148,1818
178,2175
221,1607
1149,1990
61,781
452,1103
2392,2364
1365,783
2416,644
1263,2344
859,1952
375,84
2368,542
1491,1670
771,1990
1577,2350
886,1314
1140,2229
2064,2221
2045,2231
1010,622
622,1834
975,497
1660,1314
2365,1148
1129,640
2178,1812
1812,2376
2216,783
613,773
1598,2010
1476,506
1855,2175
1935,542
487,1490
757,1794
460,648
345,1316
1849,789
1805,1498
362,1019
2101,925
2102,2004
1780,1950
2100,1132
1988,1563
2085,1792
337,1491
1810,892
1680,1110
2083,516
947,1804
365,644
2235,59
2286,2022
1704,1125
1518,779
2253,1678
1113,1503
69,1816
2010,646
61,1423
2380,789
516,2016
1497,497
2339,2241
75,1125
1480,1314
1960,1794
1495,1954
2457,59
1275,2227
443,2376
622,1788
408,891
856,945
2380,1678
810,82
2227,1501
1877,955
908,512
163,1826
881,2014
203,1427
1932,781
16,1502
2044,1314
387,1970
166,771
1954,512
1573,2223
1619,1672
2359,1419
1669,1816
1799,1837
305,2356
1177,891
656,1672
2444,1598
2243,512
1151,1672
2292,1830
2290,1792
311,2237
1323,1834
1419,1496
2362,758
298,2372
2261,1118
1828,2177
2243,1006
754,1015
1939,1368
473,662
868,2020
649,2356
2159,1988
116,1110
777,1023
1107,767
1962,1156
390,2221
808,1258
169,1258
1306,2002
890,1984
313,2177
2456,1820
635,951
1566,550
135,2241
243,1812
1411,1994
206,947
97,620
1555,758
429,2378
343,648
1814,1980
338,1503
1120,783
1040,892
842,1156
2270,2231
2214,925
2009,1958
2049,1316
1234,2356
1779,1670
904,1503
885,750
