src,same_file,jaccard_val,dst
1080,0,-1,2008
1700,0,-1,84
2333,0,-1,656
294,0,-1,638
374,0,-1,2374
2106,0,-1,654
1694,0,-1,789
718,0,-1,1608
1647,1,0.0,1502
2157,0,-1,767
1213,1,-1,1006
582,0,-1,57
1900,0,-1,1103
1615,0,-1,1156
2421,0,-1,949
579,1,-1,618
576,1,-1,626
1295,0,-1,1954
1757,1,0.0,1493
1463,0,-1,660
578,0,-1,1368
2129,1,-1,2376
503,0,-1,1950
980,1,-1,1006
1599,1,-1,2374
1904,0,-1,1368
2421,1,-1,2024
1739,1,-1,1606
2422,1,-1,1820
1756,0,-1,640
1892,1,-1,2247
1093,0,-1,1607
831,1,-1,514
2118,1,-1,1670
1345,0,-1,662
1766,0,-1,640
250,0,-1,953
822,1,-1,785
1076,0,-1,1410
1394,0,-1,1804
1698,1,-1,1956
893,0,-1,668
496,0,-1,1837
1071,0,-1,1986
2109,1,-1,1954
1884,0,-1,540
865,1,-1,658
2128,0,-1,373
1615,0,-1,84
867,1,-1,781
2127,0,-1,84
505,0,-1,1139
1617,1,0.0,1490
1770,1,-1,1952
581,0,-1,2229
574,0,-1,1013
991,0,-1,1427
2117,0,-1,630
1886,1,-1,1608
2146,1,-1,1832
1405,0,-1,1822
993,0,-1,2163
2422,1,-1,2016
826,0,-1,2171
995,0,-1,616
2320,0,-1,767
1928,1,-1,1676
39,0,-1,658
2324,1,-1,1788
1695,1,-1,2348
575,0,-1,1608
1208,0,-1,516
1326,0,-1,1609
2104,1,-1,1814
1911,1,0.0,1491
603,0,-1,1822
2112,0,0.0,1256
735,0,-1,1678
1891,1,-1,1788
987,0,-1,2173
826,0,-1,1021
1900,0,0.0,1256
1089,0,-1,646
2139,1,-1,2235
2122,1,-1,2160
1205,0,-1,1272
2321,1,-1,2169
2419,1,-1,2163
370,0,0.0,1496
595,0,-1,906
573,0,0.0,13
39,0,-1,662
1898,1,-1,2356
1090,0,-1,1794
980,0,-1,1954
1701,1,-1,1561
1701,0,-1,769
590,1,-1,506
1453,0,-1,773
869,0,-1,1832
1900,0,-1,779
2302,1,-1,1978
350,0,0.0,1256
2301,0,-1,1139
2308,1,-1,2012
2309,1,-1,2243
2134,0,-1,748
1078,0,-1,512
1919,0,-1,925
350,0,-1,1125
1909,0,-1,1011
2420,0,-1,1360
834,0,-1,906
1458,0,-1,558
993,0,-1,2364
465,0,-1,1950
1921,1,-1,2160
982,0,-1,1832
1885,1,-1,2160
1295,1,-1,1366
2118,0,-1,785
457,0,-1,1110
1920,1,-1,2016
1650,0,-1,632
1919,0,-1,1366
2424,1,-1,1814
2426,1,-1,1796
2420,1,0.0,1496
920,1,-1,1017
1777,1,-1,1606
2423,0,-1,999
1215,0,-1,2374
1154,0,-1,1364
2130,0,-1,1006
1917,0,-1,516
588,0,-1,2010
1910,0,-1,648
1078,0,-1,1312
2421,0,-1,630
601,1,-1,658
1088,0,-1,785
835,1,-1,783
992,0,-1,2243
1785,0,-1,949
2115,1,-1,1830
835,0,-1,2344
1203,0,-1,1810
1396,0,-1,2219
1062,0,-1,1272
1064,0,-1,626
2136,1,-1,1828
2128,0,-1,82
1065,0,-1,1794
251,0,-1,634
726,0,-1,1828
867,1,-1,552
1343,0,-1,550
834,0,0.0,1258
574,0,-1,951
845,0,-1,57
719,0,-1,1994
530,1,-1,508
2124,1,-1,2173
830,0,-1,2225
529,0,-1,2000
339,0,-1,634
455,0,-1,945
827,0,0.19999999999999996,1501
1883,0,-1,750
1343,0,-1,2229
1896,1,-1,2358
1909,1,-1,1788
534,0,-1,2358
837,1,-1,622
1343,0,-1,2177
1083,0,-1,1607
2133,0,-1,945
1924,0,-1,618
2113,0,-1,945
573,1,-1,642
2424,1,-1,1594
832,0,-1,2247
1911,1,0.0,1500
1349,0,-1,497
2314,1,-1,2348
1758,0,-1,544
1458,0,-1,1992
472,1,-1,373
576,0,-1,1676
262,0,-1,1810
1090,0,-1,2221
1203,0,-1,2020
534,0,-1,1414
2329,0,-1,769
2148,0,-1,1118
822,0,-1,1594
573,1,-1,646
721,0,0.0,1257
730,0,0.0,1491
1080,0,0.0,1258
39,0,-1,2344
720,0,-1,2020
990,1,-1,1118
2429,1,-1,1826
1897,0,-1,646
1768,1,-1,2245
991,0,-1,512
1091,0,-1,2235
1695,1,-1,1958
2125,0,-1,953
2136,0,-1,554
531,0,0.0,13
1770,0,-1,548
2120,1,-1,1828
1059,0,-1,540
1206,0,-1,626
2311,1,-1,1806
2304,0,-1,616
579,1,-1,664
1695,0,-1,1017
1399,0,-1,2006
1080,0,-1,2171
1144,0,-1,654
1919,0,-1,618
1085,0,-1,779
1064,0,-1,1670
2423,0,-1,656
457,0,-1,2364
527,0,-1,2024
2422,0,0.0,890
939,0,-1,1670
1773,0,-1,642
983,0,-1,2171
2321,0,0.0,12
1763,0,-1,656
1402,0,-1,1824
861,0,-1,1998
986,0,-1,1990
832,1,-1,646
1394,0,-1,1118
1683,0,0.0,1257
146,0,-1,632
731,0,-1,1419
1761,0,-1,1355
2116,0,-1,646
1897,0,-1,769
2115,0,-1,1355
831,0,-1,1676
2118,1,-1,2231
1218,0,-1,2000
1401,1,-1,1362
2104,0,-1,947
