src,dst
0,1
0,2
0,3
0,4
0,5
0,6
0,7
0,8
0,9
0,10
0,11
0,12
0,13
0,14
0,15
8,16
8,17
8,18
9,19
9,20
9,21
10,22
10,23
10,24
10,25
12,26
12,27
12,28
12,29
12,30
12,31
13,32
13,33
14,34
14,35
14,36
15,38
15,39
15,40
15,41
15,42
18,43
18,44
18,45
18,46
21,47
25,48
25,49
25,50
25,51
36,52
36,53
37,54
37,55
42,56
42,57
42,58
42,59
42,60
42,61
42,62
42,63
42,64
42,65
42,66
42,67
42,68
46,69
48,70
48,71
49,72
50,73
51,74
52,77
52,78
53,79
56,80
57,81
57,82
62,83
66,84
66,85
67,86
67,87
68,88
68,89
69,92
69,93
70,95
71,96
72,97
73,99
74,102
74,103
74,104
75,105
75,106
76,107
76,108
77,109
79,110
82,112
83,113
90,115
90,116
91,117
91,118
92,119
92,120
95,121
97,122
99,123
100,124
100,125
103,126
103,127
105,128
108,129
108,130
108,131
108,132
108,133
109,134
111,137
113,140
114,141
116,145
116,146
117,147
120,148
122,149
122,150
123,151
134,152
134,153
135,154
135,155
136,156
136,157
138,158
138,159
139,160
140,161
142,162
142,163
143,164
144,165
145,166
145,167
146,168
147,169
148,170
169,175
169,176
171,180
171,181
172,182
173,183
173,184
173,185
173,186
174,187
174,188
174,189
174,190
175,192
176,193
176,194
177,195
185,197
185,198
191,199
191,200
192,201
194,202
196,203
201,204
201,205
204,207
206,208
206,209
210,211
210,212
210,213
210,214
210,215
210,216
210,217
210,218
210,219
210,220
219,221
219,222
219,223
220,224
220,225
220,226
227,244
227,245
228,246
228,247
229,248
229,249
230,250
230,251
231,252
231,253
232,254
232,255
233,256
233,257
234,258
234,259
235,260
235,261
236,262
236,263
237,264
237,265
238,266
238,267
239,268
239,269
240,270
240,271
241,272
241,273
242,274
242,275
243,276
243,277
244,280
244,281
246,282
246,283
248,284
248,285
250,286
250,287
252,288
252,289
254,290
254,291
256,292
256,293
258,294
258,295
260,296
260,297
262,298
262,299
264,300
264,301
266,302
266,303
268,304
268,305
270,306
270,307
272,308
272,309
274,310
274,311
276,312
276,313
278,314
278,315
279,316
279,317
314,318
314,319
316,320
316,321
322,373
322,374
323,375
323,376
324,377
324,378
325,379
325,380
326,381
326,382
327,383
327,384
328,385
328,386
329,387
329,388
330,389
330,390
331,391
331,392
332,393
332,394
333,395
333,396
334,397
334,398
335,399
335,400
336,401
336,402
337,403
337,404
338,405
338,406
339,407
339,408
340,409
340,410
341,411
341,412
342,413
342,414
343,415
343,416
344,417
344,418
345,419
345,420
346,421
346,422
347,423
347,424
348,425
348,426
349,427
349,428
350,429
350,430
351,431
351,432
352,433
352,434
353,435
353,436
354,437
354,438
355,439
355,440
356,441
356,442
357,443
357,444
358,445
358,446
359,447
359,448
360,449
360,450
361,451
361,452
362,453
362,454
363,455
363,456
364,457
364,458
365,459
365,460
366,461
366,462
367,463
367,464
368,465
368,466
369,467
369,468
370,469
370,470
371,471
371,472
372,473
372,474
375,479
375,480
381,481
381,482
387,483
387,484
393,485
393,486
399,487
399,488
405,489
405,490
411,491
411,492
417,493
417,494
423,495
423,496
429,497
429,498
435,499
435,500
441,501
441,502
447,503
447,504
453,505
453,506
459,507
459,508
465,509
465,510
471,511
471,512
475,513
475,514
476,515
476,516
477,517
477,518
478,519
492,520
515,521
515,522
523,589
524,590
525,591
526,592
526,593
526,594
527,595
527,596
528,597
529,598
530,599
530,600
530,601
531,602
532,603
533,604
534,605
535,606
535,607
535,608
535,609
536,610
537,611
538,612
539,613
540,614
540,615
541,616
541,617
542,618
543,619
544,620
545,621
545,622
545,623
545,624
546,625
547,626
548,627
549,628
549,629
550,630
550,631
551,632
552,633
552,634
553,635
554,636
555,637
556,638
557,639
557,640
558,641
558,642
559,643
559,644
560,645
560,646
561,647
561,648
562,649
563,650
564,651
565,652
565,653
565,654
566,655
567,656
568,657
569,658
569,659
570,660
570,661
571,662
572,663
573,664
574,665
574,666
575,667
575,668
576,669
577,670
578,671
579,672
579,673
579,674
580,675
581,676
582,677
583,678
583,679
583,680
584,681
585,682
586,683
587,684
588,685
588,686
588,687
588,688
593,691
593,692
600,693
600,694
608,695
608,696
616,697
616,698
616,699
623,700
623,701
630,702
630,703
630,704
641,705
641,706
641,707
643,708
645,709
647,710
653,711
653,712
660,713
660,714
660,715
667,716
667,717
667,718
673,719
673,720
679,721
679,722
687,723
687,724
689,725
689,726
690,727
728,785
728,786
729,787
729,788
730,789
730,790
731,791
731,792
732,793
732,794
733,795
733,796
734,797
734,798
735,799
735,800
735,801
736,802
737,803
737,804
738,805
738,806
739,807
739,808
740,809
740,810
740,811
741,812
742,813
742,814
743,815
743,816
743,817
744,818
745,819
746,820
747,821
747,822
748,823
749,824
750,825
751,826
752,827
752,828
752,829
752,830
753,831
754,832
755,833
755,834
756,835
757,836
758,837
759,838
760,839
760,840
761,841
761,842
762,843
763,844
764,845
764,846
765,847
766,848
767,849
768,850
769,851
769,852
770,853
770,854
771,855
771,856
772,857
772,858
773,859
773,860
774,861
774,862
774,863
775,864
776,865
776,866
777,867
777,868
777,869
778,870
779,871
779,872
780,873
780,874
781,875
781,876
782,877
782,878
783,879
783,880
784,881
784,882
787,883
787,884
787,885
791,886
791,887
791,888
795,889
795,890
795,891
805,892
805,893
805,894
821,895
829,896
829,897
833,898
841,899
841,900
841,901
845,902
853,903
853,904
853,905
857,906
857,907
857,908
873,909
873,910
873,911
877,912
877,913
877,914
881,915
881,916
881,917
918,957
918,958
919,959
919,960
919,961
920,962
921,963
921,964
922,965
922,966
922,967
923,968
923,969
924,970
925,971
925,972
926,973
926,974
926,975
927,976
928,977
928,978
929,979
929,980
929,981
930,982
931,983
931,984
932,985
932,986
933,987
933,988
934,989
934,990
934,991
935,992
935,993
936,994
936,995
937,996
937,997
938,998
939,999
939,1000
940,1001
940,1002
940,1003
941,1004
941,1005
942,1006
942,1007
943,1008
943,1009
944,1010
945,1011
945,1012
946,1013
946,1014
946,1015
947,1016
948,1017
948,1018
949,1019
949,1020
949,1021
950,1022
951,1023
951,1024
952,1025
952,1026
952,1027
953,1028
954,1029
954,1030
955,1031
955,1032
955,1033
956,1034
985,1035
985,1036
985,1037
992,1038
994,1039
996,1040
1004,1041
1006,1042
1008,1043
1044,1050
1044,1051
1045,1052
1045,1053
1045,1054
1046,1055
1046,1056
1047,1057
1047,1058
1048,1059
1048,1060
1049,1061
1055,1062
1057,1063
1059,1064
