src,same_file,jaccard_val,dst
100,1,1.0,9
103,0,-1.0,593
103,0,-1.0,600
173,1,-1.0,185
75,1,-1.0,105
201,0,-1.0,608
201,0,-1.0,623
201,0,-1.0,829
201,0,-1.0,653
201,0,-1.0,673
201,0,-1.0,679
201,0,-1.0,687
201,0,-1.0,593
201,0,-1.0,600
177,0,-1.0,608
177,0,-1.0,623
177,0,-1.0,829
177,0,-1.0,653
177,0,-1.0,673
177,0,-1.0,679
177,0,-1.0,687
177,0,-1.0,593
177,0,-1.0,600
91,1,-1.0,117
475,1,-1.0,881
689,1,-1.0,881
322,1,0.0,220
729,1,-1.0,787
526,0,0.0,15
323,1,-1.0,375
324,1,0.0,219
325,1,0.0,220
731,1,-1.0,791
530,0,0.0,15
326,1,-1.0,381
327,1,0.0,219
328,1,0.0,220
733,1,-1.0,795
535,0,0.0,15
329,1,-1.0,387
330,1,0.0,219
331,1,0.0,220
541,1,-1.0,616
332,1,-1.0,393
333,1,0.0,219
334,1,0.0,220
738,1,-1.0,805
545,0,0.0,15
335,1,-1.0,399
336,1,0.0,219
337,1,0.0,220
550,1,-1.0,630
338,1,-1.0,405
339,1,0.0,219
340,1,0.0,220
341,1,-1.0,411
342,1,0.0,219
343,1,0.0,220
558,1,-1.0,641
344,1,-1.0,417
345,1,0.0,219
346,1,0.0,220
932,1,-1.0,985
752,0,0.0,15
347,1,-1.0,423
348,1,0.0,219
349,1,0.0,220
761,1,-1.0,841
350,1,-1.0,429
351,1,0.0,219
352,1,0.0,220
770,1,-1.0,853
353,1,-1.0,435
354,1,0.0,219
355,1,0.0,220
772,1,-1.0,857
565,0,0.0,15
356,1,-1.0,441
357,1,0.0,219
358,1,0.0,220
570,1,-1.0,660
359,1,-1.0,447
360,1,0.0,219
361,1,0.0,220
575,1,-1.0,667
362,1,-1.0,453
363,1,0.0,219
364,1,0.0,220
780,1,-1.0,873
579,0,0.0,15
365,1,-1.0,459
366,1,0.0,219
367,1,0.0,220
782,1,-1.0,877
583,0,0.0,15
368,1,-1.0,465
369,1,0.0,219
370,1,0.0,220
954,1,-1.0,881
588,0,0.0,15
371,1,-1.0,471
372,1,0.0,219
