src,dst
1035,272
263,673
71,405
789,117
597,857
882,630
961,108
214,795
878,8
439,643
619,266
464,387
679,515
60,219
713,272
272,795
134,266
787,258
17,877
455,274
796,274
805,272
294,246
654,465
657,248
681,435
831,608
791,447
818,185
252,375
631,643
434,411
455,92
462,254
15,375
643,252
850,314
188,256
1035,250
156,435
401,134
151,660
318,254
603,465
125,92
962,630
884,254
252,405
207,515
823,441
469,256
161,105
132,645
970,250
165,266
66,9
897,647
683,687
593,399
422,877
375,219
78,630
317,14
117,12
261,117
1062,417
73,105
23,185
724,274
1035,260
521,471
976,92
819,266
137,220
138,447
259,260
788,653
724,660
514,660
391,117
56,250
246,276
459,9
726,653
290,272
192,219
989,274
211,258
394,15
858,405
725,79
654,857
1036,399
175,411
50,600
264,829
901,244
67,381
1007,453
521,10
58,9
808,254
848,220
691,381
496,12
862,873
877,447
616,220
1020,258
974,375
670,593
441,453
1009,630
394,14
625,270
8,399
436,10
514,435
664,15
83,14
504,616
657,515
800,264
403,260
871,270
1035,623
717,515
251,274
320,465
831,260
701,417
496,873
848,459
852,270
687,316
804,435
644,314
461,260
84,459
647,381
620,660
195,252
107,9
49,791
190,515
499,881
161,873
969,453
159,853
433,673
208,641
210,608
378,645
651,881
402,600
517,459
1028,453
1061,623
253,853
465,274
223,79
1050,15
670,256
592,185
265,252
1026,14
437,873
663,262
974,985
825,314
986,270
515,459
301,447
413,276
802,453
311,600
1042,134
1061,12
1026,643
40,381
869,985
437,268
163,314
1053,244
851,435
915,375
608,185
1013,117
608,250
692,429
412,108
81,314
253,381
430,244
212,641
50,647
6,268
418,117
489,258
80,387
189,441
284,399
129,405
911,411
598,254
66,453
986,14
247,134
1058,246
976,314
281,667
490,465
155,787
503,679
377,8
265,264
134,641
602,411
716,841
295,643
804,453
962,411
77,272
76,270
810,276
387,459
675,274
911,985
459,12
710,679
77,246
304,667
249,667
86,8
403,515
66,220
691,829
899,435
121,417
670,630
1001,679
4,15
901,673
188,647
224,272
312,393
451,272
885,465
516,853
830,272
211,375
2,272
474,679
1026,405
175,687
984,985
794,600
305,873
722,9
78,387
513,244
218,667
507,268
636,272
41,608
677,399
866,600
401,12
290,877
642,219
6,423
834,405
297,252
300,266
674,266
452,417
968,256
104,134
46,608
298,250
223,314
303,985
837,881
120,264
81,399
448,791
486,258
665,630
618,250
430,471
516,270
200,15
980,795
1033,829
225,805
589,417
184,246
5,630
225,260
1005,399
517,10
883,219
43,630
982,381
834,608
438,405
869,679
685,441
120,423
95,985
607,270
1064,266
450,375
1011,623
295,244
617,393
835,447
12,381
623,272
472,465
831,393
137,645
415,647
454,254
250,387
714,441
223,260
162,787
307,92
843,268
290,254
76,12
444,248
293,256
600,258
1014,405
427,645
445,185
1020,805
438,515
825,660
914,417
436,9
139,647
131,616
40,515
716,465
889,459
383,623
610,262
843,465
915,252
993,262
666,79
37,873
498,105
803,185
711,841
1031,447
832,314
980,873
705,220
244,219
457,117
401,79
9,92
390,673
608,441
844,8
268,465
1025,673
423,258
723,515
378,600
264,399
19,268
194,405
1019,411
874,393
696,375
595,515
612,630
590,105
160,459
491,12
720,405
643,593
39,272
5,429
700,985
313,471
29,405
828,399
896,660
152,14
213,10
94,441
437,667
656,857
42,673
643,219
274,256
504,647
29,248
512,465
179,268
63,316
864,248
1002,429
20,105
280,266
718,411
872,593
169,465
708,15
911,616
447,256
703,117
433,630
200,258
11,381
892,272
251,791
722,274
823,250
672,8
32,471
102,673
64,679
143,600
835,853
964,314
703,105
677,108
720,429
53,250
856,417
219,647
76,185
681,105
292,185
435,244
997,853
713,108
1,274
139,515
988,600
407,244
205,630
716,219
0,643
968,264
1039,429
93,795
512,266
624,647
1036,616
872,453
706,805
843,14
704,600
135,79
373,272
115,647
380,244
958,453
630,314
466,877
591,608
788,679
281,108
518,841
307,459
1011,873
29,877
7,600
480,9
40,252
836,429
698,79
8,15
1039,268
961,453
794,14
42,841
1050,399
48,877
641,857
987,268
637,593
885,274
393,616
888,853
967,653
188,608
596,435
627,623
378,435
440,881
92,853
382,79
136,873
423,453
679,647
967,608
809,264
1016,387
639,105
836,459
470,805
487,465
648,687
875,220
785,270
457,465
666,405
696,92
1020,795
706,795
264,608
245,8
645,647
590,252
429,423
51,15
894,465
692,79
713,795
153,515
419,465
432,387
133,134
870,645
661,515
192,616
316,272
76,791
589,12
130,262
467,244
875,248
273,15
457,12
188,92
488,441
1019,262
703,274
158,272
971,411
804,185
502,673
1000,250
910,679
209,268
44,375
487,667
595,795
594,276
907,423
636,429
596,270
46,375
793,260
697,411
691,134
104,244
82,623
808,787
703,8
28,9
903,453
211,841
154,877
60,244
505,8
314,262
1007,660
312,108
521,248
41,387
400,660
377,405
972,134
382,79
632,105
297,185
495,260
250,254
296,647
893,268
26,185
410,881
394,787
1050,248
156,10
670,616
515,92
109,630
494,14
299,14
42,641
651,266
1039,244
285,873
655,15
966,276
155,185
641,248
1040,857
144,653
26,653
898,9
288,423
375,453
851,623
303,645
158,381
1060,877
1033,254
672,687
662,873
198,687
147,515
618,645
314,853
983,647
261,387
10,9
605,653
259,10
317,411
303,405
281,453
7,660
698,270
275,653
1024,246
598,260
828,399
844,853
989,857
124,417
259,441
876,10
398,268
840,393
44,256
806,260
248,105
296,829
710,829
375,841
205,393
511,185
834,256
19,79
510,645
504,219
259,92
962,985
169,653
15,117
516,252
397,647
889,877
435,250
312,435
15,829
1036,405
207,10
463,381
455,260
68,429
180,630
653,829
92,881
700,877
380,268
426,687
256,405
224,465
273,853
785,248
179,791
61,423
114,272
138,244
592,258
64,787
388,515
965,593
158,653
850,8
451,593
608,687
973,447
426,375
66,857
291,185
835,105
440,641
457,262
292,647
8,667
295,643
489,660
57,791
261,873
1035,673
134,985
669,108
853,266
275,262
147,857
99,985
889,873
22,411
139,256
521,643
859,608
621,881
506,600
894,429
517,15
975,471
29,244
1020,117
442,248
714,679
303,805
63,593
195,250
867,393
432,268
313,12
634,465
303,254
264,276
692,447
857,108
258,108
175,244
72,465
963,673
900,881
677,244
16,653
72,262
263,653
603,219
672,687
890,616
629,471
829,673
624,660
870,805
699,791
624,220
793,515
1017,219
249,411
686,465
257,79
381,246
958,134
72,881
427,881
199,630
652,316
450,250
505,117
376,219
987,641
425,873
840,667
156,375
878,660
157,873
284,9
10,248
650,411
906,679
286,857
1043,274
118,417
907,264
387,791
702,881
589,266
704,14
514,459
