src,same_file,jaccard_val,dst
747,0,-1,185
920,1,-1,417
766,1,-1,616
562,1,-1,429
361,0,-1,92
933,1,-1,381
369,1,-1,274
782,1,-1,270
921,1,-1,268
204,0,-1,853
327,1,-1,616
924,1,-1,805
779,1,-1,829
173,0,-1,600
550,1,-1,268
241,0,-1,185
191,0,-1,853
780,1,-1,256
942,1,-1,877
766,1,-1,260
177,1,-1,117
923,1,-1,441
372,0,-1,134
747,0,-1,117
784,1,-1,515
753,0,-1,92
583,0,0.0,12
231,1,-1,829
569,1,-1,841
540,1,-1,262
575,0,-1,79
931,1,-1,262
938,0,-1,79
324,0,0.0,12
933,1,-1,805
948,0,-1,117
931,1,-1,246
539,0,0.25,12
584,1,-1,465
334,1,-1,630
237,1,-1,260
173,0,-1,411
563,1,-1,857
753,1,-1,985
550,1,-1,645
935,1,-1,616
335,1,-1,256
546,1,-1,314
728,1,-1,248
370,1,-1,254
103,0,-1,985
547,1,-1,447
279,1,-1,667
778,1,-1,244
776,1,-1,441
478,1,-1,405
1059,1,-1,316
729,1,-1,593
478,1,-1,270
775,1,-1,250
346,1,-1,417
332,1,-1,645
775,1,-1,641
361,1,-1,254
568,0,0.0,15
528,0,-1,134
535,1,-1,829
761,1,-1,266
562,1,-1,393
588,1,-1,264
528,1,-1,274
531,1,-1,246
557,1,-1,250
527,1,0.0,220
760,1,-1,787
739,1,-1,829
241,1,-1,381
931,1,-1,375
1057,1,-1,417
766,1,-1,381
929,0,0.0,8
532,0,-1,92
745,1,-1,270
771,1,-1,256
191,0,-1,643
354,0,-1,117
772,0,0.0,9
529,1,-1,679
229,1,-1,881
779,1,-1,429
748,1,-1,453
1008,1,-1,399
531,1,-1,623
340,1,-1,873
569,1,-1,314
201,1,0.0,15
571,1,-1,608
558,1,-1,608
344,1,-1,256
146,0,-1,641
934,1,-1,375
233,1,-1,256
