id,type,name,params_len,argument_len,returns,start_line,start_column,end_line,end_column,file_name,file_is_index_or_test,new_id
1,Program,nan,-1,-1,-1,1,0,168,1,packages\copyfiles\index.js,1,0
3,VariableDeclaration,nan,-1,-1,-1,2,0,2,27,packages\copyfiles\index.js,1,1
4,VariableDeclaration,nan,-1,-1,-1,3,0,3,23,packages\copyfiles\index.js,1,2
5,VariableDeclaration,nan,-1,-1,-1,4,0,4,27,packages\copyfiles\index.js,1,3
6,VariableDeclaration,nan,-1,-1,-1,5,0,5,31,packages\copyfiles\index.js,1,4
7,VariableDeclaration,nan,-1,-1,-1,6,0,6,37,packages\copyfiles\index.js,1,5
8,VariableDeclaration,nan,-1,-1,-1,7,0,7,38,packages\copyfiles\index.js,1,6
9,VariableDeclaration,nan,-1,-1,-1,8,0,8,31,packages\copyfiles\index.js,1,7
10,FunctionDeclaration,nan,-1,1,1,9,0,20,1,packages\copyfiles\index.js,1,8
11,FunctionDeclaration,nan,-1,1,1,21,0,23,1,packages\copyfiles\index.js,1,9
12,FunctionDeclaration,nan,-1,2,1,24,0,35,1,packages\copyfiles\index.js,1,10
13,VariableDeclaration,nan,-1,-1,-1,36,0,36,25,packages\copyfiles\index.js,1,11
14,FunctionDeclaration,nan,-1,4,0,37,0,48,1,packages\copyfiles\index.js,1,12
15,IfStatement,nan,-1,-1,-1,49,0,53,1,packages\copyfiles\index.js,1,13
16,FunctionDeclaration,nan,-1,1,1,54,0,61,1,packages\copyfiles\index.js,1,14
18,FunctionDeclaration,nan,-1,3,0,63,0,168,1,packages\copyfiles\index.js,1,15
20,Identifier,toStream,-1,-1,-1,9,9,9,17,packages\copyfiles\index.js,1,16
21,Identifier,_array,-1,-1,-1,9,18,9,24,packages\copyfiles\index.js,1,17
23,BlockStatement,nan,-1,-1,-1,9,26,20,1,packages\copyfiles\index.js,1,18
24,Identifier,depth,-1,-1,-1,21,9,21,14,packages\copyfiles\index.js,1,19
25,Identifier,string,-1,-1,-1,21,15,21,21,packages\copyfiles\index.js,1,20
27,BlockStatement,nan,-1,-1,-1,21,23,23,1,packages\copyfiles\index.js,1,21
28,Identifier,dealWith,-1,-1,-1,24,9,24,17,packages\copyfiles\index.js,1,22
29,Identifier,inPath,-1,-1,-1,24,18,24,24,packages\copyfiles\index.js,1,23
30,Identifier,up,-1,-1,-1,24,26,24,28,packages\copyfiles\index.js,1,24
32,BlockStatement,nan,-1,-1,-1,24,30,35,1,packages\copyfiles\index.js,1,25
33,Identifier,_copyFile,-1,-1,-1,37,9,37,18,packages\copyfiles\index.js,1,26
34,Identifier,src,-1,-1,-1,37,20,37,23,packages\copyfiles\index.js,1,27
35,Identifier,dst,-1,-1,-1,37,25,37,28,packages\copyfiles\index.js,1,28
36,Identifier,opts,-1,-1,-1,37,30,37,34,packages\copyfiles\index.js,1,29
37,Identifier,callback,-1,-1,-1,37,36,37,44,packages\copyfiles\index.js,1,30
39,BlockStatement,nan,-1,-1,-1,37,46,48,1,packages\copyfiles\index.js,1,31
40,BlockStatement,nan,-1,-1,-1,49,17,53,1,packages\copyfiles\index.js,1,32
41,MemberExpression,nan,-1,-1,-1,49,4,49,15,packages\copyfiles\index.js,1,33
42,Identifier,makeDebug,-1,-1,-1,54,9,54,18,packages\copyfiles\index.js,1,34
43,Identifier,config,-1,-1,-1,54,19,54,25,packages\copyfiles\index.js,1,35
45,BlockStatement,nan,-1,-1,-1,54,27,61,1,packages\copyfiles\index.js,1,36
46,AssignmentExpression,nan,-1,-1,-1,62,0,62,26,packages\copyfiles\index.js,1,37
47,Identifier,copyFiles,-1,-1,-1,63,9,63,18,packages\copyfiles\index.js,1,38
48,Identifier,args,-1,-1,-1,63,19,63,23,packages\copyfiles\index.js,1,39
49,Identifier,config,-1,-1,-1,63,25,63,31,packages\copyfiles\index.js,1,40
50,Identifier,callback,-1,-1,-1,63,33,63,41,packages\copyfiles\index.js,1,41
52,BlockStatement,nan,-1,-1,-1,63,43,168,1,packages\copyfiles\index.js,1,42
53,VariableDeclaration,nan,-1,-1,-1,10,2,10,46,packages\copyfiles\index.js,1,43
54,VariableDeclaration,nan,-1,-1,-1,11,2,11,28,packages\copyfiles\index.js,1,44
55,VariableDeclaration,nan,-1,-1,-1,12,2,12,12,packages\copyfiles\index.js,1,45
56,ReturnStatement,nan,1,-1,-1,13,2,19,5,packages\copyfiles\index.js,1,46
57,ReturnStatement,nan,1,-1,-1,22,2,22,59,packages\copyfiles\index.js,1,47
58,IfStatement,nan,-1,-1,-1,25,2,27,3,packages\copyfiles\index.js,1,48
59,IfStatement,nan,-1,-1,-1,28,2,30,3,packages\copyfiles\index.js,1,49
60,IfStatement,nan,-1,-1,-1,31,2,33,3,packages\copyfiles\index.js,1,50
61,ReturnStatement,nan,1,-1,-1,34,2,34,81,packages\copyfiles\index.js,1,51
64,IfStatement,nan,-1,-1,-1,55,2,59,3,packages\copyfiles\index.js,1,52
65,ReturnStatement,nan,1,-1,-1,60,2,60,23,packages\copyfiles\index.js,1,53
66,MemberExpression,nan,-1,-1,-1,62,0,62,14,packages\copyfiles\index.js,1,54
67,Identifier,copyFiles,-1,-1,-1,62,17,62,26,packages\copyfiles\index.js,1,55
