src,same_file,jaccard_val,dst
901,1,1.0,577
178,1,-1.0,203
692,1,-1.0,402
694,1,-1.0,200
694,1,-1.0,198
694,1,-1.0,196
694,1,-1.0,194
694,1,-1.0,192
694,1,-1.0,190
814,1,-1.0,908
267,1,-1.0,311
714,1,-1.0,429
162,1,-1.0,182
163,1,-1.0,182
164,1,-1.0,182
937,1,1.0,282
1071,1,1.0,282
334,1,-1.0,446
165,1,-1.0,182
730,1,1.0,299
619,1,1.0,293
544,1,1.0,301
732,1,1.0,299
621,1,1.0,293
545,1,1.0,302
734,1,1.0,299
623,1,1.0,293
546,1,1.0,300
625,1,1.0,296
547,1,1.0,301
627,1,1.0,296
548,1,1.0,302
629,1,1.0,296
549,1,1.0,300
631,1,1.0,286
1028,1,1.0,298
867,1,1.0,297
869,1,1.0,297
871,1,1.0,297
873,1,1.0,297
875,1,1.0,297
878,1,1.0,293
560,1,1.0,293
166,1,-1.0,182
167,1,-1.0,182
1216,1,-1.0,1217
1161,1,-1.0,1166
1317,1,-1.0,1326
1301,1,1.0,1267
1286,1,-1.0,1291
1278,1,1.0,1268
1279,1,1.0,1268
1377,1,-1.0,1379
1371,1,1.0,1366
1372,1,1.0,1366
1472,1,-1.0,1475
1462,1,-1.0,1464
1473,1,-1.0,1478
1463,1,-1.0,1466
1544,1,-1.0,1545
1735,1,-1.0,1738
1736,1,-1.0,1740
1737,1,-1.0,1742
1897,1,-1.0,1908
1996,1,-1.0,2000
1997,1,-1.0,2002
1998,1,-1.0,2004
1999,1,-1.0,2006
1961,1,1.0,1951
1962,1,1.0,1951
2086,1,-1.0,2089
2075,1,-1.0,2077
2087,1,-1.0,2093
2076,1,-1.0,2079
