src,dst
465,427
1146,1802
850,51
1165,1805
1101,1556
2143,429
1125,578
731,288
2093,194
1049,2004
142,1291
1672,302
776,2067
209,194
929,402
512,289
20,2089
295,287
612,1156
2093,1991
1187,408
959,1725
1921,1738
1231,1387
1516,290
1909,1454
1633,1552
83,1464
497,1951
711,298
505,1326
1450,282
328,1725
100,109
1726,1680
295,580
310,302
1748,1835
10,1686
1117,277
821,2093
1150,414
938,1686
1290,311
2041,295
988,300
125,198
386,1545
580,2079
852,1454
160,1159
1751,1738
350,1740
1404,1680
147,2089
523,431
1263,1156
1461,2077
192,1991
933,577
2104,1878
892,272
2102,587
219,427
998,1291
823,1302
1171,1268
342,2069
518,1556
1123,282
614,289
581,1406
1537,431
1675,1725
1027,289
700,301
1290,2004
413,2069
1120,180
224,198
1680,1878
319,289
1796,2079
1854,198
391,414
89,298
411,577
1772,1159
992,578
52,1454
903,2004
1047,194
1392,1951
275,291
1298,433
601,1805
1817,294
1220,1366
1796,2004
1948,1951
1808,190
374,446
140,287
99,1951
1836,180
1567,580
964,427
393,2002
196,2069
204,1366
1713,296
1579,908
1493,1403
1989,1166
1398,295
61,2069
902,1156
512,2069
1772,2077
1769,1291
459,203
935,2089
1989,437
1625,192
1580,190
245,1268
82,1991
640,408
1531,1908
1490,431
1460,1908
122,1326
1396,431
1719,1166
1869,2006
299,1802
1238,1991
1690,1267
1187,289
1227,270
702,1835
617,278
1002,291
1559,1740
1220,1680
1889,1268
2067,850
1782,292
1936,1951
1365,1464
669,290
8,408
1789,282
2139,1686
1577,414
107,1475
273,293
348,433
22,2069
1049,429
1169,1680
1797,1723
358,1464
592,580
600,272
921,431
702,1454
1491,1802
663,414
994,1208
450,182
8,1878
1887,1738
363,1208
1391,182
1840,1991
984,446
1376,302
1816,435
879,1554
2135,1466
1295,1403
876,1406
1226,200
2094,580
874,190
862,579
2079,1793
2016,270
872,272
2081,2067
1049,203
2021,1951
1330,414
574,427
1798,1740
175,289
1616,198
160,299
710,1475
1013,1723
1949,402
744,1302
2102,414
383,270
554,1807
2071,414
1254,296
926,299
991,1456
565,1740
722,580
696,578
2025,311
1104,1880
1218,194
1677,192
44,1951
844,2079
1101,2067
837,297
889,408
1141,1326
1210,295
634,1166
1470,1387
1672,1835
1546,1466
246,182
199,1366
1649,1326
44,1475
2114,1366
897,296
1658,1289
2038,1464
1199,2079
1487,408
673,296
698,1475
521,429
879,429
1398,1545
1728,1291
1151,446
1927,1793
2008,1267
578,427
141,2069
1542,2000
1451,1454
414,1552
1884,1552
2018,1908
1646,2079
604,2069
753,579
978,1159
1325,1390
1291,579
1778,2067
1793,1807
1554,587
292,277
177,51
207,2079
185,1166
339,1289
1819,446
977,1802
521,578
1082,2077
1808,196
768,1366
345,1166
898,414
1338,1464
671,295
34,288
1392,2067
1887,1403
908,2006
1310,200
1039,288
2015,200
1517,1807
386,1267
0,300
1863,1951
632,431
25,2004
1563,1159
1164,2093
1447,1876
1880,1475
6,288
1917,1464
1739,180
1441,190
1458,1686
709,294
855,190
2153,1880
57,587
1289,1464
43,433
366,299
1170,270
1158,1366
661,282
2003,194
1609,1556
1356,1880
916,2069
1304,311
566,1835
1491,1302
648,1680
679,1725
2021,1466
409,580
480,2000
336,270
1738,1390
1208,414
1365,1326
1070,1326
235,1208
125,1302
2098,286
2059,302
1345,51
1348,2079
773,850
215,198
618,1680
1732,1403
1795,1403
271,431
1342,1156
995,286
363,1379
383,446
135,1289
1459,1208
1949,1835
1908,109
311,1680
206,1302
194,1740
159,290
1211,2067
368,1208
2143,433
206,270
218,1807
930,311
449,1326
512,2002
1971,1554
2044,1159
1414,1289
1956,577
452,580
470,1387
946,287
2059,1478
779,2093
657,1387
190,414
1231,1475
1474,300
1627,292
687,272
821,1556
2093,302
31,299
786,2002
1664,431
1741,109
1863,1878
1613,1908
1877,1159
1458,1802
2007,2069
309,1217
652,298
462,1466
917,1686
768,289
1254,1802
1536,1406
510,1742
56,1680
1098,1302
494,293
362,51
1959,2004
1878,1991
1058,1456
1731,850
857,1880
1059,287
1108,908
2085,2000
