src,same_file,jaccard_val,dst
1910,0,-1,2002
1701,1,-1,1680
871,0,-1,1466
1587,0,-1,433
1764,0,0.0,287
1508,0,-1,2002
1833,0,-1,1454
1701,0,0.0,293
1018,1,-1,431
1800,0,0.0,579
2035,0,-1,2093
627,0,-1,1406
913,1,0.0,292
2076,0,-1,1464
1874,0,-1,1208
913,1,0.0,580
1966,0,0.0,295
1230,0,-1,908
1243,0,-1,1554
1970,0,-1,109
1932,0,-1,1291
2122,0,0.0,579
986,1,-1,414
1201,0,0.0,286
1322,0,-1,908
547,1,-1,414
1283,0,-1,1556
1800,0,-1,429
1679,0,0.0,286
1974,0,-1,427
1962,0,-1,182
1755,0,-1,311
1400,0,0.0,579
1200,0,0.5,1267
1250,0,-1,1403
1320,0,-1,446
1873,0,-1,1403
1962,0,-1,1406
1400,0,-1,850
1762,1,-1,1738
1442,0,-1,1805
1935,0,-1,194
627,0,-1,1554
2118,0,0.0,297
1201,0,-1,1878
1663,0,0.0,578
1228,0,-1,408
1180,0,0.0,1268
1137,1,-1,414
1286,0,-1,427
1316,0,-1,2006
1243,0,-1,1991
777,1,-1,427
1452,0,0.0,577
1422,0,-1,587
1435,0,-1,1805
167,0,-1,1545
2028,0,-1,908
1278,0,-1,429
1673,0,0.0,580
539,1,-1,433
1435,0,-1,427
1401,0,-1,1454
117,0,0.0,292
2122,0,0.0,293
1759,0,-1,1802
2029,0,-1,1807
1777,0,0.0,578
1755,0,0.0,1268
546,1,-1,182
2034,0,-1,1475
1964,0,-1,1793
1774,0,-1,2079
1961,1,-1,2006
