src,same_file,jaccard_val,dst
23,1,-1.0,9
41,1,-1.0,44
83,0,1.0,721
59,1,-1.0,62
84,0,1.0,721
60,1,-1.0,64
89,1,-1.0,104
90,1,-1.0,106
61,1,-1.0,66
142,0,1.0,721
136,1,-1.0,137
167,0,1.0,721
149,1,-1.0,152
168,0,1.0,721
150,1,-1.0,154
169,0,1.0,721
151,1,-1.0,156
194,0,1.0,721
182,1,-1.0,184
195,0,1.0,721
183,1,-1.0,186
220,0,1.0,721
205,1,-1.0,207
221,0,1.0,721
206,1,-1.0,209
247,0,1.0,721
231,1,-1.0,233
248,0,1.0,721
232,1,-1.0,235
264,0,1.0,721
258,1,-1.0,259
277,0,1.0,721
271,1,-1.0,272
302,0,1.0,721
284,1,-1.0,287
303,0,1.0,721
285,1,-1.0,289
304,0,1.0,721
286,1,-1.0,291
329,0,1.0,721
317,1,-1.0,319
330,0,1.0,721
318,1,-1.0,321
352,0,1.0,721
340,1,-1.0,342
353,0,1.0,721
341,1,-1.0,344
369,0,1.0,721
363,1,-1.0,364
388,0,1.0,721
376,1,-1.0,378
389,0,1.0,721
377,1,-1.0,380
520,0,1.0,721
406,1,-1.0,422
521,1,-1.0,559
407,1,-1.0,424
525,0,1.0,721
408,1,-1.0,426
526,0,1.0,721
409,1,-1.0,428
527,0,1.0,721
410,1,-1.0,430
531,1,-1.0,575
411,1,-1.0,432
535,1,-1.0,582
412,1,-1.0,434
539,1,-1.0,589
413,1,-1.0,436
543,1,-1.0,596
414,1,-1.0,438
547,1,-1.0,603
415,1,-1.0,440
551,1,-1.0,610
416,1,-1.0,442
552,0,1.0,721
417,1,-1.0,444
553,0,1.0,721
418,1,-1.0,446
660,1,-1.0,691
419,1,-1.0,448
555,0,1.0,721
420,1,-1.0,450
750,1,1.0,721
741,1,-1.0,748
