src,dst
591,438
685,287
365,259
502,259
29,44
490,440
440,44
399,452
65,643
244,287
479,344
246,575
344,137
22,259
242,720
108,364
442,233
255,721
709,184
623,444
7,235
184,62
347,432
737,287
627,154
461,721
475,289
724,66
405,44
67,691
514,106
40,432
629,156
327,344
276,233
491,207
744,559
466,442
256,152
694,184
263,154
152,436
737,319
381,154
630,209
295,575
198,748
457,589
640,428
564,44
724,152
491,643
745,691
729,207
682,64
610,106
357,32
214,319
375,364
78,603
479,235
393,66
571,207
607,446
592,424
606,748
460,21
422,64
216,44
311,152
21,380
395,104
132,44
584,233
357,442
512,319
661,154
79,319
274,64
309,287
501,603
98,259
283,342
106,156
275,589
574,287
26,430
257,721
489,233
186,422
495,321
9,104
254,32
216,62
171,720
73,66
343,156
662,610
594,184
404,432
397,610
16,207
200,207
293,428
211,721
440,450
638,21
120,62
430,422
229,380
336,207
314,721
69,450
710,432
585,444
245,748
139,64
164,364
305,426
327,32
512,434
63,582
696,344
249,428
224,32
633,66
639,64
592,448
236,380
559,440
477,62
584,104
432,603
744,559
331,364
193,720
566,691
223,559
208,235
217,344
202,434
71,64
239,154
403,21
572,21
98,380
397,106
66,321
94,450
102,184
199,432
337,436
437,287
365,21
663,589
332,720
751,287
237,32
687,291
606,603
609,617
380,32
188,291
306,691
638,207
308,344
162,21
566,321
17,691
347,154
244,137
566,364
145,436
488,442
261,442
519,154
216,272
69,430
273,207
603,596
65,64
324,32
398,21
452,289
58,444
452,21
486,452
686,344
635,64
20,62
24,432
55,233
129,610
742,156
509,575
441,720
743,259
71,106
147,434
261,582
213,448
263,720
574,66
695,448
348,643
694,378
692,575
462,106
594,440
404,380
93,184
404,436
109,603
346,430
565,617
616,289
106,720
568,64
672,643
294,440
97,32
170,575
154,32
11,721
109,64
499,291
448,21
430,321
618,287
162,378
745,432
78,137
464,434
438,440
103,720
57,378
249,428
223,154
106,207
474,364
28,233
132,450
634,21
265,721
695,589
636,321
727,154
93,259
4,442
627,582
28,137
355,720
620,426
563,438
339,643
226,450
118,235
592,207
283,432
240,104
425,582
34,154
445,321
667,364
106,596
146,378
710,428
178,422
693,643
496,436
517,62
244,603
729,582
289,272
596,137
618,575
687,233
94,62
498,186
170,184
518,233
97,380
709,106
508,44
261,156
466,448
80,720
682,32
218,426
698,321
334,596
104,154
490,287
629,207
665,233
459,104
133,209
587,448
118,721
166,64
426,438
428,748
569,64
128,444
477,575
497,319
491,589
614,424
19,617
123,259
735,321
27,643
425,589
658,422
138,428
326,186
678,448
565,442
315,446
2,272
364,66
712,438
100,287
603,66
230,440
559,438
457,438
306,235
725,442
270,319
47,154
445,152
265,432
145,378
354,721
436,184
101,184
199,440
108,721
6,442
154,643
458,66
565,62
332,342
134,152
738,450
6,184
564,344
178,426
249,448
261,422
452,617
508,748
107,64
75,442
429,434
482,233
667,450
222,44
28,432
314,291
362,448
752,446
44,272
104,721
612,207
99,610
623,691
38,434
259,64
314,32
130,643
680,259
288,617
640,152
161,720
79,321
381,106
625,342
428,442
452,450
495,603
127,596
234,32
748,44
124,721
95,104
74,21
663,233
755,589
144,342
4,156
611,434
720,434
108,137
298,32
681,209
723,289
465,617
123,603
634,452
737,62
603,575
609,291
15,104
595,21
757,235
198,589
326,154
287,154
610,344
257,450
715,610
559,380
276,259
69,582
159,62
32,342
56,438
278,380
110,691
215,272
424,610
431,235
320,32
428,186
34,582
510,291
564,259
669,64
584,289
222,319
100,603
82,364
103,344
65,344
153,596
659,152
308,589
631,691
52,287
692,235
692,432
691,287
18,106
305,209
474,617
427,342
685,380
54,364
563,440
497,448
173,438
734,233
256,235
278,137
674,66
452,66
273,66
162,291
752,319
274,444
507,720
685,691
251,152
98,32
668,452
124,104
442,209
92,424
309,596
621,559
358,691
430,291
349,442
574,452
626,428
672,380
368,582
398,603
31,272
469,438
37,319
280,442
618,432
34,559
345,152
95,44
488,64
625,44
467,721
700,720
265,617
443,589
344,378
364,287
751,720
173,424
11,319
119,452
639,137
730,452
216,422
94,422
351,289
52,259
466,32
438,448
20,444
192,186
67,422
210,152
667,559
230,342
296,428
681,156
680,259
671,603
275,452
641,235
686,603
155,721
273,428
508,617
217,446
476,444
123,106
100,64
673,422
123,233
328,444
243,44
709,272
139,104
490,364
599,380
295,582
77,154
506,691
252,207
439,596
312,422
427,184
586,603
325,559
75,321
590,152
512,450
720,64
612,289
665,32
350,559
684,452
501,137
37,596
118,184
227,287
29,643
578,344
565,233
620,342
643,575
56,691
157,291
372,617
99,446
384,432
278,596
561,582
292,66
3,424
634,446
48,289
45,434
477,64
443,64
626,287
699,32
235,152
312,444
7,428
478,720
179,321
700,137
718,691
190,259
218,748
57,21
668,156
629,452
498,643
484,259
122,432
196,209
