src,same_file,jaccard_val,dst
537,1,-1,589
90,0,-1,430
410,0,-1,64
415,0,-1,380
408,0,-1,104
414,1,-1,432
116,0,-1,319
542,0,-1,137
23,0,-1,321
417,1,-1,589
419,0,-1,209
652,1,-1,434
389,0,-1,235
194,0,-1,291
271,0,-1,748
534,1,-1,446
750,0,-1,137
545,0,0.0,721
556,1,-1,596
271,0,-1,438
707,0,0.0,32
318,0,-1,152
706,0,-1,64
544,1,-1,422
419,1,-1,603
527,0,-1,44
546,0,0.0,721
648,1,-1,434
23,0,-1,291
645,1,-1,440
142,0,-1,424
529,0,-1,378
116,0,-1,184
205,0,-1,344
61,1,-1,62
114,0,-1,559
541,0,-1,291
142,0,-1,432
756,0,-1,137
389,0,-1,589
756,0,-1,156
407,1,-1,436
554,0,-1,235
531,0,-1,154
410,0,-1,291
544,1,-1,448
656,0,-1,64
537,1,-1,691
407,1,-1,610
756,0,-1,582
522,0,-1,66
149,0,-1,428
524,0,-1,380
704,0,-1,291
540,0,-1,319
407,0,-1,44
85,0,-1,209
194,1,-1,184
553,0,-1,207
264,0,-1,44
708,0,-1,104
750,0,-1,319
363,0,-1,233
537,1,0.0,643
340,0,-1,207
409,0,-1,344
247,0,-1,617
284,0,-1,436
539,1,-1,428
389,0,0.0,720
408,0,-1,64
33,0,-1,430
221,0,-1,344
341,0,0.0,643
546,1,-1,575
756,0,-1,582
195,0,-1,289
538,1,-1,575
277,0,-1,207
205,0,0.0,720
525,1,-1,442
111,1,-1,64
116,0,-1,235
750,0,-1,209
545,1,-1,434
