src,same_file,jaccard_val,dst
26,0,-1.0,111
48,1,1.0,4
41,0,-1.0,120
41,0,-1.0,119
41,0,-1.0,118
41,0,-1.0,117
41,0,-1.0,123
41,0,-1.0,121
59,0,1.0,4
65,0,-1.0,21
70,0,-1.0,21
73,0,-1.0,21
61,1,-1.0,66
155,0,-1.0,616
157,0,-1.0,614
247,1,-1.0,248
269,1,-1.0,280
334,0,-1.0,82
270,1,-1.0,282
336,0,-1.0,82
337,0,-1.0,82
271,1,-1.0,284
339,0,-1.0,82
340,0,-1.0,82
272,1,-1.0,286
342,0,-1.0,82
273,1,-1.0,288
345,0,-1.0,82
346,0,-1.0,82
274,1,-1.0,290
350,0,-1.0,82
351,0,-1.0,82
275,1,-1.0,292
355,0,-1.0,82
356,0,-1.0,82
357,0,-1.0,82
276,1,-1.0,294
360,0,-1.0,82
361,0,-1.0,82
277,1,-1.0,296
364,0,-1.0,82
365,0,-1.0,82
278,1,-1.0,298
369,0,-1.0,82
279,1,-1.0,300
261,1,-1.0,265
477,1,-1.0,493
478,1,-1.0,495
567,0,-1.0,117
479,1,-1.0,497
569,0,-1.0,118
571,0,-1.0,118
573,0,-1.0,118
575,0,-1.0,118
480,1,-1.0,499
577,0,-1.0,119
481,1,-1.0,501
578,0,-1.0,119
482,1,-1.0,503
581,0,-1.0,119
483,1,-1.0,505
587,0,-1.0,117
588,0,-1.0,118
589,0,-1.0,119
484,1,-1.0,507
591,0,-1.0,117
592,0,-1.0,118
593,0,-1.0,119
485,1,-1.0,509
486,1,-1.0,511
487,1,-1.0,513
488,1,-1.0,515
489,1,-1.0,517
854,0,-1.0,111
820,0,-1.0,117
701,1,-1.0,722
821,1,-1.0,856
905,0,-1.0,121
905,1,-1.0,923
905,1,-1.0,924
822,1,-1.0,858
702,1,-1.0,724
823,1,-1.0,860
824,1,-1.0,862
908,0,-1.0,121
908,1,-1.0,929
908,1,-1.0,930
825,1,-1.0,864
933,0,-1.0,111
910,0,-1.0,117
826,1,-1.0,866
939,1,-1.0,953
827,1,-1.0,868
703,1,-1.0,726
899,1,-1.0,454
731,1,-1.0,771
732,1,1.0,559
601,1,-1.0,673
901,1,-1.0,454
733,1,-1.0,774
734,1,1.0,559
602,1,-1.0,675
490,1,-1.0,519
778,1,-1.0,454
780,0,-1.0,111
603,1,-1.0,677
604,1,-1.0,679
