src,dst
2,134
622,866
165,860
1077,989
1429,1045
646,864
1720,1493
625,1047
954,681
1827,1658
1843,1662
798,5
1084,21
1803,1801
1927,1055
472,513
1277,559
1538,695
504,1063
829,1602
1044,1600
220,864
664,673
468,505
99,722
1497,1654
1930,288
1052,989
286,616
197,1031
1294,1047
177,1666
652,1055
1661,1474
143,673
1909,868
1651,248
1126,517
1705,991
1426,1598
1598,511
963,513
2,1604
1699,1063
1766,866
652,864
1031,1801
1775,1495
1745,677
1679,135
861,284
777,1045
1439,214
1117,280
209,1474
1334,511
388,689
150,691
563,1670
626,1868
781,724
1870,296
421,521
557,675
1601,1065
688,616
1913,987
1116,987
1390,1652
442,1598
1121,851
462,851
1579,468
292,866
880,673
469,726
1133,1592
962,1039
1472,864
114,468
1417,673
139,134
1321,1579
763,1065
1664,1055
1542,1065
1349,1051
1483,903
1643,21
1044,685
694,993
1271,1037
1447,559
971,1600
1435,991
1471,497
918,1474
1029,1648
625,929
1269,681
405,691
1327,1652
1366,679
930,507
1841,860
324,1809
976,517
1808,771
128,677
1911,284
1377,695
1889,1025
965,1592
907,265
319,862
441,1602
774,1646
388,1029
35,1476
1690,923
1593,292
1814,515
5,1031
1605,681
119,513
674,1594
1186,1672
1272,1812
202,1057
195,691
1873,989
519,1604
924,290
968,924
1597,513
1691,1057
508,673
241,862
1302,4
295,1761
1797,1654
1915,860
1691,860
1440,862
1580,1067
1809,1650
1577,497
1297,513
1466,614
840,860
1278,838
1057,856
136,860
384,1039
967,521
1322,1706
1311,1811
533,1604
835,1495
1743,505
1089,292
794,1654
657,616
1321,511
1718,1604
198,1039
72,868
55,499
170,1051
1581,66
1376,851
917,1658
1819,1592
318,521
1577,991
410,687
1649,903
668,292
1833,1672
775,1051
1894,507
419,1598
766,503
674,1059
600,505
1868,616
1795,300
29,1049
504,993
1393,21
1506,135
106,695
193,1472
1489,1801
862,1474
78,1886
1707,517
36,681
1834,1928
637,507
103,1810
1121,1499
1839,1868
1391,862
1,953
1545,673
1424,1660
674,1474
692,1037
0,930
728,1037
1592,868
1084,677
1752,1757
316,1025
1839,929
663,515
110,1031
1678,1928
720,1029
1366,1025
1738,1600
1285,685
1337,282
196,864
1193,1886
1803,724
628,515
415,851
524,1600
1811,989
1821,930
651,282
1073,691
1212,1648
1673,288
161,1063
1044,292
178,1053
1131,1650
721,677
234,1706
42,1067
1055,858
1072,1761
697,1053
1851,1706
434,1802
141,1495
22,1650
1868,722
470,1493
946,515
1080,265
452,296
893,771
667,929
1743,248
518,953
2,1672
904,288
67,1660
950,511
160,616
1691,685
943,284
315,1059
1828,1027
149,1594
690,1043
1563,1604
987,687
1482,495
1075,614
1474,1761
64,1045
77,1041
507,1886
758,505
1604,1660
286,288
1745,1049
420,284
1359,493
660,1600
21,1041
665,1596
724,519
1332,1646
505,1928
119,722
1534,858
184,5
1111,838
838,845
211,1592
1771,989
911,864
1333,296
1282,1501
241,1662
1120,673
1483,616
292,903
1796,1596
1701,1035
257,681
1560,1029
1846,1055
394,683
497,987
373,501
1375,1602
676,903
935,987
62,1497
812,515
313,689
1520,519
1041,681
634,300
1389,683
684,1577
428,689
227,677
1448,689
1869,501
409,493
1349,1757
160,214
230,1037
1902,1658
324,691
1288,1059
1347,1033
137,1928
1349,771
876,1757
923,1499
695,1928
1615,1594
514,1812
1603,1761
1066,1055
1391,1043
111,924
1041,515
395,1662
1569,296
194,503
798,507
175,1670
180,523
542,1664
1930,1037
204,1604
931,864
1609,1810
141,515
938,1706
1025,1499
375,722
1701,1049
708,993
1107,1025
924,1886
6,903
1102,1652
613,683
574,521
1871,989
1875,995
694,673
1835,284
161,1886
1300,503
1804,1501
23,856
1224,864
1049,903
449,693
281,1061
163,1476
24,1600
3,1067
1830,298
232,1497
423,1476
845,1029
679,1063
1814,989
1843,1886
997,135
160,1662
545,722
1805,991
505,774
620,1668
1896,1596
1940,1662
413,300
196,726
1798,689
1579,468
1810,292
1281,858
1499,1055
384,724
600,265
166,1811
1337,687
1812,695
1834,515
1592,282
511,292
405,1031
1775,1706
51,1063
147,290
1032,924
508,1757
104,726
1064,1666
101,1666
1841,614
671,1672
1293,1664
1600,1055
471,1065
1427,868
1372,675
297,1654
891,1493
796,858
