src,same_file,jaccard_val,dst
769,0,-1,1592
1247,0,-1,523
778,1,-1,903
612,0,-1,1037
457,0,-1,292
359,0,-1,1660
1627,0,-1,1031
477,0,-1,1650
1266,0,-1,1499
1620,0,-1,509
873,0,-1,1648
48,0,-1,953
1171,0,0.0,1801
899,0,-1,1499
1266,0,-1,1658
1149,0,-1,614
272,0,-1,614
1794,1,-1,1652
797,1,-1,505
1010,0,-1,851
1890,0,-1,1053
1455,1,-1,995
1195,0,-1,1604
354,0,-1,1666
1857,0,-1,468
1574,0,-1,1497
1910,0,-1,1031
1194,0,-1,1868
273,0,-1,1499
703,0,-1,1650
1197,0,-1,1664
1455,0,-1,501
1143,0,-1,924
743,0,-1,1495
260,0,-1,1592
1533,0,0.0,1810
595,1,-1,677
602,0,-1,1067
1245,0,-1,1666
271,0,-1,66
788,0,-1,1031
605,0,-1,286
871,0,-1,1025
337,0,-1,1035
477,1,-1,860
1154,0,0.0,559
972,0,-1,1928
1252,1,-1,1051
585,0,-1,1499
1019,0,-1,771
345,0,-1,687
1021,0,0.0,1811
1910,0,-1,679
749,0,-1,288
757,0,-1,1666
1172,0,0.0,5
581,0,-1,1604
355,0,-1,1472
1008,0,-1,499
353,0,-1,1041
792,0,-1,1039
824,1,-1,679
1697,1,-1,1761
799,0,-1,1472
1587,0,0.0,559
1147,0,0.0,5
583,0,-1,1047
334,0,-1,1646
1872,1,0.0,1811
1528,0,0.0,214
484,1,-1,687
1019,0,-1,503
1152,0,-1,468
979,0,-1,290
702,0,-1,1668
770,1,-1,519
1143,1,-1,1027
333,0,-1,521
1645,1,-1,1672
1628,0,-1,499
1016,0,-1,614
1228,0,-1,1670
1788,1,-1,1650
361,0,-1,722
1148,0,-1,503
984,0,-1,493
1619,0,-1,517
1723,0,-1,1059
1020,0,-1,1658
1014,0,-1,503
603,0,-1,993
1629,0,-1,774
761,1,-1,509
1519,0,-1,845
1721,0,-1,1501
1147,0,-1,286
607,0,-1,1033
609,0,-1,1648
277,0,-1,1928
1205,0,-1,497
1917,0,-1,1051
1172,0,-1,286
1636,0,0.0,1811
1468,0,-1,1662
1005,0,-1,1594
569,0,-1,290
1708,0,-1,1059
927,0,-1,294
939,0,0.0,1811
341,0,-1,1662
1021,0,-1,286
732,0,-1,284
1178,0,-1,860
1181,0,-1,1654
1866,0,-1,1051
1585,0,-1,693
591,1,-1,685
587,0,-1,1039
1203,1,-1,1041
1630,0,-1,290
1219,0,-1,864
1008,0,-1,838
1005,0,-1,248
1697,0,-1,1497
783,1,-1,503
1228,0,-1,511
1516,1,-1,1499
347,0,-1,1055
1524,0,-1,1035
278,1,-1,290
1142,0,-1,1660
1019,0,-1,1596
1455,0,-1,523
490,1,-1,929
700,0,-1,1037
700,1,-1,862
270,0,-1,616
457,1,-1,860
1861,1,0.0,1811
348,0,-1,1600
26,0,-1,860
591,0,0.0,5
1532,0,-1,673
1522,0,-1,1928
597,0,-1,1035
983,0,-1,284
1776,0,-1,1043
1231,0,-1,66
984,0,-1,929
1934,1,-1,1928
1192,0,-1,693
1152,0,-1,675
339,0,-1,511
1631,0,-1,1886
584,1,-1,513
1233,0,0.0,4
928,0,-1,294
1168,0,0.0,5
