id,type,name,params_len,argument_len,returns,start_line,start_column,end_line,end_column,file_name,file_is_index_or_test,new_id
1,Program,nan,-1,-1,-1,1,0,5,1,packages\date-now\index.js,1,0
3,FunctionDeclaration,nan,-1,0,1,3,0,5,1,packages\date-now\index.js,1,1
4,AssignmentExpression,nan,-1,-1,-1,1,0,1,32,packages\date-now\index.js,1,2
5,Identifier,now,-1,-1,-1,3,9,3,12,packages\date-now\index.js,1,3
7,BlockStatement,nan,-1,-1,-1,3,15,5,1,packages\date-now\index.js,1,4
8,MemberExpression,nan,-1,-1,-1,1,0,1,14,packages\date-now\index.js,1,5
9,LogicalExpression,nan,-1,-1,-1,1,17,1,32,packages\date-now\index.js,1,6
10,ReturnStatement,nan,1,-1,-1,4,4,4,31,packages\date-now\index.js,1,7
11,MemberExpression,nan,-1,-1,-1,1,17,1,25,packages\date-now\index.js,1,8
12,Identifier,now,-1,-1,-1,1,29,1,32,packages\date-now\index.js,1,9
13,CallExpression,nan,0,-1,-1,4,11,4,31,packages\date-now\index.js,1,10
14,MemberExpression,nan,-1,-1,-1,4,11,4,29,packages\date-now\index.js,1,11
15,Program,nan,-1,-1,-1,1,0,16,1,packages\date-now\seed.js,0,12
16,VariableDeclaration,nan,-1,-1,-1,1,0,1,28,packages\date-now\seed.js,0,13
18,FunctionDeclaration,nan,-1,1,1,8,0,16,1,packages\date-now\seed.js,0,14
19,AssignmentExpression,nan,-1,-1,-1,3,0,3,23,packages\date-now\seed.js,0,15
20,Identifier,seeded,-1,-1,-1,8,9,8,15,packages\date-now\seed.js,0,16
21,Identifier,seed,-1,-1,-1,8,16,8,20,packages\date-now\seed.js,0,17
23,BlockStatement,nan,-1,-1,-1,8,22,16,1,packages\date-now\seed.js,0,18
24,MemberExpression,nan,-1,-1,-1,3,0,3,14,packages\date-now\seed.js,0,19
25,Identifier,seeded,-1,-1,-1,3,17,3,23,packages\date-now\seed.js,0,20
26,VariableDeclaration,nan,-1,-1,-1,9,4,9,23,packages\date-now\seed.js,0,21
27,ReturnStatement,nan,1,-1,-1,11,4,11,15,packages\date-now\seed.js,0,22
28,FunctionDeclaration,nan,-1,0,1,13,4,15,5,packages\date-now\seed.js,0,23
29,Identifier,time,-1,-1,-1,11,11,11,15,packages\date-now\seed.js,0,24
30,Identifier,time,-1,-1,-1,13,13,13,17,packages\date-now\seed.js,0,25
32,BlockStatement,nan,-1,-1,-1,13,20,15,5,packages\date-now\seed.js,0,26
33,ReturnStatement,nan,1,-1,-1,14,8,14,39,packages\date-now\seed.js,0,27
35,Identifier,seed,-1,-1,-1,14,15,14,19,packages\date-now\seed.js,0,28
37,CallExpression,nan,0,-1,-1,14,23,14,28,packages\date-now\seed.js,0,29
38,Identifier,current,-1,-1,-1,14,31,14,38,packages\date-now\seed.js,0,30
39,Identifier,now,-1,-1,-1,14,23,14,26,packages\date-now\seed.js,0,31
40,Program,nan,-1,-1,-1,1,0,38,2,packages\date-now\test\index.js,1,32
41,VariableDeclaration,nan,-1,-1,-1,1,0,1,26,packages\date-now\test\index.js,1,33
42,VariableDeclaration,nan,-1,-1,-1,2,0,2,45,packages\date-now\test\index.js,1,34
43,VariableDeclaration,nan,-1,-1,-1,4,0,4,29,packages\date-now\test\index.js,1,35
44,VariableDeclaration,nan,-1,-1,-1,5,0,5,31,packages\date-now\test\index.js,1,36
47,CallExpression,nan,2,-1,-1,7,0,14,2,packages\date-now\test\index.js,1,37
48,CallExpression,nan,2,-1,-1,16,0,38,2,packages\date-now\test\index.js,1,38
50,FunctionExpression,nan,-1,1,0,7,13,14,1,packages\date-now\test\index.js,1,39
51,Identifier,test,-1,-1,-1,7,0,7,4,packages\date-now\test\index.js,1,40
53,FunctionExpression,nan,-1,1,0,16,15,38,1,packages\date-now\test\index.js,1,41
54,Identifier,test,-1,-1,-1,16,0,16,4,packages\date-now\test\index.js,1,42
55,Identifier,assert,-1,-1,-1,7,23,7,29,packages\date-now\test\index.js,1,43
57,BlockStatement,nan,-1,-1,-1,7,31,14,1,packages\date-now\test\index.js,1,44
58,Identifier,assert,-1,-1,-1,16,25,16,31,packages\date-now\test\index.js,1,45
60,BlockStatement,nan,-1,-1,-1,16,33,38,1,packages\date-now\test\index.js,1,46
61,VariableDeclaration,nan,-1,-1,-1,8,4,8,37,packages\date-now\test\index.js,1,47
62,VariableDeclaration,nan,-1,-1,-1,9,4,9,18,packages\date-now\test\index.js,1,48
63,VariableDeclaration,nan,-1,-1,-1,10,4,10,36,packages\date-now\test\index.js,1,49
67,VariableDeclaration,nan,-1,-1,-1,17,4,17,22,packages\date-now\test\index.js,1,50
68,VariableDeclaration,nan,-1,-1,-1,18,4,18,25,packages\date-now\test\index.js,1,51
69,VariableDeclaration,nan,-1,-1,-1,19,4,19,21,packages\date-now\test\index.js,1,52
70,VariableDeclaration,nan,-1,-1,-1,21,4,21,19,packages\date-now\test\index.js,1,53
71,VariableDeclaration,nan,-1,-1,-1,22,4,22,19,packages\date-now\test\index.js,1,54
72,VariableDeclaration,nan,-1,-1,-1,23,4,23,19,packages\date-now\test\index.js,1,55
76,CallExpression,nan,1,-1,-1,11,4,11,27,packages\date-now\test\index.js,1,56
77,CallExpression,nan,1,-1,-1,12,4,12,26,packages\date-now\test\index.js,1,57
78,CallExpression,nan,0,-1,-1,13,4,13,16,packages\date-now\test\index.js,1,58
79,CallExpression,nan,1,-1,-1,25,4,25,38,packages\date-now\test\index.js,1,59
80,CallExpression,nan,1,-1,-1,26,4,26,37,packages\date-now\test\index.js,1,60
81,CallExpression,nan,2,-1,-1,28,4,37,10,packages\date-now\test\index.js,1,61
83,MemberExpression,nan,-1,-1,-1,11,4,11,13,packages\date-now\test\index.js,1,62
85,MemberExpression,nan,-1,-1,-1,12,4,12,13,packages\date-now\test\index.js,1,63
86,MemberExpression,nan,-1,-1,-1,13,4,13,14,packages\date-now\test\index.js,1,64
88,MemberExpression,nan,-1,-1,-1,25,4,25,13,packages\date-now\test\index.js,1,65
90,MemberExpression,nan,-1,-1,-1,26,4,26,13,packages\date-now\test\index.js,1,66
91,FunctionExpression,nan,-1,0,0,28,15,37,5,packages\date-now\test\index.js,1,67
93,Identifier,setTimeout,-1,-1,-1,28,4,28,14,packages\date-now\test\index.js,1,68
94,Identifier,before,-1,-1,-1,11,14,11,20,packages\date-now\test\index.js,1,69
95,Identifier,ts,-1,-1,-1,11,24,11,26,packages\date-now\test\index.js,1,70
96,Identifier,after,-1,-1,-1,12,14,12,19,packages\date-now\test\index.js,1,71
97,Identifier,ts,-1,-1,-1,12,23,12,25,packages\date-now\test\index.js,1,72
