src,dst
3000,23257
14261,7120
9245,18299
7153,24557
9219,23223
5727,6269
780,24539
19372,6283
2378,7245
6870,7253
15311,24571
1863,13
14124,24561
9556,7940
9015,18237
19713,2373
4693,7116
335,23271
24374,19487
17890,11494
2728,15256
14336,11506
4883,23528
624,23241
11571,6031
23118,10
22904,14426
3522,7134
4826,282
22852,24573
19490,15256
24200,18485
255,19527
15464,19563
14641,7184
19150,23239
2192,23273
10317,3132
21964,24585
20830,20779
20931,7573
13620,25409
20313,19539
10313,7212
4609,6153
5871,23247
1883,20803
16936,6326
15652,11580
20631,18283
5671,302
5174,12
18083,7202
4689,7872
7845,7192
12307,11488
802,7071
1902,10
20514,6208
1480,14837
6027,19571
5328,12192
13790,20797
4849,18271
11336,18299
18433,18299
9340,23261
857,23235
9177,23239
15600,3523
2908,7182
20724,20827
20565,322
20655,6214
2828,7200
2080,23207
20906,23287
5130,18219
6944,19793
697,6346
19166,7114
11265,7259
9494,20841
721,15347
1467,20761
20332,182
9183,24565
21757,6259
20844,20837
5745,10603
22982,182
24657,23229
25118,18259
1532,23522
21927,11585
24356,12197
817,19559
11450,18275
16954,20833
5105,18285
674,2373
4709,20813
22175,20833
2516,22205
6843,7235
17079,7061
9015,6261
601,2375
12367,320
23349,18221
9054,7085
1049,3098
5646,20781
11087,23237
487,3606
2596,18277
2895,7210
11070,20819
1445,7073
22072,18291
20880,18283
23128,178
10537,11492
21666,25409
6906,7227
23152,20789
22121,7049
12721,21100
25360,18263
20906,21
474,2381
5543,20821
18873,7075
12449,7239
6433,24547
14139,18299
3521,7945
24391,11482
4923,2367
19144,23305
6248,22121
25228,6220
19088,23297
9977,7120
14034,2375
793,18275
750,18295
2943,9964
5944,6281
5260,7231
21026,12197
11468,7077
5272,7945
21026,6316
2011,18283
16921,11492
16921,21047
25078,7081
2819,7164
5039,15256
25223,2949
10291,23219
13648,23253
9318,7051
3073,23233
7489,6273
22887,10597
15411,6159
771,23249
16886,18293
6156,23295
6953,308
23207,19519
9917,11494
19007,6644
1380,3127
1737,7053
15469,6289
19722,2955
23318,19565
19243,20769
22983,7198
294,2373
9217,18287
7186,7063
9990,24579
16439,7872
14,7055
24162,7182
7194,7112
517,302
12200,2949
2866,18249
997,15
963,12449
25329,19521
10143,7136
19467,7182
4691,19541
19789,7124
7110,19567
25481,4
5326,7206
21717,11488
25189,7253
14742,2997
5052,18231
487,18287
15355,19567
23258,15256
17796,18299
19184,23245
9476,23235
15299,7057
18250,6644
20586,23301
10258,3352
12322,18267
25485,176
4638,7083
12301,19573
14373,21047
5357,274
5765,20837
11820,2375
1790,2381
5310,7051
5835,24567
20610,312
12318,23497
102,6218
4672,24565
16520,274
5865,6204
22814,25404
4984,19513
5871,13
16611,20789
15084,7208
15441,24533
5263,24547
5597,18241
22095,7164
7087,24563
17875,6342
5281,23289
6882,20791
10323,6194
10540,19507
5562,19491
13744,19559
114,333
24567,6212
24087,23287
25102,7178
23220,18485
5872,20799
23216,25404
9094,2949
463,18297
10177,7210
12728,20833
14787,280
9968,19525
22794,24577
11790,15489
2811,304
10278,19557
19031,15239
1465,7142
21772,7168
16528,7182
24381,2381
6863,7225
15046,7184
12722,7235
20934,15440
101,24697
3325,23265
19395,23207
514,23215
24357,20797
16899,23273
11282,17191
13821,20801
23508,24561
19276,6204
7480,19519
16701,7055
16840,7104
20593,7057
19513,18217
10592,2383
10419,18293
13722,6232
304,23231
6422,19567
19150,20781
7238,18269
11589,3132
14063,17235
5601,23213
9346,23309
1086,282
5459,24547
18256,284
24488,23295
4822,20847
19711,23311
24208,18223
23270,7218
9842,316
10481,2370
5546,9969
3603,316
5467,20833
15419,7142
15423,7206
19021,23251
21978,15434
7341,7243
20643,11486
11910,25404
1663,19567
1565,6198
10507,18223
24413,23265
2539,18239
12282,11482
17962,7166
4964,7055
5936,19577
21051,7126
7290,19529
24395,15440
7794,2949
21035,24565
17107,7227
11523,19788
5103,7046
675,7162
2807,2953
11329,289
11416,24537
15455,20835
7866,7166
25124,19491
15641,23285
4708,23273
18493,6222
1430,20805
9495,18269
17100,7182
9183,24577
2108,308
4934,7122
5263,148
10340,6238
7741,6230
9638,7077
17826,2997
1471,12
18119,19545
21929,23281
7319,7085
7912,6218
650,23263
15298,24567
4877,6153
2893,23291
13961,23263
21933,7945
6255,20801
10042,19563
1924,7940
5296,11506
23314,8
10282,23
23264,7079
11937,18273
5654,23229
3252,24579
18022,23249
16533,6265
5167,23245
20856,6350
7288,7212
7901,20819
19733,176
7555,7164
1641,7251
20618,23231
9005,20
12765,24537
19772,24547
5640,19529
6381,20765
13889,20759
13904,7160
19249,23265
24593,7108
17908,19495
9001,21047
24492,23
16460,7164
25130,176
11208,7231
9286,2367
24527,19727
803,23295
16975,23229
2063,19555
711,19537
16713,24537
3551,12841
2629,22121
6338,7046
3470,23213
3490,7132
1068,304
3556,18229
24351,6291
14325,11494
22988,24541
14328,20789
44,7047
11574,7218
11294,12690
22995,18281
2965,6220
17834,12449
10349,19531
7934,7087
25117,10597
20262,14
16997,18225
10070,23275
25045,7867
19331,24577
1895,24569
1291,20759
483,6324
21808,10
19028,20843
10234,19577
2280,19793
17844,7231
24345,14426
17933,2378
7358,23299
22171,7237
11473,18255
1773,6279
25375,7122
2859,7067
5106,7940
15272,6228
23282,7136
3135,7057
20568,7138
19524,19505
13891,19539
25261,3127
24176,21105
19310,17240
9861,7255
9224,19487
5562,23205
11285,7259
13865,23229
5611,9964
3590,23301
7166,6218
6414,20781
10446,15347
7547,7241
17994,14837
1862,6214
21671,2384
7943,23295
5423,19515
19340,20753
10198,6275
16758,7110
14818,18221
17854,23287
911,19541
17873,6218
2596,2379
1841,11585
23308,7124
12787,19549
15625,19555
2458,2376
19319,23259
2647,257
5643,7079
399,23227
25195,7118
5258,23303
3241,18211
16820,20829
24303,7227
14724,7229
9456,6329
17020,330
22178,6354
23295,6265
21805,176
11955,19541
20897,7059
5543,24545
129,7259
72,18215
10268,7214
25316,19555
9949,7249
20652,19575
307,6283
2930,20793
3071,11504
9678,23267
3285,20775
24229,20777
2397,19547
22036,19575
5622,3601
104,22199
14803,7196
25088,21105
1059,7075
594,24559
6222,23297
18206,12377
1817,9964
17107,19559
17193,6269
21053,6279
17884,7239
1967,18285
14185,7188
2252,15347
1725,10597
16570,19561
2496,24581
1119,6198
15361,24565
15463,19517
18151,20777
1385,7204
859,11508
1643,11570
471,6261
11959,7126
7255,15347
20852,15239
24082,6291
14141,20825
17927,19551
9879,25404
9365,23285
24375,6326
1239,7196
6288,20767
19456,23231
22174,2381
14702,7216
5536,7051
13752,6210
9240,316
10390,10602
2712,24697
1113,19553
4842,6285
3581,24545
9869,6216
19047,6149
17771,20845
2387,6326
25259,280
5146,23219
2922,7136
5946,7239
9974,18297
14639,6320
12100,280
25323,6218
9429,15347
23505,312
4859,2955
17776,23265
16889,19529
21932,7216
1851,7110
22865,7051
5862,3347
11367,18484
8991,22126
25134,21100
1684,7053
14311,6147
23538,20807
16986,14431
2075,6346
16989,20765
20886,18233
4705,7206
18295,20799
4621,19565
17023,23289
20427,18267
1102,19509
5279,18291
23147,7255
676,18247
18058,14
415,2378
12352,19503
1523,11506
5833,24569
3314,20761
475,7073
3080,19491
18478,2501
