src,same_file,jaccard_val,dst
24632,0,0.0,20
3432,0,1.0,15352
665,1,-1,291
22473,0,-1,19505
7652,0,-1,6220
17453,0,-1,7174
16180,0,1.0,12382
11544,0,-1,7061
2053,0,-1,7251
8430,0,-1,23269
4031,0,-1,7168
3631,0,-1,7229
22464,0,-1,18291
8118,0,-1,23255
12204,0,-1,19585
23960,0,-1,20805
18777,0,-1,24545
8924,0,0.0,2378
21004,0,-1,6291
4285,0,-1,20841
18643,0,-1,18293
8114,0,-1,20831
271,0,-1,19763
7701,0,-1,7132
17669,0,0.0,9969
6721,0,-1,20769
3587,0,-1,282
24961,0,0.0,20
21311,0,0.0,22
4487,0,-1,20837
10753,0,-1,23219
12402,0,-1,14379
10832,0,-1,18279
3657,0,-1,300
4019,0,-1,20757
3850,0,-1,4
3695,0,-1,23227
12548,0,-1,19513
19861,0,-1,338
23701,0,-1,7047
12057,0,-1,19565
12989,0,-1,7132
10067,0,-1,7231
3665,0,-1,6322
21005,1,-1,20831
14414,0,-1,333
24895,0,-1,6159
22464,0,-1,18219
23985,0,-1,2997
17580,0,-1,24549
8635,0,-1,2957
21367,0,-1,7573
17493,0,0.0,22205
16023,0,-1,11580
12534,0,-1,19519
21364,0,-1,7225
8815,0,-1,23211
4301,0,-1,7263
23636,0,-1,6273
14977,0,-1,23261
13457,0,-1,18239
24633,0,-1,23281
10696,0,-1,23213
6502,0,-1,23225
18747,0,-1,7231
4452,0,-1,19535
19682,0,0.0,257
21511,0,-1,18263
4492,0,-1,19553
16170,0,-1,6202
7428,0,-1,6279
18726,0,-1,6269
18739,0,-1,18275
23396,0,-1,7118
22216,0,-1,11570
2903,0,-1,7136
7704,0,-1,320
10801,0,-1,7188
22485,0,1.0,10602
16104,0,-1,23215
6819,0,-1,23223
3668,0,-1,186
13242,0,0.0,2372
23987,0,1.0,2931
20024,0,1.0,15494
267,0,-1,7075
4271,0,-1,20793
11697,0,-1,18235
10901,1,-1,11484
16408,0,-1,7176
4272,0,1.0,19793
12623,0,-1,7237
3214,0,-1,20785
13477,0,-1,23460
15696,0,-1,20809
8872,0,-1,7231
4542,0,-1,18231
8212,0,-1,7192
18501,0,0.0,10
10310,0,-1,17191
8130,0,-1,23233
12525,0,-1,7049
8487,0,-1,6230
6726,0,-1,3347
14461,0,-1,6285
13317,0,0.0,2377
17350,0,-1,6324
21315,0,-1,23243
17568,0,-1,6214
12526,0,-1,7067
4504,0,-1,19571
4254,0,-1,23239
23862,0,-1,7212
15875,0,-1,23227
17492,0,-1,6316
11680,0,1.0,22204
10839,0,-1,178
8708,0,-1,7130
6105,1,-1,6342
2992,0,-1,23213
17747,0,-1,318
10958,0,-1,6285
23713,0,-1,6273
14850,0,0.0,2373
4473,0,-1,6238
17422,0,-1,318
10284,0,-1,7079
16383,0,-1,19515
8144,0,-1,7130
14938,0,-1,23249
17722,0,-1,6226
14508,0,1.0,3606
23955,0,-1,18257
23946,0,-1,20789
20037,0,-1,7241
4472,0,-1,23277
12907,0,-1,20759
4076,0,-1,18265
22252,0,0.0,2372
7420,1,-1,7136
18799,1,-1,19513
24850,0,-1,7243
21480,0,-1,6316
22293,0,0.0,2384
11890,0,-1,312
11815,0,-1,6224
17298,0,-1,7162
3833,0,-1,176
23833,0,-1,19531
19899,0,-1,7867
3792,0,-1,7174
15312,0,-1,6214
16280,0,-1,20791
23572,0,-1,19511
17533,0,-1,6287
1891,1,0.19999999999999996,15
21252,0,1.0,3132
10505,0,0.0,23527
17411,0,-1,295
13305,0,0.0,2382
8372,0,-1,320
6145,0,-1,18287
16016,0,1.0,7872
6827,0,-1,15436
22545,0,-1,7104
16111,0,-1,7138
20196,0,-1,6291
23658,0,-1,23497
10120,0,0.0,2372
8354,0,-1,20839
22255,1,-1,23291
1682,0,0.0,2381
23632,0,-1,19501
2662,0,-1,20757
10699,0,-1,6644
21144,0,0.0,2383
17510,0,-1,23223
22595,0,-1,7243
15009,0,-1,6316
3157,0,-1,24565
15529,0,-1,7940
15823,0,-1,20779
24638,0,-1,2953
10082,0,-1,24571
24672,0,0.0,2372
11680,0,-1,19519
20305,0,-1,19521
13478,0,1.0,3132
18599,0,-1,11508
8705,0,-1,15239
7395,0,-1,15438
21456,0,-1,15489
18922,0,0.0,2378
4259,0,-1,7210
18827,0,-1,7218
6054,0,-1,7180
15923,0,-1,7085
13482,0,-1,18257
8117,0,-1,6222
19896,0,-1,295
16196,0,-1,23281
3344,0,-1,18299
7632,0,-1,23257
8091,0,-1,7190
369,0,-1,20759
12259,0,-1,19513
14855,0,-1,20783
21119,0,-1,7104
4001,0,-1,18245
6667,0,-1,23311
6675,0,-1,6218
17420,0,-1,6196
4436,0,-1,24565
10055,0,-1,7239
18547,1,-1,19727
18382,0,-1,6230
25436,0,-1,11486
22525,0,-1,19587
12396,0,-1,20819
13430,0,-1,7251
22272,1,-1,23241
18759,0,-1,7166
20214,0,-1,7249
8314,0,-1,6326
8740,0,-1,7061
21585,0,-1,24539
8145,0,-1,6220
16135,0,-1,6281
17669,0,-1,308
21193,0,0.0,22205
3620,0,1.0,12382
15462,0,-1,24573
12970,0,-1,7083
21352,0,-1,7214
17281,0,0.0,15353
14544,0,-1,7200
18703,0,-1,6267
17665,0,-1,20773
18561,0,-1,330
24045,0,-1,23219
8034,0,-1,2957
8509,0,-1,23257
3261,0,-1,6281
23926,0,-1,4
8788,0,-1,23497
4010,0,-1,18237
12491,0,-1,18231
19917,0,-1,6212
22707,0,-1,7190
25435,0,-1,18289
