src,dst
6,27
187,27
5,56
158,27
29,30
39,30
197,30
77,53
85,56
33,56
30,56
158,56
7,27
135,27
16,27
182,27
75,56
56,53
184,30
6,56
116,53
203,53
31,27
87,56
73,27
10,56
30,53
196,56
167,56
146,56
169,30
158,27
122,30
146,53
193,56
1,27
149,56
188,30
184,30
132,30
60,53
83,56
130,56
73,53
66,27
171,53
87,30
170,56
3,53
174,53
120,53
117,30
166,53
57,56
200,56
147,56
85,56
202,27
121,27
186,56
151,56
126,56
13,27
121,56
164,27
155,30
17,30
78,30
177,53
142,30
86,56
6,53
196,27
19,53
118,27
83,53
8,53
34,56
57,30
24,53
16,53
176,30
197,56
18,27
191,53
90,27
68,53
205,56
79,56
87,53
37,27
193,53
20,53
40,56
202,27
134,30
44,56
188,27
20,53
61,56
1,56
73,27
12,30
61,30
40,56
190,27
170,56
143,56
32,27
13,27
127,30
82,53
131,53
174,30
55,27
202,53
59,27
143,30
126,30
1,56
28,56
12,30
3,56
131,30
185,27
200,53
68,27
39,27
91,27
84,53
177,27
56,53
184,53
179,30
199,30
199,56
123,30
74,30
36,56
76,56
2,30
1,56
82,27
82,53
167,56
91,27
204,27
35,56
187,56
193,56
84,53
174,27
131,27
23,27
6,27
29,53
83,56
65,30
88,27
68,30
181,56
65,30
69,30
38,56
84,27
24,53
15,53
