id,type,name,params_len,argument_len,returns,start_line,start_column,end_line,end_column,file_name,file_is_index_or_test,new_id
1,Program,nan,-1,-1,-1,1,0,47,34,packages\define-properties\index.js,1,0
3,VariableDeclaration,nan,-1,-1,-1,3,0,3,34,packages\define-properties\index.js,1,1
4,VariableDeclaration,nan,-1,-1,-1,4,0,4,83,packages\define-properties\index.js,1,2
5,VariableDeclaration,nan,-1,-1,-1,6,0,6,38,packages\define-properties\index.js,1,3
6,VariableDeclaration,nan,-1,-1,-1,7,0,7,36,packages\define-properties\index.js,1,4
7,VariableDeclaration,nan,-1,-1,-1,8,0,8,57,packages\define-properties\index.js,1,5
8,VariableDeclaration,nan,-1,-1,-1,10,0,12,2,packages\define-properties\index.js,1,6
9,VariableDeclaration,nan,-1,-1,-1,14,0,14,64,packages\define-properties\index.js,1,7
10,VariableDeclaration,nan,-1,-1,-1,16,0,32,2,packages\define-properties\index.js,1,8
11,VariableDeclaration,nan,-1,-1,-1,34,0,43,2,packages\define-properties\index.js,1,9
15,AssignmentExpression,nan,-1,-1,-1,45,0,45,60,packages\define-properties\index.js,1,10
16,AssignmentExpression,nan,-1,-1,-1,47,0,47,33,packages\define-properties\index.js,1,11
17,MemberExpression,nan,-1,-1,-1,45,0,45,36,packages\define-properties\index.js,1,12
18,UnaryExpression,nan,1,-1,-1,45,39,45,60,packages\define-properties\index.js,1,13
19,MemberExpression,nan,-1,-1,-1,47,0,47,14,packages\define-properties\index.js,1,14
20,Identifier,defineProperties,-1,-1,-1,47,17,47,33,packages\define-properties\index.js,1,15
21,UnaryExpression,nan,1,-1,-1,45,40,45,60,packages\define-properties\index.js,1,16
22,Identifier,supportsDescriptors,-1,-1,-1,45,41,45,60,packages\define-properties\index.js,1,17
23,Program,nan,-1,-1,-1,1,0,172,3,packages\define-properties\test\index.js,1,18
25,VariableDeclaration,nan,-1,-1,-1,3,0,3,28,packages\define-properties\test\index.js,1,19
26,VariableDeclaration,nan,-1,-1,-1,4,0,4,27,packages\define-properties\test\index.js,1,20
27,VariableDeclaration,nan,-1,-1,-1,5,0,5,34,packages\define-properties\test\index.js,1,21
28,VariableDeclaration,nan,-1,-1,-1,7,0,15,2,packages\define-properties\test\index.js,1,22
29,VariableDeclaration,nan,-1,-1,-1,16,0,16,88,packages\define-properties\test\index.js,1,23
30,VariableDeclaration,nan,-1,-1,-1,18,0,18,83,packages\define-properties\test\index.js,1,24
34,CallExpression,nan,2,-1,-1,20,0,153,2,packages\define-properties\test\index.js,1,25
35,CallExpression,nan,3,-1,-1,155,0,172,2,packages\define-properties\test\index.js,1,26
37,FunctionExpression,nan,-1,1,0,20,25,153,1,packages\define-properties\test\index.js,1,27
38,Identifier,test,-1,-1,-1,20,0,20,4,packages\define-properties\test\index.js,1,28
40,ObjectExpression,nan,-1,-1,-1,155,16,155,37,packages\define-properties\test\index.js,1,29
41,FunctionExpression,nan,-1,1,0,155,39,172,1,packages\define-properties\test\index.js,1,30
42,Identifier,test,-1,-1,-1,155,0,155,4,packages\define-properties\test\index.js,1,31
43,Identifier,dt,-1,-1,-1,20,35,20,37,packages\define-properties\test\index.js,1,32
45,BlockStatement,nan,-1,-1,-1,20,39,153,1,packages\define-properties\test\index.js,1,33
46,Identifier,t,-1,-1,-1,155,49,155,50,packages\define-properties\test\index.js,1,34
48,BlockStatement,nan,-1,-1,-1,155,52,172,1,packages\define-properties\test\index.js,1,35
52,VariableDeclaration,nan,-1,-1,-1,156,1,156,25,packages\define-properties\test\index.js,1,36
53,VariableDeclaration,nan,-1,-1,-1,157,1,157,14,packages\define-properties\test\index.js,1,37
54,VariableDeclaration,nan,-1,-1,-1,158,1,158,17,packages\define-properties\test\index.js,1,38
55,VariableDeclaration,nan,-1,-1,-1,159,1,159,17,packages\define-properties\test\index.js,1,39
56,VariableDeclaration,nan,-1,-1,-1,160,1,160,32,packages\define-properties\test\index.js,1,40
65,CallExpression,nan,3,-1,-1,21,1,102,3,packages\define-properties\test\index.js,1,41
66,CallExpression,nan,3,-1,-1,104,1,150,3,packages\define-properties\test\index.js,1,42
67,CallExpression,nan,0,-1,-1,152,1,152,9,packages\define-properties\test\index.js,1,43
68,AssignmentExpression,nan,-1,-1,-1,161,1,161,25,packages\define-properties\test\index.js,1,44
69,CallExpression,nan,2,-1,-1,163,1,163,24,packages\define-properties\test\index.js,1,45
70,CallExpression,nan,3,-1,-1,165,1,165,67,packages\define-properties\test\index.js,1,46
71,CallExpression,nan,3,-1,-1,166,1,166,89,packages\define-properties\test\index.js,1,47
72,CallExpression,nan,3,-1,-1,167,1,167,94,packages\define-properties\test\index.js,1,48
73,CallExpression,nan,3,-1,-1,168,1,168,56,packages\define-properties\test\index.js,1,49
74,CallExpression,nan,3,-1,-1,169,1,169,59,packages\define-properties\test\index.js,1,50
75,CallExpression,nan,0,-1,-1,171,1,171,8,packages\define-properties\test\index.js,1,51
77,ObjectExpression,nan,-1,-1,-1,21,36,21,67,packages\define-properties\test\index.js,1,52
78,FunctionExpression,nan,-1,1,0,21,69,102,2,packages\define-properties\test\index.js,1,53
79,MemberExpression,nan,-1,-1,-1,21,1,21,8,packages\define-properties\test\index.js,1,54
81,ObjectExpression,nan,-1,-1,-1,104,39,104,69,packages\define-properties\test\index.js,1,55
82,FunctionExpression,nan,-1,1,0,104,71,150,2,packages\define-properties\test\index.js,1,56
83,MemberExpression,nan,-1,-1,-1,104,1,104,8,packages\define-properties\test\index.js,1,57
84,MemberExpression,nan,-1,-1,-1,152,1,152,7,packages\define-properties\test\index.js,1,58
85,MemberExpression,nan,-1,-1,-1,161,1,161,16,packages\define-properties\test\index.js,1,59
86,Identifier,bValue,-1,-1,-1,161,19,161,25,packages\define-properties\test\index.js,1,60
87,Identifier,obj,-1,-1,-1,163,8,163,11,packages\define-properties\test\index.js,1,61
88,Identifier,properties,-1,-1,-1,163,13,163,23,packages\define-properties\test\index.js,1,62
89,Identifier,define,-1,-1,-1,163,1,163,7,packages\define-properties\test\index.js,1,63
90,CallExpression,nan,1,-1,-1,165,13,165,29,packages\define-properties\test\index.js,1,64
91,ArrayExpression,nan,-1,-1,-1,165,31,165,33,packages\define-properties\test\index.js,1,65
93,MemberExpression,nan,-1,-1,-1,165,1,165,12,packages\define-properties\test\index.js,1,66
94,CallExpression,nan,1,-1,-1,166,13,166,44,packages\define-properties\test\index.js,1,67
95,ArrayExpression,nan,-1,-1,-1,166,46,166,51,packages\define-properties\test\index.js,1,68
97,MemberExpression,nan,-1,-1,-1,166,1,166,12,packages\define-properties\test\index.js,1,69
98,CallExpression,nan,1,-1,-1,167,13,167,46,packages\define-properties\test\index.js,1,70
99,ArrayExpression,nan,-1,-1,-1,167,48,167,53,packages\define-properties\test\index.js,1,71
101,MemberExpression,nan,-1,-1,-1,167,1,167,12,packages\define-properties\test\index.js,1,72
102,MemberExpression,nan,-1,-1,-1,168,9,168,14,packages\define-properties\test\index.js,1,73
103,Identifier,aValue,-1,-1,-1,168,16,168,22,packages\define-properties\test\index.js,1,74
105,MemberExpression,nan,-1,-1,-1,168,1,168,8,packages\define-properties\test\index.js,1,75
106,MemberExpression,nan,-1,-1,-1,169,9,169,17,packages\define-properties\test\index.js,1,76
107,Identifier,bValue,-1,-1,-1,169,19,169,25,packages\define-properties\test\index.js,1,77
109,MemberExpression,nan,-1,-1,-1,169,1,169,8,packages\define-properties\test\index.js,1,78
110,MemberExpression,nan,-1,-1,-1,171,1,171,6,packages\define-properties\test\index.js,1,79
111,Identifier,t,-1,-1,-1,21,79,21,80,packages\define-properties\test\index.js,1,80
113,BlockStatement,nan,-1,-1,-1,21,82,102,2,packages\define-properties\test\index.js,1,81
114,Identifier,t,-1,-1,-1,104,81,104,82,packages\define-properties\test\index.js,1,82
116,BlockStatement,nan,-1,-1,-1,104,84,150,2,packages\define-properties\test\index.js,1,83
117,Identifier,obj,-1,-1,-1,165,25,165,28,packages\define-properties\test\index.js,1,84
118,MemberExpression,nan,-1,-1,-1,165,13,165,24,packages\define-properties\test\index.js,1,85
119,Identifier,obj,-1,-1,-1,166,40,166,43,packages\define-properties\test\index.js,1,86
120,MemberExpression,nan,-1,-1,-1,166,13,166,39,packages\define-properties\test\index.js,1,87
121,Identifier,obj,-1,-1,-1,167,42,167,45,packages\define-properties\test\index.js,1,88
122,MemberExpression,nan,-1,-1,-1,167,13,167,41,packages\define-properties\test\index.js,1,89
123,VariableDeclaration,nan,-1,-1,-1,22,2,29,4,packages\define-properties\test\index.js,1,90
124,VariableDeclaration,nan,-1,-1,-1,31,2,35,4,packages\define-properties\test\index.js,1,91
142,VariableDeclaration,nan,-1,-1,-1,105,2,109,4,packages\define-properties\test\index.js,1,92
148,CallExpression,nan,3,-1,-1,36,2,36,82,packages\define-properties\test\index.js,1,93
149,CallExpression,nan,2,-1,-1,37,2,41,4,packages\define-properties\test\index.js,1,94
150,CallExpression,nan,3,-1,-1,42,2,50,3,packages\define-properties\test\index.js,1,95
151,CallExpression,nan,3,-1,-1,51,2,51,126,packages\define-properties\test\index.js,1,96
152,CallExpression,nan,3,-1,-1,52,2,52,72,packages\define-properties\test\index.js,1,97
153,CallExpression,nan,3,-1,-1,54,2,65,3,packages\define-properties\test\index.js,1,98
154,CallExpression,nan,3,-1,-1,66,2,73,3,packages\define-properties\test\index.js,1,99
155,CallExpression,nan,3,-1,-1,74,2,74,130,packages\define-properties\test\index.js,1,100
156,CallExpression,nan,3,-1,-1,75,2,75,136,packages\define-properties\test\index.js,1,101
157,CallExpression,nan,3,-1,-1,76,2,76,74,packages\define-properties\test\index.js,1,102
158,CallExpression,nan,3,-1,-1,78,2,90,3,packages\define-properties\test\index.js,1,103
159,CallExpression,nan,3,-1,-1,91,2,95,3,packages\define-properties\test\index.js,1,104
160,CallExpression,nan,3,-1,-1,96,2,96,136,packages\define-properties\test\index.js,1,105
161,CallExpression,nan,3,-1,-1,97,2,97,136,packages\define-properties\test\index.js,1,106
162,CallExpression,nan,3,-1,-1,98,2,98,130,packages\define-properties\test\index.js,1,107
163,CallExpression,nan,3,-1,-1,99,2,99,69,packages\define-properties\test\index.js,1,108
164,CallExpression,nan,0,-1,-1,101,2,101,9,packages\define-properties\test\index.js,1,109
165,CallExpression,nan,2,-1,-1,110,2,114,4,packages\define-properties\test\index.js,1,110
166,CallExpression,nan,3,-1,-1,115,2,124,3,packages\define-properties\test\index.js,1,111
167,CallExpression,nan,3,-1,-1,126,2,137,3,packages\define-properties\test\index.js,1,112
168,CallExpression,nan,3,-1,-1,138,2,147,3,packages\define-properties\test\index.js,1,113
