src,same_file,jaccard_val,dst
165,1,-1.0,31
166,1,1.0,1
167,1,-1.0,29
136,1,1.0,1
183,1,-1.0,42
103,1,-1.0,139
318,1,-1.0,31
354,1,-1.0,39
354,1,-1.0,52
281,1,-1.0,31
358,1,-1.0,33
358,1,-1.0,42
360,1,-1.0,39
360,1,-1.0,52
246,1,1.0,3
247,1,0.0,105
331,1,-1.0,29
365,1,-1.0,39
365,1,-1.0,52
293,1,-1.0,29
385,1,-1.0,44
385,1,-1.0,35
371,1,-1.0,39
371,1,-1.0,52
254,1,1.0,3
255,1,0.0,109
344,1,-1.0,29
303,1,-1.0,29
377,1,1.0,1
260,1,0.0,114
156,1,1.0,3
161,1,1.0,2
548,0,-1.0,50
487,0,-1.0,42
551,0,-1.0,50
489,0,-1.0,42
554,0,-1.0,50
491,0,-1.0,42
557,0,-1.0,50
427,1,-1.0,438
561,0,-1.0,50
495,0,-1.0,42
564,0,-1.0,50
497,0,-1.0,42
567,0,-1.0,50
499,0,-1.0,42
570,0,-1.0,50
428,1,-1.0,440
502,0,-1.0,42
503,0,-1.0,42
504,0,-1.0,42
578,0,-1.0,50
429,1,-1.0,442
400,1,-1.0,407
507,0,-1.0,44
583,0,-1.0,50
509,0,-1.0,44
586,0,-1.0,50
511,0,-1.0,44
589,0,-1.0,50
430,1,-1.0,444
514,0,-1.0,44
594,0,-1.0,50
516,0,-1.0,44
597,0,-1.0,50
431,1,-1.0,446
519,0,-1.0,42
520,0,-1.0,44
604,0,-1.0,50
432,1,-1.0,448
401,1,-1.0,409
608,0,-1.0,50
524,0,-1.0,46
611,0,-1.0,50
433,1,-1.0,450
613,0,-1.0,50
527,0,-1.0,46
616,0,-1.0,50
529,0,-1.0,42
619,0,-1.0,50
531,0,-1.0,46
622,0,-1.0,50
434,1,-1.0,452
534,0,-1.0,42
535,0,-1.0,42
536,0,-1.0,46
630,0,-1.0,50
435,1,-1.0,454
402,1,-1.0,411
539,0,-1.0,42
540,0,-1.0,42
636,0,-1.0,48
638,0,-1.0,48
640,0,-1.0,48
436,1,-1.0,456
403,1,-1.0,413
545,0,-1.0,44
645,0,-1.0,50
647,0,-1.0,50
437,1,-1.0,458
404,1,-1.0,415
417,0,-1.0,50
