src,dst
649,407
8,33
389,35
466,44
459,1
38,31
179,1
587,42
562,438
237,139
395,438
655,37
355,456
28,450
468,39
335,458
26,44
410,139
200,448
129,3
294,450
74,456
349,114
605,454
286,454
271,33
179,139
446,413
485,415
142,109
610,442
415,109
397,48
104,1
148,446
374,440
285,109
306,39
54,139
389,109
425,452
387,42
100,35
378,450
32,456
585,46
171,413
90,1
295,456
112,438
249,3
339,52
396,411
289,444
13,52
458,442
34,105
257,411
283,438
450,52
447,440
361,37
145,3
189,37
333,31
211,3
131,3
78,413
563,109
461,46
625,411
16,2
292,438
633,411
240,3
202,450
38,454
422,31
135,42
384,139
131,446
224,37
416,37
197,1
197,33
665,458
294,46
454,46
100,456
649,52
328,114
610,448
200,458
14,46
233,440
134,456
395,450
77,52
391,452
425,413
282,438
66,409
353,52
259,139
309,407
424,3
414,452
409,458
307,444
94,438
330,109
143,450
576,411
4,444
113,3
592,42
333,39
101,52
105,1
259,411
38,450
337,452
618,42
164,139
192,42
346,50
382,413
380,39
673,444
84,413
216,3
569,450
231,114
93,413
176,413
345,52
590,46
112,35
112,37
202,52
626,33
460,442
129,50
15,415
407,458
422,409
389,46
72,411
413,407
68,407
595,46
73,29
191,407
421,48
628,442
13,50
307,52
157,52
253,114
155,1
211,37
7,50
122,105
237,105
61,440
69,413
469,37
274,458
271,448
348,452
347,454
415,44
641,35
483,1
101,456
445,448
590,33
11,407
275,2
328,456
460,44
632,44
277,35
20,31
329,456
628,1
194,452
242,48
464,446
8,50
309,50
160,29
89,44
253,456
169,3
263,29
297,458
656,33
130,29
610,448
587,35
626,37
286,42
4,44
62,50
439,50
450,109
14,440
157,39
672,444
192,413
485,109
462,44
412,448
601,454
450,39
666,46
250,442
146,448
467,109
111,3
382,3
272,407
321,440
176,39
98,44
181,37
568,39
565,52
452,415
116,31
446,109
151,35
311,458
237,448
454,438
659,440
556,442
556,37
119,105
454,37
227,109
88,407
133,42
264,139
208,37
302,444
389,458
343,438
414,415
245,46
117,39
606,48
55,3
218,42
93,33
263,440
370,452
196,454
44,448
555,446
460,39
464,411
127,114
651,456
298,105
562,1
116,52
272,407
10,413
122,411
352,446
218,415
667,44
662,46
363,446
410,446
591,407
593,42
418,46
222,450
348,444
397,454
393,444
239,3
245,105
482,2
34,438
181,3
74,1
651,438
8,448
449,444
300,440
107,413
381,35
472,442
222,452
288,409
598,444
17,1
453,1
655,458
335,456
146,452
174,44
264,37
581,450
12,446
454,48
323,31
23,35
324,3
89,39
387,105
447,452
162,105
607,109
86,3
588,452
414,50
38,35
394,448
215,2
153,442
338,407
337,109
397,411
115,50
271,31
470,50
92,44
422,48
595,446
668,440
662,46
94,452
86,446
357,42
335,413
553,109
271,39
147,2
236,448
29,1
44,440
170,29
300,114
313,458
310,444
606,413
71,2
313,1
108,454
275,31
651,438
606,1
180,454
10,444
248,452
35,448
145,48
185,452
470,452
614,458
359,411
306,33
64,440
121,31
163,33
595,105
625,415
239,438
614,35
393,35
383,452
50,29
16,444
372,109
69,440
126,452
44,42
289,456
381,31
425,46
571,39
450,2
95,50
289,50
211,29
351,438
485,52
398,448
139,452
38,444
230,456
146,411
623,2
336,50
215,448
201,409
595,44
576,415
596,456
179,1
446,407
633,407
408,3
673,444
439,50
130,1
85,415
659,458
462,407
111,3
178,37
452,440
662,37
10,52
141,37
151,44
279,29
573,415
57,48
22,1
644,413
234,452
262,105
663,114
141,114
668,29
462,415
193,407
409,109
283,139
164,407
152,448
266,42
282,48
341,409
606,411
83,458
164,37
458,3
456,444
627,450
357,1
184,109
110,139
582,37
452,407
55,139
330,29
135,114
118,448
576,29
119,3
123,3
558,1
552,31
195,109
552,52
422,35
661,440
200,409
11,446
143,33
602,444
102,446
316,407
272,456
674,438
312,452
219,452
306,411
15,446
598,105
322,139
393,413
484,50
565,139
152,31
440,450
86,407
91,46
180,456
