src,same_file,jaccard_val,dst
165,0,-1,407
515,0,-1,39
531,0,-1,37
401,0,-1,52
512,0,0.0,105
564,0,-1,35
534,0,-1,29
597,0,-1,44
429,1,-1,415
254,1,-1,50
401,1,-1,458
504,1,-1,411
611,1,-1,409
488,1,-1,458
551,0,-1,35
173,0,-1,407
498,0,0.0,1
385,1,0.0,3
532,0,-1,37
504,0,0.0,109
534,1,-1,442
638,1,-1,440
597,1,-1,452
255,1,0.0,1
616,1,-1,454
319,1,-1,42
427,0,-1,139
613,1,-1,444
520,1,-1,440
636,0,0.0,109
548,0,-1,39
537,1,-1,409
435,0,0.0,109
604,1,-1,446
404,0,-1,29
496,1,-1,407
490,1,-1,407
586,1,-1,413
505,0,-1,48
354,1,-1,31
544,1,-1,415
608,1,-1,415
491,0,-1,46
548,1,-1,458
495,0,0.0,3
640,1,-1,446
267,0,-1,444
536,1,-1,407
255,1,-1,139
508,0,-1,44
512,0,-1,35
493,0,-1,139
527,0,-1,50
417,0,0.0,1
597,0,0.0,105
589,0,-1,139
318,0,-1,444
404,0,-1,39
428,1,-1,438
358,1,-1,50
613,0,-1,33
544,1,-1,446
358,0,-1,411
437,0,-1,52
358,0,-1,456
511,1,-1,458
561,1,-1,454
499,1,-1,407
531,0,-1,48
402,0,0.0,114
537,0,-1,50
540,1,-1,407
586,0,0.0,109
488,0,-1,48
515,0,0.0,1
369,0,-1,448
517,0,0.0,114
519,0,0.0,1
402,1,-1,458
365,1,-1,31
488,1,-1,415
531,1,-1,411
506,0,-1,29
542,1,-1,413
501,1,-1,444
167,1,0.0,1
506,1,-1,454
500,0,-1,139
537,0,0.0,109
319,0,-1,458
433,0,-1,44
494,0,-1,44
371,1,0.0,1
486,1,-1,415
524,1,-1,409
303,1,-1,33
327,1,0.0,109
365,0,-1,438
544,0,-1,46
255,1,0.0,2
183,0,-1,454
247,0,-1,407
