src,dst
1,2
1,3
3,4
4,5
6,7
6,8
6,9
6,10
6,11
6,12
13,15
13,16
14,17
14,18
20,21
20,22
22,23
23,24
25,26
25,27
28,29
28,30
31,32
31,33
31,34
31,35
36,37
36,38
37,39
39,40
39,41
39,42
39,43
42,45
42,46
42,47
43,58
43,59
43,60
44,63
44,64
48,65
49,66
50,67
51,68
52,69
53,70
54,71
55,72
56,73
57,74
61,75
61,76
62,77
62,78
63,79
75,82
77,83
80,84
80,85
81,86
81,87
82,88
83,89
90,99
90,100
91,101
91,102
92,103
92,104
93,105
93,106
94,107
94,108
95,109
95,110
96,111
96,112
97,113
98,114
98,115
99,116
101,117
105,118
109,119
114,121
120,122
120,123
124,125
124,126
125,127
125,128
128,130
128,131
128,132
129,133
129,134
131,135
131,136
131,137
132,138
136,139
136,140
137,141
138,142
141,143
141,144
143,145
144,146
145,147
