id,type,name,params_len,argument_len,returns,start_line,start_column,end_line,end_column,file_name,file_is_index_or_test,new_id
1,Program,nan,-1,-1,-1,1,0,4,2,packages\emoji-regex\index.js,1,0
3,AssignmentExpression,nan,-1,-1,-1,1,0,4,1,packages\emoji-regex\index.js,1,1
4,MemberExpression,nan,-1,-1,-1,1,0,1,14,packages\emoji-regex\index.js,1,2
5,ArrowFunctionExpression,nan,-1,0,1,1,17,4,1,packages\emoji-regex\index.js,1,3
7,BlockStatement,nan,-1,-1,-1,1,23,4,1,packages\emoji-regex\index.js,1,4
8,ReturnStatement,nan,1,-1,-1,3,1,3,14128,packages\emoji-regex\index.js,1,5
10,Program,nan,-1,-1,-1,1,0,12,46,packages\emoji-regex\script\build.js,0,6
11,VariableDeclaration,nan,-1,-1,-1,1,0,1,25,packages\emoji-regex\script\build.js,0,7
12,VariableDeclaration,nan,-1,-1,-1,3,0,3,74,packages\emoji-regex\script\build.js,0,8
13,VariableDeclaration,nan,-1,-1,-1,4,0,4,128,packages\emoji-regex\script\build.js,0,9
14,VariableDeclaration,nan,-1,-1,-1,5,0,5,62,packages\emoji-regex\script\build.js,0,10
16,VariableDeclaration,nan,-1,-1,-1,9,0,9,81,packages\emoji-regex\script\build.js,0,11
17,VariableDeclaration,nan,-1,-1,-1,10,0,10,74,packages\emoji-regex\script\build.js,0,12
19,CallExpression,nan,2,-1,-1,7,0,7,38,packages\emoji-regex\script\build.js,0,13
20,CallExpression,nan,2,-1,-1,12,0,12,45,packages\emoji-regex\script\build.js,0,14
22,Identifier,output,-1,-1,-1,7,31,7,37,packages\emoji-regex\script\build.js,0,15
23,MemberExpression,nan,-1,-1,-1,7,0,7,16,packages\emoji-regex\script\build.js,0,16
25,Identifier,outputModule,-1,-1,-1,12,32,12,44,packages\emoji-regex\script\build.js,0,17
26,MemberExpression,nan,-1,-1,-1,12,0,12,16,packages\emoji-regex\script\build.js,0,18
27,Program,nan,-1,-1,-1,1,0,4,2,packages\emoji-regex\src\index.js,1,19
29,AssignmentExpression,nan,-1,-1,-1,1,0,4,1,packages\emoji-regex\src\index.js,1,20
30,MemberExpression,nan,-1,-1,-1,1,0,1,14,packages\emoji-regex\src\index.js,1,21
31,ArrowFunctionExpression,nan,-1,0,1,1,17,4,1,packages\emoji-regex\src\index.js,1,22
33,BlockStatement,nan,-1,-1,-1,1,23,4,1,packages\emoji-regex\src\index.js,1,23
34,ReturnStatement,nan,1,-1,-1,3,1,3,25,packages\emoji-regex\src\index.js,1,24
36,Program,nan,-1,-1,-1,1,0,7,27,packages\emoji-regex\test\get-sequences.js,1,25
37,VariableDeclaration,nan,-1,-1,-1,1,0,1,64,packages\emoji-regex\test\get-sequences.js,1,26
38,VariableDeclaration,nan,-1,-1,-1,3,0,5,48,packages\emoji-regex\test\get-sequences.js,1,27
40,AssignmentExpression,nan,-1,-1,-1,7,0,7,26,packages\emoji-regex\test\get-sequences.js,1,28
41,MemberExpression,nan,-1,-1,-1,7,0,7,14,packages\emoji-regex\test\get-sequences.js,1,29
42,Identifier,sequences,-1,-1,-1,7,17,7,26,packages\emoji-regex\test\get-sequences.js,1,30
43,Program,nan,-1,-1,-1,1,0,101,3,packages\emoji-regex\test\tests.js,1,31
44,VariableDeclaration,nan,-1,-1,-1,1,0,1,33,packages\emoji-regex\test\tests.js,1,32
45,VariableDeclaration,nan,-1,-1,-1,3,0,3,37,packages\emoji-regex\test\tests.js,1,33
46,VariableDeclaration,nan,-1,-1,-1,5,0,5,64,packages\emoji-regex\test\tests.js,1,34
47,VariableDeclaration,nan,-1,-1,-1,6,0,6,58,packages\emoji-regex\test\tests.js,1,35
49,CallExpression,nan,2,-1,-1,8,0,101,2,packages\emoji-regex\test\tests.js,1,36
