id,type,name,params_len,argument_len,returns,start_line,start_column,end_line,end_column,file_name,file_is_index_or_test,new_id
1,Program,nan,-1,-1,-1,2,0,2,43,packages\eslint-config-standard-jsx\index.js,1,0
3,AssignmentExpression,nan,-1,-1,-1,2,0,2,43,packages\eslint-config-standard-jsx\index.js,1,1
4,MemberExpression,nan,-1,-1,-1,2,0,2,14,packages\eslint-config-standard-jsx\index.js,1,2
5,CallExpression,nan,1,-1,-1,2,17,2,43,packages\eslint-config-standard-jsx\index.js,1,3
7,Identifier,require,-1,-1,-1,2,17,2,24,packages\eslint-config-standard-jsx\index.js,1,4
8,Program,nan,-1,-1,-1,1,0,13,1,packages\eslint-config-standard-jsx\test\basic.js,1,5
9,VariableDeclaration,nan,-1,-1,-1,1,0,1,29,packages\eslint-config-standard-jsx\test\basic.js,1,6
10,VariableDeclaration,nan,-1,-1,-1,2,0,2,28,packages\eslint-config-standard-jsx\test\basic.js,1,7
12,FunctionDeclaration,nan,-1,1,1,11,0,13,1,packages\eslint-config-standard-jsx\test\basic.js,1,8
13,CallExpression,nan,2,-1,-1,4,0,9,2,packages\eslint-config-standard-jsx\test\basic.js,1,9
14,Identifier,isObject,-1,-1,-1,11,9,11,17,packages\eslint-config-standard-jsx\test\basic.js,1,10
15,Identifier,obj,-1,-1,-1,11,19,11,22,packages\eslint-config-standard-jsx\test\basic.js,1,11
17,BlockStatement,nan,-1,-1,-1,11,24,13,1,packages\eslint-config-standard-jsx\test\basic.js,1,12
19,FunctionExpression,nan,-1,1,0,4,40,9,1,packages\eslint-config-standard-jsx\test\basic.js,1,13
20,Identifier,test,-1,-1,-1,4,0,4,4,packages\eslint-config-standard-jsx\test\basic.js,1,14
21,ReturnStatement,nan,1,-1,-1,12,2,12,48,packages\eslint-config-standard-jsx\test\basic.js,1,15
22,Identifier,t,-1,-1,-1,4,50,4,51,packages\eslint-config-standard-jsx\test\basic.js,1,16
24,BlockStatement,nan,-1,-1,-1,4,53,9,1,packages\eslint-config-standard-jsx\test\basic.js,1,17
25,LogicalExpression,nan,-1,-1,-1,12,9,12,48,packages\eslint-config-standard-jsx\test\basic.js,1,18
32,CallExpression,nan,1,-1,-1,5,2,5,38,packages\eslint-config-standard-jsx\test\basic.js,1,19
33,CallExpression,nan,1,-1,-1,6,2,6,30,packages\eslint-config-standard-jsx\test\basic.js,1,20
34,CallExpression,nan,1,-1,-1,7,2,7,37,packages\eslint-config-standard-jsx\test\basic.js,1,21
35,CallExpression,nan,0,-1,-1,8,2,8,9,packages\eslint-config-standard-jsx\test\basic.js,1,22
36,UnaryExpression,nan,1,-1,-1,12,9,12,19,packages\eslint-config-standard-jsx\test\basic.js,1,23
38,Identifier,obj,-1,-1,-1,12,36,12,39,packages\eslint-config-standard-jsx\test\basic.js,1,24
40,CallExpression,nan,1,-1,-1,5,7,5,37,packages\eslint-config-standard-jsx\test\basic.js,1,25
41,MemberExpression,nan,-1,-1,-1,5,2,5,6,packages\eslint-config-standard-jsx\test\basic.js,1,26
42,CallExpression,nan,1,-1,-1,6,7,6,29,packages\eslint-config-standard-jsx\test\basic.js,1,27
43,MemberExpression,nan,-1,-1,-1,6,2,6,6,packages\eslint-config-standard-jsx\test\basic.js,1,28
44,CallExpression,nan,1,-1,-1,7,7,7,36,packages\eslint-config-standard-jsx\test\basic.js,1,29
45,MemberExpression,nan,-1,-1,-1,7,2,7,6,packages\eslint-config-standard-jsx\test\basic.js,1,30
46,MemberExpression,nan,-1,-1,-1,8,2,8,7,packages\eslint-config-standard-jsx\test\basic.js,1,31
47,Identifier,obj,-1,-1,-1,12,16,12,19,packages\eslint-config-standard-jsx\test\basic.js,1,32
48,MemberExpression,nan,-1,-1,-1,5,16,5,36,packages\eslint-config-standard-jsx\test\basic.js,1,33
49,Identifier,isObject,-1,-1,-1,5,7,5,15,packages\eslint-config-standard-jsx\test\basic.js,1,34
50,MemberExpression,nan,-1,-1,-1,6,16,6,28,packages\eslint-config-standard-jsx\test\basic.js,1,35
51,Identifier,isObject,-1,-1,-1,6,7,6,15,packages\eslint-config-standard-jsx\test\basic.js,1,36
52,MemberExpression,nan,-1,-1,-1,7,21,7,35,packages\eslint-config-standard-jsx\test\basic.js,1,37
53,MemberExpression,nan,-1,-1,-1,7,7,7,20,packages\eslint-config-standard-jsx\test\basic.js,1,38
54,Program,nan,-1,-1,-1,1,0,71,2,packages\eslint-config-standard-jsx\test\validate-config.js,1,39
55,VariableDeclaration,nan,-1,-1,-1,1,0,1,36,packages\eslint-config-standard-jsx\test\validate-config.js,1,40
56,VariableDeclaration,nan,-1,-1,-1,2,0,2,28,packages\eslint-config-standard-jsx\test\validate-config.js,1,41
59,CallExpression,nan,2,-1,-1,4,0,17,2,packages\eslint-config-standard-jsx\test\validate-config.js,1,42
60,CallExpression,nan,2,-1,-1,19,0,71,2,packages\eslint-config-standard-jsx\test\validate-config.js,1,43
62,ArrowFunctionExpression,nan,-1,1,0,4,69,17,1,packages\eslint-config-standard-jsx\test\validate-config.js,1,44
63,Identifier,test,-1,-1,-1,4,0,4,4,packages\eslint-config-standard-jsx\test\validate-config.js,1,45
65,ArrowFunctionExpression,nan,-1,1,0,19,77,71,1,packages\eslint-config-standard-jsx\test\validate-config.js,1,46
66,Identifier,test,-1,-1,-1,19,0,19,4,packages\eslint-config-standard-jsx\test\validate-config.js,1,47
67,Identifier,t,-1,-1,-1,4,75,4,76,packages\eslint-config-standard-jsx\test\validate-config.js,1,48
69,BlockStatement,nan,-1,-1,-1,4,80,17,1,packages\eslint-config-standard-jsx\test\validate-config.js,1,49
70,Identifier,t,-1,-1,-1,19,83,19,84,packages\eslint-config-standard-jsx\test\validate-config.js,1,50
72,BlockStatement,nan,-1,-1,-1,19,88,71,1,packages\eslint-config-standard-jsx\test\validate-config.js,1,51
