src,same_file,jaccard_val,dst
179,1,1.0,2
139,1,1.0,2
270,1,-1.0,63
204,1,1.0,5
205,1,1.0,5
256,1,1.0,6
293,1,1.0,6
283,1,1.0,6
331,1,-1.0,342
386,0,0.0,7
332,1,-1.0,344
509,0,0.0,7
389,1,0.0,380
389,0,0.0,7
390,1,0.0,380
391,0,0.0,7
394,1,-1.0,441
333,1,-1.0,346
824,0,-1.0,61
824,1,0.0,609
829,0,-1.0,63
446,0,-1.0,59
446,1,-1.0,512
348,1,-1.0,369
399,1,-1.0,449
612,0,-1.0,57
400,1,-1.0,451
613,0,-1.0,57
401,1,-1.0,453
1299,0,-1.0,61
1299,1,-1.0,1309
1300,0,-1.0,57
1145,1,-1.0,1204
402,1,-1.0,455
1302,0,-1.0,61
1302,1,-1.0,1316
1303,0,-1.0,61
1303,1,-1.0,1318
1304,0,-1.0,61
1304,1,-1.0,1320
1305,0,-1.0,61
1305,1,-1.0,1322
1306,0,-1.0,57
1146,1,-1.0,1206
403,1,-1.0,457
616,0,-1.0,59
616,1,-1.0,839
617,0,-1.0,59
617,1,-1.0,842
618,0,-1.0,57
404,1,-1.0,459
621,0,-1.0,59
621,1,0.0,569
622,0,-1.0,59
622,1,0.0,569
623,0,-1.0,61
623,1,0.0,569
624,0,-1.0,61
624,1,0.0,569
625,0,-1.0,57
405,1,-1.0,461
627,0,-1.0,59
627,1,-1.0,856
406,1,-1.0,463
631,0,-1.0,59
631,1,-1.0,861
632,0,-1.0,57
407,1,-1.0,465
633,0,-1.0,59
633,1,-1.0,866
634,0,-1.0,59
634,1,-1.0,868
635,0,-1.0,57
408,1,-1.0,467
1246,0,-1.0,57
639,1,-1.0,873
640,1,-1.0,470
409,1,-1.0,470
334,1,-1.0,350
410,1,-1.0,471
645,0,-1.0,59
645,1,0.0,577
411,1,-1.0,473
651,0,-1.0,59
651,1,0.0,579
412,1,-1.0,475
335,1,-1.0,352
657,0,-1.0,59
657,1,-1.0,894
659,0,-1.0,59
659,1,-1.0,897
413,1,-1.0,477
336,1,-1.0,354
414,1,-1.0,479
337,1,-1.0,356
662,0,-1.0,61
662,1,-1.0,901
663,0,-1.0,57
664,0,-1.0,57
665,0,-1.0,57
666,0,-1.0,57
667,0,-1.0,57
415,1,-1.0,481
1249,0,-1.0,57
670,0,-1.0,61
670,1,-1.0,910
671,0,-1.0,57
416,1,-1.0,483
674,0,-1.0,61
674,1,-1.0,915
675,0,-1.0,61
675,1,-1.0,917
676,0,-1.0,59
676,1,-1.0,919
677,0,-1.0,57
678,0,-1.0,57
679,0,-1.0,57
680,0,-1.0,57
681,0,-1.0,57
417,1,-1.0,485
686,0,-1.0,57
418,1,-1.0,487
338,1,-1.0,358
687,0,-1.0,59
687,1,-1.0,931
688,0,-1.0,59
688,1,-1.0,933
419,1,-1.0,489
697,0,-1.0,59
697,1,0.0,590
698,0,-1.0,59
698,1,0.0,591
699,0,-1.0,59
699,1,0.0,592
714,0,-1.0,59
714,1,0.0,590
715,0,-1.0,59
715,1,0.0,590
716,0,-1.0,59
716,1,0.0,591
420,1,-1.0,491
723,0,-1.0,59
723,1,0.0,594
733,0,-1.0,61
733,1,0.0,594
734,0,-1.0,59
734,1,0.0,594
741,0,-1.0,61
741,1,0.0,594
421,1,-1.0,493
749,0,-1.0,59
749,1,0.0,596
759,0,-1.0,59
759,1,0.0,596
760,0,-1.0,59
760,1,0.0,597
767,0,-1.0,59
767,1,0.0,597
422,1,-1.0,495
339,1,-1.0,360
771,0,-1.0,59
771,1,-1.0,1061
772,0,-1.0,59
772,1,-1.0,1063
773,0,-1.0,59
773,1,-1.0,1065
774,0,-1.0,59
774,1,-1.0,1067
423,1,-1.0,497
787,0,-1.0,59
787,1,-1.0,1084
788,0,-1.0,59
788,1,-1.0,1086
789,0,-1.0,59
789,1,-1.0,1088
790,0,-1.0,59
790,1,-1.0,1090
424,1,-1.0,499
340,1,-1.0,362
800,0,-1.0,59
800,1,-1.0,1103
801,0,-1.0,65
425,1,-1.0,501
807,0,-1.0,59
807,1,-1.0,1108
808,0,-1.0,59
808,1,0.0,602
426,1,-1.0,503
1115,1,1.0,606
427,1,-1.0,505
1121,0,-1.0,59
1121,1,0.0,816
1122,0,-1.0,59
1122,1,-1.0,1191
1124,0,-1.0,63
1124,1,0.0,816
507,1,-1.0,551
341,1,-1.0,364
324,1,-1.0,325
